Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:52,RUS,63,0 days 00:01:38.758000,1.0,1.0,,,,0 days 00:00:35.157000,0 days 00:00:31.993000,,0 days 00:34:24.342000,0 days 00:34:56.375000,211.0,214.0,280.0,291.0,False,SOFT,1.0,True,Williams,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,18.0,False,,False,False,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:35:52.005000,RUS,63,0 days 00:01:28.166000,2.0,1.0,,,0 days 00:00:24.744000,0 days 00:00:33.328000,0 days 00:00:30.094000,0 days 00:35:20.988000,0 days 00:35:54.316000,0 days 00:36:24.410000,240.0,236.0,276.0,321.0,True,SOFT,2.0,True,Williams,0 days 00:34:56.246000,2020-08-16 13:14:58.222,1,18.0,False,,False,True,30.2,54.2,997.7,False,48.6,185,1.5
0 days 00:36:52.006000,RUS,63,0 days 00:01:27.264000,3.0,1.0,,,0 days 00:00:24.271000,0 days 00:00:33.059000,0 days 00:00:29.934000,0 days 00:36:48.681000,0 days 00:37:21.740000,0 days 00:37:51.674000,251.0,236.0,283.0,308.0,True,SOFT,3.0,True,Williams,0 days 00:36:24.412000,2020-08-16 13:16:26.388,1,18.0,False,,False,True,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:37:52.004000,RUS,63,0 days 00:01:26.168000,4.0,1.0,,,0 days 00:00:23.795000,0 days 00:00:32.684000,0 days 00:00:29.689000,0 days 00:38:15.469000,0 days 00:38:48.153000,0 days 00:39:17.842000,257.0,230.0,285.0,331.0,True,SOFT,4.0,True,Williams,0 days 00:37:51.676000,2020-08-16 13:17:53.652,1,18.0,False,,False,True,30.1,54.9,997.8,False,48.3,278,2.1
0 days 00:39:52.006000,RUS,63,0 days 00:01:25.663000,5.0,1.0,,,0 days 00:00:23.636000,0 days 00:00:32.382000,0 days 00:00:29.645000,0 days 00:39:41.478000,0 days 00:40:13.860000,0 days 00:40:43.505000,,253.0,271.0,336.0,True,SOFT,5.0,True,Williams,0 days 00:39:17.844000,2020-08-16 13:19:19.820,1,17.0,False,,False,True,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:40:52.009000,RUS,63,0 days 00:01:26.025000,6.0,1.0,,,0 days 00:00:24.162000,0 days 00:00:32.215000,0 days 00:00:29.648000,0 days 00:41:07.667000,0 days 00:41:39.882000,0 days 00:42:09.530000,263.0,248.0,275.0,303.0,False,SOFT,6.0,True,Williams,0 days 00:40:43.507000,2020-08-16 13:20:45.483,1,17.0,False,,False,True,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:42:52.014000,RUS,63,0 days 00:01:26.163000,7.0,1.0,,,0 days 00:00:24.122000,0 days 00:00:32.363000,0 days 00:00:29.678000,0 days 00:42:33.652000,0 days 00:43:06.015000,0 days 00:43:35.693000,257.0,248.0,272.0,304.0,False,SOFT,7.0,True,Williams,0 days 00:42:09.532000,2020-08-16 13:22:11.508,1,17.0,False,,False,True,30.0,55.2,997.8,False,48.6,120,1.5
0 days 00:43:52.010000,RUS,63,0 days 00:01:26.147000,8.0,1.0,,,0 days 00:00:24.196000,0 days 00:00:32.331000,0 days 00:00:29.620000,0 days 00:43:59.889000,0 days 00:44:32.220000,0 days 00:45:01.840000,264.0,244.0,274.0,302.0,False,SOFT,8.0,True,Williams,0 days 00:43:35.695000,2020-08-16 13:23:37.671,1,17.0,False,,False,True,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:45:52.011000,RUS,63,0 days 00:01:26.308000,9.0,1.0,,,0 days 00:00:24.187000,0 days 00:00:32.355000,0 days 00:00:29.766000,0 days 00:45:26.027000,0 days 00:45:58.382000,0 days 00:46:28.148000,262.0,241.0,272.0,304.0,False,SOFT,9.0,True,Williams,0 days 00:45:01.842000,2020-08-16 13:25:03.818,1,17.0,False,,False,True,30.1,55.4,997.7,False,49.1,49,2.6
0 days 00:46:52.012000,RUS,63,0 days 00:01:26.112000,10.0,1.0,,,0 days 00:00:24.116000,0 days 00:00:32.351000,0 days 00:00:29.645000,0 days 00:46:52.264000,0 days 00:47:24.615000,0 days 00:47:54.260000,,256.0,273.0,,False,SOFT,10.0,True,Williams,0 days 00:46:28.150000,2020-08-16 13:26:30.126,1,17.0,False,,False,True,29.9,56.2,997.8,False,49.1,233,2.2
