Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:38.483000,RAI,7,0 days 00:02:59.282000,1.0,1.0,,0 days 00:36:31.915000,,0 days 00:01:24.112000,0 days 00:00:51.443000,,0 days 00:35:45.034000,0 days 00:36:36.542000,56.0,144.0,,228.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:36.921000,2020-11-29 14:13:36.973,5,18.0,False,,False,False,25.4,66.0,1015.3,False,28.6,244,1.0
0 days 01:55:38.868000,RAI,7,,2.0,2.0,0 days 01:55:53.469000,,,0 days 00:01:14.630000,0 days 00:01:07.813000,,0 days 01:57:49.434000,0 days 01:58:57.491000,172.0,215.0,60.0,192.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 01:55:00.402000,2020-11-29 15:35:00.454,1,16.0,False,,False,False,25.0,68.7,1015.9,False,27.4,320,1.2
0 days 01:59:38.887000,RAI,7,,3.0,2.0,,,0 days 00:01:02.316000,0 days 00:01:07.215000,0 days 00:00:33.321000,0 days 01:59:59.673000,0 days 02:01:06.790000,0 days 02:01:40.320000,226.0,177.0,234.0,235.0,False,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 01:58:57.247000,2020-11-29 15:38:57.299,24,13.0,False,,False,False,25.0,70.3,1015.9,False,27.3,336,1.2
0 days 02:02:38.936000,RAI,7,0 days 00:02:17.286000,4.0,2.0,,,0 days 00:00:39.186000,0 days 00:01:05.085000,0 days 00:00:33.015000,0 days 02:02:19.297000,0 days 02:03:24.382000,0 days 02:03:57.397000,205.0,78.0,234.0,258.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 02:01:40.111000,2020-11-29 15:41:40.163,4,13.0,False,,False,False,25.1,72.3,1015.9,False,27.2,357,0.8
0 days 02:04:38.951000,RAI,7,,5.0,2.0,,,0 days 00:00:43.665000,0 days 00:01:06.169000,0 days 00:00:42.125000,0 days 02:04:41.082000,0 days 02:05:47.298000,0 days 02:06:29.489000,209.0,140.0,124.0,238.0,False,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 02:03:57.397000,2020-11-29 15:43:57.449,4,12.0,False,,False,False,25.0,73.5,1015.9,False,27.3,299,1.0
0 days 02:06:38.966000,RAI,7,0 days 00:02:17.412000,6.0,2.0,,,0 days 00:00:41.267000,0 days 00:00:58.668000,0 days 00:00:37.477000,0 days 02:07:10.600000,0 days 02:08:09.268000,0 days 02:08:46.745000,123.0,128.0,121.0,249.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 02:06:29.333000,2020-11-29 15:46:29.385,4,12.0,False,,False,False,25.0,74.1,1015.9,False,27.3,260,1.0
0 days 02:09:38.964000,RAI,7,0 days 00:02:18.675000,7.0,2.0,,,0 days 00:00:41.902000,0 days 00:00:57.354000,0 days 00:00:39.419000,0 days 02:09:28.647000,0 days 02:10:26.001000,0 days 02:11:05.420000,142.0,109.0,138.0,226.0,False,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 02:08:46.745000,2020-11-29 15:48:46.797,4,12.0,False,,False,False,25.0,73.7,1016.0,False,27.2,318,0.8
0 days 02:11:38.940000,RAI,7,0 days 00:02:24.534000,8.0,2.0,,,0 days 00:00:47.309000,0 days 00:00:58.605000,0 days 00:00:38.620000,0 days 02:11:52.729000,0 days 02:12:51.334000,0 days 02:13:29.954000,102.0,126.0,280.0,249.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 02:11:05.420000,2020-11-29 15:51:05.472,4,12.0,False,,False,False,24.9,73.4,1015.9,False,27.3,303,1.1
0 days 02:13:38.946000,RAI,7,0 days 00:01:38.702000,9.0,2.0,,,0 days 00:00:31.395000,0 days 00:00:42.330000,0 days 00:00:24.977000,0 days 02:14:01.349000,0 days 02:14:43.679000,0 days 02:15:08.656000,236.0,258.0,279.0,283.0,True,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 02:13:29.954000,2020-11-29 15:53:30.006,1,12.0,False,,False,False,24.9,73.3,1016.0,False,27.3,219,1.4
0 days 02:15:38.968000,RAI,7,0 days 00:01:38.958000,10.0,2.0,,,0 days 00:00:31.769000,0 days 00:00:42.754000,0 days 00:00:24.435000,0 days 02:15:40.425000,0 days 02:16:23.179000,0 days 02:16:47.614000,232.0,247.0,282.0,304.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 02:15:08.656000,2020-11-29 15:55:08.708,1,13.0,False,,False,True,25.0,72.7,1016.0,False,27.3,300,0.8
0 days 02:17:38.957000,RAI,7,0 days 00:01:37.835000,11.0,2.0,,,0 days 00:00:30.864000,0 days 00:00:42.527000,0 days 00:00:24.444000,0 days 02:17:18.478000,0 days 02:18:01.005000,0 days 02:18:25.449000,,250.0,283.0,300.0,True,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 02:16:47.614000,2020-11-29 15:56:47.666,1,13.0,False,,False,True,25.1,72.3,1016.0,False,27.3,352,0.0
0 days 02:18:38.954000,RAI,7,0 days 00:01:37.769000,12.0,2.0,,,0 days 00:00:31.005000,0 days 00:00:42.471000,0 days 00:00:24.293000,0 days 02:18:56.454000,0 days 02:19:38.925000,0 days 02:20:03.218000,,253.0,281.0,301.0,True,MEDIUM,11.0,True,Alfa Romeo Racing,0 days 02:18:25.449000,2020-11-29 15:58:25.501,1,13.0,False,,False,True,25.0,72.3,1016.0,False,27.3,272,0.3
