Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:32.750000,RAI,7,0 days 00:01:33.181000,1.0,1.0,,,,0 days 00:00:31.238000,0 days 00:00:28.480000,,0 days 00:34:15.369000,0 days 00:34:43.967000,211.0,257.0,276.0,285.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:10.426000,2020-11-01 12:13:12.701,2,16.0,False,,False,False,17.8,71.5,1018.1,False,24.0,96,0.4
0 days 00:35:32.771000,RAI,7,0 days 00:01:23.414000,2.0,1.0,,,0 days 00:00:26.811000,0 days 00:00:28.688000,0 days 00:00:27.915000,0 days 00:35:10.596000,0 days 00:35:39.284000,0 days 00:36:07.199000,214.0,255.0,277.0,289.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:34:43.819000,2020-11-01 12:14:46.094,1,16.0,False,,False,True,18.1,70.9,1018.1,False,24.2,92,1.2
0 days 00:36:32.751000,RAI,7,0 days 00:01:22.512000,3.0,1.0,,,0 days 00:00:26.528000,0 days 00:00:28.587000,0 days 00:00:27.397000,0 days 00:36:33.727000,0 days 00:37:02.314000,0 days 00:37:29.711000,217.0,252.0,276.0,286.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:36:07.233000,2020-11-01 12:16:09.508,1,16.0,False,,False,True,18.2,70.2,1018.1,False,24.2,76,0.9
0 days 00:37:32.775000,RAI,7,0 days 00:01:21.719000,4.0,1.0,,,0 days 00:00:25.865000,0 days 00:00:28.310000,0 days 00:00:27.544000,0 days 00:37:55.576000,0 days 00:38:23.886000,0 days 00:38:51.430000,,253.0,276.0,286.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:37:29.745000,2020-11-01 12:17:32.020,1,16.0,False,,False,True,18.3,69.8,1018.1,False,24.2,87,1.6
0 days 00:39:32.748000,RAI,7,0 days 00:01:21.817000,5.0,1.0,,,0 days 00:00:25.853000,0 days 00:00:28.554000,0 days 00:00:27.410000,0 days 00:39:17.283000,0 days 00:39:45.837000,0 days 00:40:13.247000,216.0,253.0,277.0,290.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:38:51.464000,2020-11-01 12:18:53.739,1,16.0,False,,False,True,17.9,71.2,1018.2,False,23.9,52,0.9
0 days 00:40:32.955000,RAI,7,0 days 00:01:21.619000,6.0,1.0,,,0 days 00:00:25.924000,0 days 00:00:28.548000,0 days 00:00:27.147000,0 days 00:40:39.171000,0 days 00:41:07.719000,0 days 00:41:34.866000,215.0,251.0,275.0,286.0,True,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:40:13.281000,2020-11-01 12:20:15.556,1,16.0,False,,False,True,17.9,71.4,1018.1,False,23.6,58,1.1
0 days 00:42:32.778000,RAI,7,0 days 00:01:20.980000,7.0,1.0,,,0 days 00:00:25.591000,0 days 00:00:28.268000,0 days 00:00:27.121000,0 days 00:42:00.457000,0 days 00:42:28.725000,0 days 00:42:55.846000,214.0,250.0,276.0,281.0,True,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:41:34.900000,2020-11-01 12:21:37.175,1,16.0,False,,False,True,18.2,70.6,1018.1,False,24.1,115,0.9
0 days 00:43:32.822000,RAI,7,0 days 00:01:21.282000,8.0,1.0,,,0 days 00:00:25.707000,0 days 00:00:28.391000,0 days 00:00:27.184000,0 days 00:43:21.553000,0 days 00:43:49.944000,0 days 00:44:17.128000,218.0,253.0,275.0,279.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:42:55.880000,2020-11-01 12:22:58.155,1,16.0,False,,False,True,18.2,70.1,1018.1,False,24.0,89,1.4
0 days 00:44:32.783000,RAI,7,0 days 00:01:21.220000,9.0,1.0,,,0 days 00:00:25.728000,0 days 00:00:28.341000,0 days 00:00:27.151000,0 days 00:44:42.856000,0 days 00:45:11.197000,0 days 00:45:38.348000,,254.0,275.0,290.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:44:17.162000,2020-11-01 12:24:19.437,1,15.0,False,,False,True,18.1,70.1,1018.2,False,23.8,102,1.6
0 days 00:46:32.840000,RAI,7,0 days 00:01:21.920000,10.0,1.0,,,0 days 00:00:25.907000,0 days 00:00:28.382000,0 days 00:00:27.631000,0 days 00:46:04.255000,0 days 00:46:32.637000,0 days 00:47:00.268000,215.0,253.0,274.0,285.0,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:45:38.382000,2020-11-01 12:25:40.657,1,14.0,False,,False,True,18.1,70.6,1018.0,False,23.7,105,2.2
0 days 00:47:32.812000,RAI,7,0 days 00:01:20.584000,11.0,1.0,,,0 days 00:00:25.723000,0 days 00:00:27.973000,0 days 00:00:26.888000,0 days 00:47:25.991000,0 days 00:47:53.964000,0 days 00:48:20.852000,216.0,250.0,274.0,283.0,True,MEDIUM,11.0,True,Alfa Romeo Racing,0 days 00:47:00.302000,2020-11-01 12:27:02.577,1,13.0,False,,False,True,18.2,70.3,1018.0,False,23.8,72,1.1
0 days 00:48:32.820000,RAI,7,0 days 00:01:20.765000,12.0,1.0,,,0 days 00:00:25.744000,0 days 00:00:27.930000,0 days 00:00:27.091000,0 days 00:48:46.596000,0 days 00:49:14.526000,0 days 00:49:41.617000,217.0,252.0,274.0,284.0,False,MEDIUM,12.0,True,Alfa Romeo Racing,0 days 00:48:20.886000,2020-11-01 12:28:23.161,1,13.0,False,,False,True,18.3,69.9,1018.1,False,23.8,96,1.4
