Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:38.694000,LEC,16,0 days 00:01:16.847000,1.0,1.0,,,,0 days 00:00:32.413000,0 days 00:00:22.550000,,0 days 00:33:41.593000,0 days 00:34:04.215000,302.0,213.0,269.0,305.0,False,SOFT,4.0,False,Ferrari,0 days 00:32:47.006000,2020-07-05 13:12:47.229,1,7.0,False,,False,False,27.7,35.2,939.0,False,54.1,272,0.6
0 days 00:34:38.680000,LEC,16,0 days 00:01:11.418000,2.0,1.0,,,0 days 00:00:17.966000,0 days 00:00:31.808000,0 days 00:00:21.644000,0 days 00:34:22.051000,0 days 00:34:53.859000,0 days 00:35:15.503000,294.0,225.0,270.0,293.0,True,SOFT,5.0,False,Ferrari,0 days 00:34:04.094000,2020-07-05 13:14:04.317,1,7.0,False,,False,True,27.7,35.5,939.0,False,54.1,276,0.7
0 days 00:35:38.698000,LEC,16,0 days 00:01:09.925000,3.0,1.0,,,0 days 00:00:17.531000,0 days 00:00:30.998000,0 days 00:00:21.396000,0 days 00:35:33.034000,0 days 00:36:04.032000,0 days 00:36:25.428000,301.0,233.0,277.0,297.0,True,SOFT,6.0,False,Ferrari,0 days 00:35:15.512000,2020-07-05 13:15:15.735,1,7.0,False,,False,True,28.1,35.6,939.0,False,54.0,156,1.7
0 days 00:36:38.698000,LEC,16,0 days 00:01:10.271000,4.0,1.0,,,0 days 00:00:17.307000,0 days 00:00:31.329000,0 days 00:00:21.635000,0 days 00:36:42.735000,0 days 00:37:14.064000,0 days 00:37:35.699000,316.0,229.0,277.0,311.0,False,SOFT,7.0,False,Ferrari,0 days 00:36:25.437000,2020-07-05 13:16:25.660,1,7.0,False,,False,True,28.6,33.7,939.0,False,54.1,90,2.0
0 days 00:37:38.699000,LEC,16,0 days 00:01:10.310000,5.0,1.0,,,0 days 00:00:17.329000,0 days 00:00:31.418000,0 days 00:00:21.563000,0 days 00:37:53.028000,0 days 00:38:24.446000,0 days 00:38:46.009000,317.0,230.0,277.0,307.0,False,SOFT,8.0,False,Ferrari,0 days 00:37:35.708000,2020-07-05 13:17:35.931,1,7.0,False,,False,True,28.8,33.6,938.9,False,55.1,60,1.9
0 days 00:39:38.691000,LEC,16,0 days 00:01:10.287000,6.0,1.0,,,0 days 00:00:17.514000,0 days 00:00:31.167000,0 days 00:00:21.606000,0 days 00:39:03.523000,0 days 00:39:34.690000,0 days 00:39:56.296000,302.0,232.0,272.0,298.0,False,SOFT,9.0,False,Ferrari,0 days 00:38:46.018000,2020-07-05 13:18:46.241,1,7.0,False,,False,True,28.3,34.0,938.9,False,53.6,72,2.9
0 days 00:40:38.693000,LEC,16,0 days 00:01:10.596000,7.0,1.0,,,0 days 00:00:17.747000,0 days 00:00:31.198000,0 days 00:00:21.651000,0 days 00:40:14.043000,0 days 00:40:45.241000,0 days 00:41:06.892000,298.0,231.0,270.0,295.0,False,SOFT,10.0,False,Ferrari,0 days 00:39:56.305000,2020-07-05 13:19:56.528,1,7.0,False,,False,True,28.3,34.5,938.9,False,53.4,109,1.2
0 days 00:41:38.685000,LEC,16,0 days 00:01:10.611000,8.0,1.0,,,0 days 00:00:17.717000,0 days 00:00:31.312000,0 days 00:00:21.582000,0 days 00:41:24.609000,0 days 00:41:55.921000,0 days 00:42:17.503000,300.0,231.0,272.0,296.0,False,SOFT,11.0,False,Ferrari,0 days 00:41:06.901000,2020-07-05 13:21:07.124,1,7.0,False,,False,True,28.6,35.1,938.9,False,53.2,131,2.5
0 days 00:42:38.677000,LEC,16,0 days 00:01:10.333000,9.0,1.0,,,0 days 00:00:17.754000,0 days 00:00:31.302000,,0 days 00:49:58.778000,0 days 00:43:06.456000,,293.0,231.0,,294.0,False,SOFT,12.0,False,Ferrari,0 days 00:42:17.512000,2020-07-05 13:22:17.735,1,9.0,False,,False,False,29.1,34.1,938.9,False,53.5,85,3.2
0 days 00:42:38.677000,LEC,16,0 days 00:01:10.308000,10.0,1.0,,,0 days 00:00:17.754000,0 days 00:00:31.070000,0 days 00:00:21.484000,,0 days 00:50:09.266000,0 days 00:50:30.750000,,231.0,269.0,,False,SOFT,13.0,False,Ferrari,0 days 00:49:20.451000,2020-07-05 13:29:20.674,1,9.0,False,,False,True,29.1,34.1,938.9,False,53.5,85,3.2
