Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Circuit,Year
0 days 00:07:57.159000,HAM,44,0 days 00:01:34.233000,1.0,,,,,0 days 00:00:23.820000,0 days 00:00:35.564000,,0 days 00:08:07.280000,0 days 00:08:42.516000,272.0,289.0,279.0,237.0,False,nan,,True,Mercedes,0 days 00:07:07.988000,,1,1.0,False,,False,False,24.2,36.3,997.0,False,38.9,307,4.1,Australian Grand Prix,2018
0 days 00:08:58.221000,HAM,44,0 days 00:01:30.265000,2.0,,,,0 days 00:00:30.261000,0 days 00:00:24.081000,0 days 00:00:35.923000,0 days 00:09:12.675000,0 days 00:09:36.756000,0 days 00:10:12.679000,258.0,284.0,281.0,271.0,True,nan,,True,Mercedes,0 days 00:08:42.414000,,1,1.0,False,,False,True,24.2,36.3,996.9,False,38.2,296,3.8,Australian Grand Prix,2018
0 days 00:10:57.202000,HAM,44,0 days 00:01:29.809000,3.0,1.0,,,0 days 00:00:30.055000,0 days 00:00:24.031000,0 days 00:00:35.723000,0 days 00:10:42.734000,0 days 00:11:06.765000,0 days 00:11:42.488000,256.0,284.0,282.0,275.0,True,ULTRASOFT,4.0,False,Mercedes,0 days 00:10:12.679000,,1,1.0,False,,False,True,23.9,36.5,997.1,False,36.7,289,4.3,Australian Grand Prix,2018
0 days 00:11:57.661000,HAM,44,0 days 00:01:29.473000,4.0,1.0,,,0 days 00:00:29.886000,0 days 00:00:23.950000,0 days 00:00:35.637000,0 days 00:12:12.374000,0 days 00:12:36.324000,0 days 00:13:11.961000,259.0,284.0,279.0,267.0,True,ULTRASOFT,5.0,False,Mercedes,0 days 00:11:42.488000,,1,1.0,False,,False,True,23.9,36.3,997.1,False,36.8,255,2.9,Australian Grand Prix,2018
0 days 00:13:57.637000,HAM,44,0 days 00:01:29.161000,5.0,1.0,,,0 days 00:00:29.719000,0 days 00:00:23.909000,0 days 00:00:35.533000,0 days 00:13:41.680000,0 days 00:14:05.589000,0 days 00:14:41.122000,266.0,288.0,280.0,273.0,True,ULTRASOFT,6.0,False,Mercedes,0 days 00:13:11.961000,,1,1.0,False,,False,True,23.5,36.3,997.2,False,36.4,267,2.5,Australian Grand Prix,2018
0 days 00:14:57.832000,HAM,44,0 days 00:01:30.113000,6.0,1.0,,,0 days 00:00:29.972000,0 days 00:00:23.986000,0 days 00:00:36.155000,0 days 00:15:11.094000,0 days 00:15:35.080000,0 days 00:16:11.235000,258.0,287.0,281.0,268.0,False,ULTRASOFT,7.0,False,Mercedes,0 days 00:14:41.122000,,2,1.0,False,,False,True,23.4,36.5,997.2,False,36.3,283,2.1,Australian Grand Prix,2018
0 days 00:16:57.351000,HAM,44,0 days 00:01:30.020000,7.0,1.0,,,0 days 00:00:29.909000,0 days 00:00:24.020000,0 days 00:00:36.091000,0 days 00:16:41.144000,0 days 00:17:05.164000,0 days 00:17:41.255000,262.0,283.0,281.0,271.0,False,ULTRASOFT,8.0,False,Mercedes,0 days 00:16:11.235000,,2,1.0,False,,False,True,23.5,36.7,997.1,False,36.4,301,3.4,Australian Grand Prix,2018
0 days 00:17:57.370000,HAM,44,0 days 00:01:29.092000,8.0,1.0,,,0 days 00:00:29.809000,0 days 00:00:23.825000,0 days 00:00:35.458000,0 days 00:18:11.064000,0 days 00:18:34.889000,0 days 00:19:10.347000,269.0,286.0,280.0,275.0,True,ULTRASOFT,9.0,False,Mercedes,0 days 00:17:41.255000,,1,1.0,False,,False,True,23.8,35.6,997.0,False,37.5,297,2.9,Australian Grand Prix,2018
0 days 00:19:57.349000,HAM,44,0 days 00:01:29.070000,9.0,1.0,,,0 days 00:00:29.668000,0 days 00:00:23.893000,0 days 00:00:35.509000,0 days 00:19:40.015000,0 days 00:20:03.908000,0 days 00:20:39.417000,,287.0,281.0,280.0,True,ULTRASOFT,10.0,False,Mercedes,0 days 00:19:10.347000,,1,1.0,False,,False,True,23.9,35.9,997.0,False,38.0,294,2.0,Australian Grand Prix,2018
0 days 00:20:57.606000,HAM,44,0 days 00:01:28.884000,10.0,1.0,,,0 days 00:00:29.720000,0 days 00:00:23.809000,0 days 00:00:35.355000,0 days 00:21:09.137000,0 days 00:21:32.946000,0 days 00:22:08.301000,268.0,287.0,281.0,270.0,True,ULTRASOFT,11.0,False,Mercedes,0 days 00:20:39.417000,,2,1.0,False,,False,True,24.1,35.1,997.1,False,38.0,283,4.0,Australian Grand Prix,2018
