Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:46.427000,RIC,3,0 days 00:01:52.043000,1.0,1.0,,,,0 days 00:00:44.609000,0 days 00:00:44.534000,,0 days 00:34:38.942000,0 days 00:35:23.574000,279.0,300.0,213.0,309.0,False,SOFT,4.0,False,Renault,0 days 00:33:31.194000,2019-12-01 13:13:31.397,2,8.0,False,,False,False,26.4,60.4,1015.2,False,30.7,218,1.4
0 days 00:35:46.402000,RIC,3,0 days 00:01:45.722000,2.0,1.0,,,0 days 00:00:18.787000,0 days 00:00:44.208000,0 days 00:00:42.727000,0 days 00:35:42.212000,0 days 00:36:26.420000,0 days 00:37:09.147000,277.0,287.0,213.0,307.0,True,SOFT,5.0,False,Renault,0 days 00:35:23.438000,2019-12-01 13:15:23.641,1,8.0,False,,False,True,26.4,59.9,1015.0,False,30.5,185,1.5
0 days 00:37:46.394000,RIC,3,0 days 00:01:45.428000,3.0,1.0,,,0 days 00:00:18.689000,0 days 00:00:44.244000,0 days 00:00:42.495000,0 days 00:37:27.836000,0 days 00:38:12.080000,0 days 00:38:54.575000,270.0,285.0,214.0,300.0,True,SOFT,6.0,False,Renault,0 days 00:37:09.160000,2019-12-01 13:17:09.363,1,8.0,False,,False,True,26.4,60.7,1015.0,False,30.6,235,1.9
0 days 00:39:46.408000,RIC,3,0 days 00:01:45.441000,4.0,1.0,,,0 days 00:00:18.667000,0 days 00:00:44.230000,0 days 00:00:42.544000,0 days 00:39:13.242000,0 days 00:39:57.472000,0 days 00:40:40.016000,271.0,291.0,213.0,301.0,False,SOFT,7.0,False,Renault,0 days 00:38:54.588000,2019-12-01 13:18:54.791,1,8.0,False,,False,True,26.4,61.8,1015.0,False,30.3,261,2.0
0 days 00:40:46.408000,RIC,3,0 days 00:01:45.492000,5.0,1.0,,,0 days 00:00:18.656000,0 days 00:00:44.297000,0 days 00:00:42.539000,0 days 00:40:58.672000,0 days 00:41:42.969000,0 days 00:42:25.508000,,287.0,213.0,301.0,False,SOFT,8.0,False,Renault,0 days 00:40:40.029000,2019-12-01 13:20:40.232,1,8.0,False,,False,True,26.5,61.8,1015.0,False,30.3,94,0.9
0 days 00:42:46.394000,RIC,3,0 days 00:01:45.689000,6.0,1.0,,,0 days 00:00:18.684000,0 days 00:00:44.497000,0 days 00:00:42.508000,0 days 00:42:44.192000,0 days 00:43:28.689000,0 days 00:44:11.197000,273.0,288.0,213.0,304.0,False,SOFT,9.0,False,Renault,0 days 00:42:25.521000,2019-12-01 13:22:25.724,1,8.0,False,,False,True,26.5,61.8,1015.1,False,30.2,198,1.5
0 days 00:44:46.572000,RIC,3,0 days 00:01:45.358000,7.0,1.0,,,0 days 00:00:18.681000,0 days 00:00:44.218000,0 days 00:00:42.459000,0 days 00:44:29.878000,0 days 00:45:14.096000,0 days 00:45:56.555000,272.0,292.0,213.0,303.0,True,SOFT,10.0,False,Renault,0 days 00:44:11.210000,2019-12-01 13:24:11.413,1,8.0,False,,False,True,26.3,61.9,1015.0,False,30.8,264,0.7
0 days 00:46:46.521000,RIC,3,0 days 00:01:45.560000,8.0,1.0,,,0 days 00:00:18.682000,0 days 00:00:44.348000,0 days 00:00:42.530000,0 days 00:46:15.237000,0 days 00:46:59.585000,0 days 00:47:42.115000,275.0,290.0,214.0,304.0,False,SOFT,11.0,False,Renault,0 days 00:45:56.568000,2019-12-01 13:25:56.771,1,8.0,False,,False,True,26.4,61.9,1015.1,False,30.6,142,1.0
0 days 00:47:46.397000,RIC,3,0 days 00:01:45.420000,9.0,1.0,,,0 days 00:00:18.685000,0 days 00:00:44.297000,0 days 00:00:42.438000,0 days 00:48:00.800000,0 days 00:48:45.097000,0 days 00:49:27.535000,274.0,285.0,214.0,300.0,False,SOFT,12.0,False,Renault,0 days 00:47:42.128000,2019-12-01 13:27:42.331,1,7.0,False,,False,True,26.4,61.9,1015.1,False,30.5,136,0.7
0 days 00:49:46.376000,RIC,3,0 days 00:01:45.508000,10.0,1.0,,,0 days 00:00:18.511000,0 days 00:00:44.441000,0 days 00:00:42.556000,0 days 00:49:46.046000,0 days 00:50:30.487000,0 days 00:51:13.043000,276.0,289.0,213.0,304.0,False,SOFT,13.0,False,Renault,0 days 00:49:27.548000,2019-12-01 13:29:27.751,1,7.0,False,,False,True,26.1,62.6,1015.1,False,30.2,224,0.9
0 days 00:51:46.385000,RIC,3,0 days 00:01:47.170000,11.0,1.0,,0 days 00:52:59.158000,0 days 00:00:18.646000,0 days 00:00:44.331000,0 days 00:00:44.193000,0 days 00:51:31.689000,0 days 00:52:16.020000,0 days 00:53:00.213000,275.0,289.0,,303.0,False,SOFT,14.0,False,Renault,0 days 00:51:13.056000,2019-12-01 13:31:13.259,1,8.0,False,,False,False,26.1,62.9,1015.2,False,30.2,127,1.1
0 days 00:53:46.487000,RIC,3,0 days 00:02:04.267000,12.0,2.0,0 days 00:53:21.092000,,0 days 00:00:38.602000,0 days 00:00:43.780000,0 days 00:00:41.885000,0 days 00:53:38.815000,0 days 00:54:22.595000,0 days 00:55:04.480000,276.0,299.0,215.0,304.0,False,HARD,1.0,True,Renault,0 days 00:53:00.226000,2019-12-01 13:33:00.429,1,15.0,False,,False,False,26.0,63.6,1015.2,False,30.2,256,1.1
0 days 00:55:46.378000,RIC,3,0 days 00:01:44.992000,13.0,2.0,,,0 days 00:00:18.391000,0 days 00:00:44.340000,0 days 00:00:42.261000,0 days 00:55:22.871000,0 days 00:56:07.211000,0 days 00:56:49.472000,273.0,294.0,214.0,313.0,True,HARD,2.0,True,Renault,0 days 00:55:04.493000,2019-12-01 13:35:04.696,1,14.0,False,,False,True,26.1,64.4,1015.2,False,30.2,204,1.1
0 days 00:57:46.414000,RIC,3,0 days 00:01:44.858000,14.0,2.0,,,0 days 00:00:18.520000,0 days 00:00:43.916000,0 days 00:00:42.422000,0 days 00:57:07.992000,0 days 00:57:51.908000,0 days 00:58:34.330000,,298.0,213.0,304.0,True,HARD,3.0,True,Renault,0 days 00:56:49.485000,2019-12-01 13:36:49.688,1,14.0,False,,False,True,26.1,64.2,1015.3,False,30.0,199,1.2
0 days 00:58:46.410000,RIC,3,0 days 00:01:46.835000,15.0,2.0,,,0 days 00:00:18.362000,0 days 00:00:44.674000,0 days 00:00:43.799000,0 days 00:58:52.692000,0 days 00:59:37.366000,0 days 01:00:21.165000,279.0,308.0,213.0,313.0,False,HARD,4.0,True,Renault,0 days 00:58:34.343000,2019-12-01 13:38:34.546,1,15.0,False,,False,True,26.1,64.4,1015.2,False,30.0,250,1.0
0 days 01:00:46.482000,RIC,3,0 days 00:01:45.617000,16.0,2.0,,,0 days 00:00:18.933000,0 days 00:00:44.256000,0 days 00:00:42.428000,0 days 01:00:40.098000,0 days 01:01:24.354000,0 days 01:02:06.782000,273.0,290.0,213.0,304.0,False,HARD,5.0,True,Renault,0 days 01:00:21.178000,2019-12-01 13:40:21.381,1,15.0,False,,False,True,26.1,64.4,1015.3,False,29.9,254,1.0
0 days 01:02:46.411000,RIC,3,0 days 00:01:44.957000,17.0,2.0,,,0 days 00:00:18.504000,0 days 00:00:44.207000,0 days 00:00:42.246000,0 days 01:02:25.286000,0 days 01:03:09.493000,0 days 01:03:51.739000,276.0,292.0,214.0,303.0,False,HARD,6.0,True,Renault,0 days 01:02:06.795000,2019-12-01 13:42:06.998,1,15.0,False,,False,True,26.0,65.2,1015.3,False,29.9,248,1.1
0 days 01:04:46.400000,RIC,3,0 days 00:01:45.531000,18.0,2.0,,,0 days 00:00:18.479000,0 days 00:00:44.189000,0 days 00:00:42.863000,0 days 01:04:10.218000,0 days 01:04:54.407000,0 days 01:05:37.270000,,295.0,214.0,307.0,False,HARD,7.0,True,Renault,0 days 01:03:51.752000,2019-12-01 13:43:51.955,1,14.0,False,,False,True,26.0,65.6,1015.3,False,29.6,233,1.3
