Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:11.269000,RUS,63,0 days 00:01:22.907000,1.0,1.0,0 days 00:33:03.157000,0 days 00:31:58.994000,,0 days 00:00:32.664000,0 days 00:00:22.684000,,0 days 00:33:52.858000,0 days 00:34:15.665000,298.0,229.0,269.0,299.0,False,MEDIUM,1.0,True,Williams,0 days 00:32:52.408000,2019-06-30 13:12:52.435,1,20.0,False,,False,False,33.9,19.8,941.0,False,51.2,260,1.2
0 days 00:35:11.295000,RUS,63,0 days 00:01:13.745000,2.0,1.0,,,0 days 00:00:18.084000,0 days 00:00:32.714000,0 days 00:00:22.947000,0 days 00:34:33.586000,0 days 00:35:06.300000,0 days 00:35:29.247000,296.0,224.0,270.0,294.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:15.534000,2019-06-30 13:14:15.561,1,20.0,False,,False,True,33.6,20.3,941.0,False,51.0,0,1.8
0 days 00:36:11.323000,RUS,63,0 days 00:01:13.066000,3.0,1.0,,,0 days 00:00:17.684000,0 days 00:00:32.665000,0 days 00:00:22.717000,0 days 00:35:46.931000,0 days 00:36:19.596000,0 days 00:36:42.313000,323.0,223.0,279.0,316.0,True,MEDIUM,3.0,True,Williams,0 days 00:35:29.279000,2019-06-30 13:15:29.306,1,20.0,False,,False,True,33.9,19.4,941.0,False,51.3,14,0.8
0 days 00:37:11.321000,RUS,63,0 days 00:01:11.451000,4.0,1.0,,,0 days 00:00:17.332000,0 days 00:00:31.981000,0 days 00:00:22.138000,0 days 00:36:59.645000,0 days 00:37:31.626000,0 days 00:37:53.764000,322.0,224.0,270.0,301.0,True,MEDIUM,4.0,True,Williams,0 days 00:36:42.345000,2019-06-30 13:16:42.372,1,18.0,False,,False,True,34.1,18.9,941.0,False,51.3,129,0.7
0 days 00:38:11.334000,RUS,63,0 days 00:01:12.067000,5.0,1.0,,,0 days 00:00:17.796000,0 days 00:00:32.132000,0 days 00:00:22.139000,0 days 00:38:11.560000,0 days 00:38:43.692000,0 days 00:39:05.831000,305.0,220.0,271.0,302.0,False,MEDIUM,5.0,True,Williams,0 days 00:37:53.796000,2019-06-30 13:17:53.823,1,18.0,False,,False,True,34.2,19.0,940.9,False,51.2,19,1.2
0 days 00:39:11.347000,RUS,63,0 days 00:01:11.904000,6.0,1.0,,,0 days 00:00:17.762000,0 days 00:00:31.966000,0 days 00:00:22.176000,0 days 00:39:23.593000,0 days 00:39:55.559000,0 days 00:40:17.735000,304.0,225.0,272.0,302.0,False,MEDIUM,6.0,True,Williams,0 days 00:39:05.863000,2019-06-30 13:19:05.890,1,18.0,False,,False,True,34.6,18.8,941.0,False,51.4,10,0.7
0 days 00:41:11.419000,RUS,63,0 days 00:01:12.180000,7.0,1.0,,,0 days 00:00:17.891000,0 days 00:00:32.073000,0 days 00:00:22.216000,0 days 00:40:35.626000,0 days 00:41:07.699000,0 days 00:41:29.915000,,218.0,272.0,301.0,False,MEDIUM,7.0,True,Williams,0 days 00:40:17.767000,2019-06-30 13:20:17.794,1,18.0,False,,False,True,34.6,18.8,940.9,False,51.3,305,0.9
0 days 00:42:11.526000,RUS,63,0 days 00:01:12.208000,8.0,1.0,,,0 days 00:00:17.849000,0 days 00:00:32.020000,0 days 00:00:22.339000,0 days 00:41:47.764000,0 days 00:42:19.784000,0 days 00:42:42.123000,303.0,218.0,272.0,301.0,False,MEDIUM,8.0,True,Williams,0 days 00:41:29.947000,2019-06-30 13:21:29.974,1,18.0,False,,False,True,34.6,18.7,941.0,False,51.1,274,1.2
0 days 00:43:11.414000,RUS,63,0 days 00:01:11.977000,9.0,1.0,,,0 days 00:00:17.722000,0 days 00:00:31.966000,0 days 00:00:22.289000,0 days 00:42:59.845000,0 days 00:43:31.811000,0 days 00:43:54.100000,306.0,223.0,281.0,300.0,False,MEDIUM,9.0,True,Williams,0 days 00:42:42.155000,2019-06-30 13:22:42.182,1,18.0,False,,False,True,34.6,18.5,940.9,False,51.1,56,1.2
0 days 00:44:11.427000,RUS,63,0 days 00:01:12.779000,10.0,1.0,,,0 days 00:00:17.499000,0 days 00:00:33.045000,0 days 00:00:22.235000,0 days 00:44:11.599000,0 days 00:44:44.644000,0 days 00:45:06.879000,309.0,217.0,278.0,312.0,False,MEDIUM,10.0,True,Williams,0 days 00:43:54.132000,2019-06-30 13:23:54.159,1,18.0,False,,False,True,34.9,18.1,940.9,False,51.1,81,1.2
