Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:46.468000,GIO,99,0 days 00:02:02.515000,1.0,1.0,,,,0 days 00:00:47.720000,0 days 00:00:25.779000,,0 days 00:35:14.486000,0 days 00:35:40.323000,156.0,185.0,324.0,321.0,False,SOFT,4.0,False,Alfa Romeo Racing,0 days 00:33:37.411000,2019-04-28 12:13:37.658,1,15.0,False,,False,False,20.0,48.4,1013.9,False,42.4,0,0.8
0 days 00:35:46.711000,GIO,99,0 days 00:01:51.636000,2.0,1.0,,,0 days 00:00:40.272000,0 days 00:00:45.582000,0 days 00:00:25.782000,0 days 00:36:20.417000,0 days 00:37:05.999000,0 days 00:37:31.781000,186.0,195.0,323.0,320.0,True,SOFT,5.0,False,Alfa Romeo Racing,0 days 00:35:40.176000,2019-04-28 12:15:40.423,1,15.0,False,,False,True,20.1,48.4,1013.9,False,42.2,201,1.2
0 days 00:37:46.934000,GIO,99,0 days 00:01:50.645000,3.0,1.0,,,0 days 00:00:39.679000,0 days 00:00:45.341000,0 days 00:00:25.625000,0 days 00:38:11.460000,0 days 00:38:56.801000,0 days 00:39:22.426000,175.0,201.0,337.0,321.0,True,SOFT,6.0,False,Alfa Romeo Racing,0 days 00:37:31.812000,2019-04-28 12:17:32.059,1,15.0,False,,False,True,20.3,48.1,1013.9,False,42.4,221,0.6
0 days 00:39:47.094000,GIO,99,0 days 00:01:50.609000,4.0,1.0,,,0 days 00:00:39.879000,0 days 00:00:45.294000,0 days 00:00:25.436000,0 days 00:40:02.305000,0 days 00:40:47.599000,0 days 00:41:13.035000,176.0,200.0,340.0,323.0,True,SOFT,7.0,False,Alfa Romeo Racing,0 days 00:39:22.457000,2019-04-28 12:19:22.704,1,15.0,False,,False,True,20.3,49.5,1013.8,False,41.8,208,1.1
0 days 00:41:46.580000,GIO,99,0 days 00:01:53.976000,5.0,1.0,,,0 days 00:00:40.706000,0 days 00:00:47.607000,0 days 00:00:25.663000,0 days 00:41:53.741000,0 days 00:42:41.348000,0 days 00:43:07.011000,170.0,185.0,342.0,327.0,False,SOFT,8.0,False,Alfa Romeo Racing,0 days 00:41:13.066000,2019-04-28 12:21:13.313,1,14.0,False,,False,True,20.0,49.6,1013.9,False,41.8,218,1.7
0 days 00:43:46.609000,GIO,99,0 days 00:01:56.488000,6.0,1.0,,,0 days 00:00:42.931000,0 days 00:00:47.466000,0 days 00:00:26.091000,0 days 00:43:49.942000,0 days 00:44:37.408000,0 days 00:45:03.499000,,194.0,321.0,316.0,False,SOFT,9.0,False,Alfa Romeo Racing,0 days 00:43:07.042000,2019-04-28 12:23:07.289,1,16.0,False,,False,True,20.1,50.8,1014.0,False,41.5,218,1.6
0 days 00:45:46.637000,GIO,99,0 days 00:02:00.316000,7.0,1.0,,0 days 00:47:02.633000,0 days 00:00:41.435000,0 days 00:00:47.565000,0 days 00:00:31.316000,0 days 00:45:44.934000,0 days 00:46:32.499000,0 days 00:47:03.815000,180.0,191.0,,315.0,False,SOFT,10.0,False,Alfa Romeo Racing,0 days 00:45:03.530000,2019-04-28 12:25:03.777,1,18.0,False,,False,False,20.0,50.0,1013.9,False,41.4,0,2.0
0 days 00:47:46.664000,GIO,99,0 days 00:02:07.018000,8.0,2.0,0 days 00:47:23.837000,,0 days 00:00:56.200000,0 days 00:00:44.819000,0 days 00:00:25.999000,0 days 00:48:00.015000,0 days 00:48:44.834000,0 days 00:49:10.833000,189.0,203.0,312.0,313.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:47:03.846000,2019-04-28 12:27:04.093,1,20.0,False,,False,False,20.1,51.3,1013.9,False,41.4,0,1.0
0 days 00:49:46.694000,GIO,99,0 days 00:01:48.211000,9.0,2.0,,,0 days 00:00:38.688000,0 days 00:00:43.866000,0 days 00:00:25.657000,0 days 00:49:49.521000,0 days 00:50:33.387000,0 days 00:50:59.044000,197.0,202.0,320.0,317.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:49:10.864000,2019-04-28 12:29:11.111,1,20.0,False,,False,True,20.4,52.5,1013.9,False,41.3,2,1.1
0 days 00:51:46.725000,GIO,99,0 days 00:01:48.542000,10.0,2.0,,,0 days 00:00:39.083000,0 days 00:00:44.254000,0 days 00:00:25.205000,0 days 00:51:38.127000,0 days 00:52:22.381000,0 days 00:52:47.586000,186.0,202.0,346.0,324.0,False,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:50:59.075000,2019-04-28 12:30:59.322,1,20.0,False,,False,True,19.7,53.0,1013.8,False,41.0,329,0.7
0 days 00:53:46.750000,GIO,99,0 days 00:01:51.736000,11.0,2.0,,,0 days 00:00:41.054000,0 days 00:00:45.273000,0 days 00:00:25.409000,0 days 00:53:28.640000,0 days 00:54:13.913000,0 days 00:54:39.322000,185.0,190.0,340.0,323.0,False,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:52:47.617000,2019-04-28 12:32:47.864,1,20.0,False,,False,True,19.8,52.1,1013.8,False,41.0,108,1.7
0 days 00:54:46.766000,GIO,99,0 days 00:01:49.912000,12.0,2.0,,,0 days 00:00:39.919000,0 days 00:00:44.744000,0 days 00:00:25.249000,0 days 00:55:19.241000,0 days 00:56:03.985000,0 days 00:56:29.234000,178.0,192.0,342.0,324.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:54:39.353000,2019-04-28 12:34:39.600,1,20.0,False,,False,True,19.8,52.1,1013.9,False,41.1,201,0.9
