Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:29.811000,GIO,99,0 days 00:02:36.641000,1.0,1.0,,,,0 days 00:01:17.853000,0 days 00:00:40.395000,,0 days 00:35:23.281000,0 days 00:36:03.754000,318.0,176.0,196.0,273.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:26.693000,2019-09-01 13:13:26.907,24,13.0,False,,False,False,16.9,59.2,968.2,False,27.0,26,2.4
0 days 00:36:30.134000,GIO,99,,2.0,1.0,,,0 days 00:01:03.007000,0 days 00:01:13.106000,0 days 00:00:42.374000,0 days 00:37:06.633000,0 days 00:38:19.955000,0 days 00:39:02.266000,213.0,138.0,198.0,94.0,False,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:36:03.676000,2019-09-01 13:16:03.890,4,12.0,False,,False,False,17.2,58.0,968.2,False,27.7,353,2.1
0 days 00:39:29.968000,GIO,99,,3.0,1.0,,,0 days 00:00:55.958000,0 days 00:01:07.835000,0 days 00:00:54.092000,0 days 00:39:58.081000,0 days 00:41:05.962000,0 days 00:42:00.112000,255.0,156.0,196.0,174.0,False,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:39:02.113000,2019-09-01 13:19:02.327,4,12.0,False,,False,False,17.3,56.1,968.1,False,29.2,34,2.9
0 days 00:42:30.059000,GIO,99,,4.0,1.0,,,0 days 00:00:45.417000,0 days 00:01:11.034000,0 days 00:00:49.013000,0 days 00:42:45.375000,0 days 00:43:56.434000,0 days 00:44:47.991000,278.0,176.0,220.0,265.0,False,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:42:00.008000,2019-09-01 13:22:00.222,4,12.0,False,,False,False,17.5,55.2,968.2,False,28.5,4,1.9
0 days 00:45:29.970000,GIO,99,0 days 00:01:54.219000,5.0,1.0,,,0 days 00:00:31.626000,0 days 00:00:52.375000,0 days 00:00:30.218000,0 days 00:45:17.016000,0 days 00:46:09.391000,0 days 00:46:39.609000,330.0,191.0,217.0,311.0,True,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:44:45.390000,2019-09-01 13:24:45.604,1,12.0,False,,False,False,17.4,56.3,968.2,False,27.8,27,2.0
0 days 00:47:29.999000,GIO,99,0 days 00:01:53.030000,6.0,1.0,,,0 days 00:00:31.730000,0 days 00:00:51.269000,0 days 00:00:30.031000,0 days 00:47:11.339000,0 days 00:48:02.608000,0 days 00:48:32.639000,319.0,196.0,214.0,,True,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:46:39.609000,2019-09-01 13:26:39.823,1,12.0,False,,False,True,17.4,56.8,968.2,False,27.3,333,1.6
0 days 00:49:30.048000,GIO,99,0 days 00:01:52.583000,7.0,1.0,,,0 days 00:00:31.562000,0 days 00:00:50.934000,0 days 00:00:30.087000,0 days 00:49:04.201000,0 days 00:49:55.135000,0 days 00:50:25.222000,342.0,199.0,217.0,,True,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:48:32.639000,2019-09-01 13:28:32.853,1,12.0,False,,False,True,17.5,55.5,968.2,False,27.1,284,1.5
0 days 00:50:30.038000,GIO,99,0 days 00:01:51.888000,8.0,1.0,,,0 days 00:00:31.331000,0 days 00:00:50.654000,0 days 00:00:29.903000,0 days 00:50:56.553000,0 days 00:51:47.207000,0 days 00:52:17.110000,332.0,197.0,218.0,,True,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:50:25.222000,2019-09-01 13:30:25.436,1,12.0,False,,False,True,17.2,56.8,968.2,False,26.6,222,1.5
0 days 00:52:30.242000,GIO,99,0 days 00:01:51.626000,9.0,1.0,,,0 days 00:00:31.266000,0 days 00:00:50.574000,0 days 00:00:29.786000,0 days 00:52:48.376000,0 days 00:53:38.950000,0 days 00:54:08.736000,336.0,196.0,218.0,,True,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:52:17.110000,2019-09-01 13:32:17.324,1,12.0,False,,False,True,17.4,57.5,968.2,False,26.6,1,2.9
0 days 00:54:30.175000,GIO,99,0 days 00:01:52.265000,10.0,1.0,,,0 days 00:00:31.287000,0 days 00:00:51.080000,0 days 00:00:29.898000,0 days 00:54:40.023000,0 days 00:55:31.103000,0 days 00:56:01.001000,338.0,183.0,219.0,310.0,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:54:08.736000,2019-09-01 13:34:08.950,1,12.0,False,,False,True,17.3,57.7,968.3,False,26.8,273,0.9
0 days 00:56:30.150000,GIO,99,0 days 00:01:52.388000,11.0,1.0,,,0 days 00:00:31.187000,0 days 00:00:51.268000,0 days 00:00:29.933000,0 days 00:56:32.188000,0 days 00:57:23.456000,0 days 00:57:53.389000,341.0,194.0,219.0,313.0,False,MEDIUM,11.0,True,Alfa Romeo Racing,0 days 00:56:01.001000,2019-09-01 13:36:01.215,1,12.0,False,,False,True,17.2,58.0,968.3,False,27.1,245,1.9
0 days 00:58:30.146000,GIO,99,0 days 00:01:52.463000,12.0,1.0,,,0 days 00:00:31.229000,0 days 00:00:51.381000,0 days 00:00:29.853000,0 days 00:58:24.618000,0 days 00:59:15.999000,0 days 00:59:45.852000,334.0,199.0,218.0,,False,MEDIUM,12.0,True,Alfa Romeo Racing,0 days 00:57:53.389000,2019-09-01 13:37:53.603,1,12.0,False,,False,True,17.3,58.4,968.2,False,27.1,16,1.6
0 days 01:00:30.175000,GIO,99,0 days 00:01:51.832000,13.0,1.0,,,0 days 00:00:31.365000,0 days 00:00:50.672000,0 days 00:00:29.795000,0 days 01:00:17.217000,0 days 01:01:07.889000,0 days 01:01:37.684000,332.0,195.0,217.0,312.0,False,MEDIUM,13.0,True,Alfa Romeo Racing,0 days 00:59:45.852000,2019-09-01 13:39:46.066,1,12.0,False,,False,True,17.2,56.9,968.3,False,28.4,2,2.8
0 days 01:02:30.200000,GIO,99,0 days 00:01:50.963000,14.0,1.0,,,0 days 00:00:31.156000,0 days 00:00:49.976000,0 days 00:00:29.831000,0 days 01:02:08.840000,0 days 01:02:58.816000,0 days 01:03:28.647000,340.0,199.0,216.0,315.0,True,MEDIUM,14.0,True,Alfa Romeo Racing,0 days 01:01:37.684000,2019-09-01 13:41:37.898,1,9.0,False,,False,True,17.5,56.8,968.3,False,29.2,203,2.1
