Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:36.572000,KVY,26,0 days 00:02:06.639000,1.0,1.0,,,,0 days 00:00:34.285000,0 days 00:01:00.948000,,0 days 00:34:33.077000,0 days 00:35:34.737000,279.0,266.0,175.0,105.0,False,MEDIUM,1.0,True,Toro Rosso,0 days 00:33:27.137000,2019-04-14 06:13:29.012,26,17.0,False,,False,False,19.6,44.7,1019.2,False,28.8,130,3.0
0 days 00:35:36.746000,KVY,26,0 days 00:01:44.240000,2.0,1.0,,,0 days 00:00:30.104000,0 days 00:00:30.453000,0 days 00:00:43.683000,0 days 00:36:04.098000,0 days 00:36:34.551000,0 days 00:37:18.234000,275.0,266.0,252.0,318.0,True,MEDIUM,2.0,True,Toro Rosso,0 days 00:35:34.014000,2019-04-14 06:15:35.889,67,16.0,False,,False,False,19.4,45.1,1019.1,False,28.9,79,2.6
0 days 00:37:37.047000,KVY,26,0 days 00:01:40.910000,3.0,1.0,,,0 days 00:00:26.642000,0 days 00:00:31.082000,0 days 00:00:43.186000,0 days 00:37:44.876000,0 days 00:38:15.958000,0 days 00:38:59.144000,277.0,266.0,257.0,334.0,True,MEDIUM,3.0,True,Toro Rosso,0 days 00:37:18.254000,2019-04-14 06:17:20.129,1,15.0,False,,False,True,19.8,43.4,1019.1,False,28.9,84,3.2
0 days 00:39:36.606000,KVY,26,0 days 00:01:40.651000,4.0,1.0,,,0 days 00:00:26.267000,0 days 00:00:30.493000,0 days 00:00:43.891000,0 days 00:39:25.411000,0 days 00:39:55.904000,0 days 00:40:39.795000,281.0,264.0,257.0,330.0,True,MEDIUM,4.0,True,Toro Rosso,0 days 00:38:59.164000,2019-04-14 06:19:01.039,1,14.0,False,,False,True,19.6,43.8,1019.1,False,28.3,89,3.3
0 days 00:41:36.657000,KVY,26,0 days 00:01:41.846000,5.0,1.0,,,0 days 00:00:26.790000,0 days 00:00:31.192000,0 days 00:00:43.864000,0 days 00:41:06.585000,0 days 00:41:37.777000,0 days 00:42:21.641000,279.0,266.0,259.0,328.0,False,MEDIUM,5.0,True,Toro Rosso,0 days 00:40:39.815000,2019-04-14 06:20:41.690,1,14.0,False,,False,True,19.4,44.0,1019.1,False,28.2,91,4.0
0 days 00:42:36.649000,KVY,26,0 days 00:01:41.473000,6.0,1.0,,,0 days 00:00:26.542000,0 days 00:00:31.250000,0 days 00:00:43.681000,0 days 00:42:48.183000,0 days 00:43:19.433000,0 days 00:44:03.114000,282.0,266.0,263.0,330.0,False,MEDIUM,6.0,True,Toro Rosso,0 days 00:42:21.661000,2019-04-14 06:22:23.536,1,14.0,False,,False,True,19.5,43.5,1019.1,False,28.1,68,3.4
0 days 00:44:36.677000,KVY,26,0 days 00:01:46.599000,7.0,1.0,,0 days 00:45:48.227000,0 days 00:00:26.911000,0 days 00:00:31.093000,0 days 00:00:48.595000,0 days 00:44:30.025000,0 days 00:45:01.118000,0 days 00:45:49.713000,279.0,268.0,,332.0,False,MEDIUM,7.0,True,Toro Rosso,0 days 00:44:03.134000,2019-04-14 06:24:05.009,1,16.0,False,,False,False,19.6,43.4,1019.1,False,28.1,77,4.6
0 days 00:46:36.705000,KVY,26,0 days 00:01:53.099000,8.0,2.0,0 days 00:46:05.256000,,0 days 00:00:39.532000,0 days 00:00:30.036000,0 days 00:00:43.531000,0 days 00:46:29.245000,0 days 00:46:59.281000,0 days 00:47:42.812000,269.0,265.0,255.0,303.0,False,MEDIUM,8.0,False,Toro Rosso,0 days 00:45:49.733000,2019-04-14 06:25:51.608,1,17.0,False,,False,False,19.6,44.5,1019.2,False,28.0,99,3.6
0 days 00:48:36.733000,KVY,26,0 days 00:01:40.154000,9.0,2.0,,,0 days 00:00:26.548000,0 days 00:00:30.016000,0 days 00:00:43.590000,0 days 00:48:09.360000,0 days 00:48:39.376000,0 days 00:49:22.966000,272.0,265.0,254.0,303.0,True,MEDIUM,9.0,False,Toro Rosso,0 days 00:47:42.832000,2019-04-14 06:27:44.707,1,16.0,False,,False,True,19.6,45.0,1019.2,False,27.9,61,4.0
0 days 00:49:36.746000,KVY,26,0 days 00:01:40.187000,10.0,2.0,,,0 days 00:00:26.498000,0 days 00:00:30.146000,0 days 00:00:43.543000,0 days 00:49:49.464000,0 days 00:50:19.610000,0 days 00:51:03.153000,269.0,263.0,254.0,305.0,False,MEDIUM,10.0,False,Toro Rosso,0 days 00:49:22.986000,2019-04-14 06:29:24.861,1,15.0,False,,False,True,19.6,45.1,1019.2,False,27.9,90,3.6
0 days 00:51:37.114000,KVY,26,0 days 00:01:40.536000,11.0,2.0,,,0 days 00:00:26.626000,0 days 00:00:30.405000,0 days 00:00:43.505000,0 days 00:51:29.779000,0 days 00:52:00.184000,0 days 00:52:43.689000,268.0,262.0,256.0,309.0,False,MEDIUM,11.0,False,Toro Rosso,0 days 00:51:03.173000,2019-04-14 06:31:05.048,1,15.0,False,,False,True,19.6,45.2,1019.1,False,27.8,84,3.6
0 days 00:53:36.815000,KVY,26,0 days 00:01:40.527000,12.0,2.0,,,0 days 00:00:26.629000,0 days 00:00:30.296000,0 days 00:00:43.602000,0 days 00:53:10.318000,0 days 00:53:40.614000,0 days 00:54:24.216000,270.0,264.0,260.0,313.0,False,MEDIUM,12.0,False,Toro Rosso,0 days 00:52:43.709000,2019-04-14 06:32:45.584,1,14.0,False,,False,True,19.5,45.7,1019.0,False,27.8,95,3.9
0 days 00:54:36.815000,KVY,26,0 days 00:01:40.044000,13.0,2.0,,,0 days 00:00:26.489000,0 days 00:00:30.130000,0 days 00:00:43.425000,0 days 00:54:50.705000,0 days 00:55:20.835000,0 days 00:56:04.260000,267.0,263.0,255.0,306.0,True,MEDIUM,13.0,False,Toro Rosso,0 days 00:54:24.236000,2019-04-14 06:34:26.111,1,13.0,False,,False,True,19.7,44.6,1019.1,False,27.5,101,3.6
0 days 00:56:36.844000,KVY,26,0 days 00:01:40.075000,14.0,2.0,,,0 days 00:00:26.470000,0 days 00:00:30.217000,0 days 00:00:43.388000,0 days 00:56:30.730000,0 days 00:57:00.947000,0 days 00:57:44.335000,269.0,264.0,255.0,305.0,False,MEDIUM,14.0,False,Toro Rosso,0 days 00:56:04.280000,2019-04-14 06:36:06.155,1,13.0,False,,False,True,19.6,44.1,1019.2,False,27.5,90,3.2
0 days 00:58:37.517000,KVY,26,0 days 00:01:40.126000,15.0,2.0,,,0 days 00:00:26.562000,0 days 00:00:30.120000,0 days 00:00:43.444000,0 days 00:58:10.897000,0 days 00:58:41.017000,0 days 00:59:24.461000,270.0,263.0,256.0,309.0,False,MEDIUM,15.0,False,Toro Rosso,0 days 00:57:44.355000,2019-04-14 06:37:46.230,1,13.0,False,,False,True,19.6,43.3,1019.2,False,27.6,85,3.2
