Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:31.669000,NOR,4,0 days 00:01:32.654000,1.0,1.0,,,,0 days 00:00:32.963000,0 days 00:00:23.996000,,0 days 00:33:58.062000,0 days 00:34:22.132000,221.0,232.0,248.0,267.0,False,SOFT,4.0,False,McLaren,0 days 00:32:49.099000,2019-08-04 13:12:49.128,1,7.0,False,,False,False,25.9,35.7,986.6,False,44.0,267,1.3
0 days 00:34:31.696000,NOR,4,0 days 00:01:24.976000,2.0,1.0,,,0 days 00:00:30.095000,0 days 00:00:31.135000,0 days 00:00:23.746000,0 days 00:34:52.105000,0 days 00:35:23.240000,0 days 00:35:46.986000,270.0,234.0,249.0,291.0,True,SOFT,5.0,False,McLaren,0 days 00:34:21.954000,2019-08-04 13:14:21.983,2,7.0,False,,False,True,25.9,36.1,986.6,False,43.2,353,1.6
0 days 00:36:31.885000,NOR,4,0 days 00:01:24.602000,3.0,1.0,,,0 days 00:00:29.939000,0 days 00:00:30.876000,0 days 00:00:23.787000,0 days 00:36:16.925000,0 days 00:36:47.801000,0 days 00:37:11.588000,277.0,235.0,253.0,,True,SOFT,6.0,False,McLaren,0 days 00:35:46.930000,2019-08-04 13:15:46.959,1,7.0,False,,False,True,26.1,34.7,986.6,False,42.3,276,0.5
0 days 00:37:32.041000,NOR,4,0 days 00:01:24.910000,4.0,1.0,,,0 days 00:00:30.115000,0 days 00:00:30.887000,0 days 00:00:23.908000,0 days 00:37:41.703000,0 days 00:38:12.590000,0 days 00:38:36.498000,255.0,236.0,248.0,306.0,False,SOFT,7.0,False,McLaren,0 days 00:37:11.532000,2019-08-04 13:17:11.561,1,7.0,False,,False,True,26.0,34.5,986.6,False,41.8,152,1.1
0 days 00:39:31.784000,NOR,4,0 days 00:01:24.636000,5.0,1.0,,,0 days 00:00:30.057000,0 days 00:00:30.726000,0 days 00:00:23.853000,0 days 00:39:06.555000,0 days 00:39:37.281000,0 days 00:40:01.134000,269.0,237.0,247.0,290.0,False,SOFT,8.0,False,McLaren,0 days 00:38:36.442000,2019-08-04 13:18:36.471,1,7.0,False,,False,True,25.6,35.8,986.6,False,41.3,130,0.9
0 days 00:40:31.812000,NOR,4,0 days 00:01:24.242000,6.0,1.0,,,0 days 00:00:29.972000,0 days 00:00:30.418000,0 days 00:00:23.852000,0 days 00:40:31.106000,0 days 00:41:01.524000,0 days 00:41:25.376000,276.0,236.0,247.0,288.0,True,SOFT,9.0,False,McLaren,0 days 00:40:01.078000,2019-08-04 13:20:01.107,1,6.0,False,,False,True,25.5,35.8,986.5,False,40.9,271,0.8
0 days 00:41:31.780000,NOR,4,0 days 00:01:23.874000,7.0,1.0,,,0 days 00:00:29.785000,0 days 00:00:30.318000,0 days 00:00:23.771000,0 days 00:41:55.161000,0 days 00:42:25.479000,0 days 00:42:49.250000,275.0,238.0,247.0,287.0,True,SOFT,10.0,False,McLaren,0 days 00:41:25.320000,2019-08-04 13:21:25.349,1,6.0,False,,False,True,25.4,36.0,986.6,False,40.7,257,0.8
0 days 00:43:31.805000,NOR,4,0 days 00:01:23.581000,8.0,1.0,,,0 days 00:00:29.718000,0 days 00:00:30.182000,0 days 00:00:23.681000,0 days 00:43:18.968000,0 days 00:43:49.150000,0 days 00:44:12.831000,278.0,238.0,247.0,288.0,True,SOFT,11.0,False,McLaren,0 days 00:42:49.194000,2019-08-04 13:22:49.223,1,6.0,False,,False,True,25.2,36.5,986.5,False,39.6,177,1.7
0 days 00:44:31.818000,NOR,4,0 days 00:01:23.646000,9.0,1.0,,,0 days 00:00:29.689000,0 days 00:00:30.210000,0 days 00:00:23.747000,0 days 00:44:42.520000,0 days 00:45:12.730000,0 days 00:45:36.477000,,237.0,248.0,289.0,False,SOFT,12.0,False,McLaren,0 days 00:44:12.775000,2019-08-04 13:24:12.804,1,6.0,False,,False,True,25.0,37.0,986.6,False,39.4,240,0.8
0 days 00:46:31.846000,NOR,4,0 days 00:01:23.622000,10.0,1.0,,,0 days 00:00:29.699000,0 days 00:00:30.025000,0 days 00:00:23.898000,0 days 00:46:06.176000,0 days 00:46:36.201000,0 days 00:47:00.099000,,239.0,248.0,290.0,False,SOFT,13.0,False,McLaren,0 days 00:45:36.421000,2019-08-04 13:25:36.450,1,6.0,False,,False,True,24.9,37.5,986.6,False,38.9,0,0.4
0 days 00:47:32.045000,NOR,4,0 days 00:01:23.496000,11.0,1.0,,,0 days 00:00:29.783000,0 days 00:00:29.903000,0 days 00:00:23.810000,0 days 00:47:29.882000,0 days 00:47:59.785000,0 days 00:48:23.595000,,239.0,248.0,289.0,True,SOFT,14.0,False,McLaren,0 days 00:47:00.043000,2019-08-04 13:27:00.072,1,6.0,False,,False,True,25.0,37.1,986.5,False,38.9,15,0.6
0 days 00:48:32.192000,NOR,4,0 days 00:01:23.787000,12.0,1.0,,,0 days 00:00:29.902000,0 days 00:00:30.103000,0 days 00:00:23.782000,0 days 00:48:53.497000,0 days 00:49:23.600000,0 days 00:49:47.382000,279.0,240.0,248.0,291.0,False,SOFT,15.0,False,McLaren,0 days 00:48:23.539000,2019-08-04 13:28:23.568,1,6.0,False,,False,True,25.3,36.4,986.5,False,40.0,0,0.7
0 days 00:50:31.900000,NOR,4,0 days 00:01:23.540000,13.0,1.0,,,0 days 00:00:29.742000,0 days 00:00:30.060000,0 days 00:00:23.738000,0 days 00:50:17.124000,0 days 00:50:47.184000,0 days 00:51:10.922000,,240.0,248.0,290.0,False,SOFT,16.0,False,McLaren,0 days 00:49:47.326000,2019-08-04 13:29:47.355,1,6.0,False,,False,True,25.9,34.3,986.5,False,42.7,157,1.1
0 days 00:51:31.913000,NOR,4,0 days 00:01:23.507000,14.0,1.0,,,0 days 00:00:29.720000,0 days 00:00:30.037000,0 days 00:00:23.750000,0 days 00:51:40.642000,0 days 00:52:10.679000,0 days 00:52:34.429000,,239.0,250.0,,False,SOFT,17.0,False,McLaren,0 days 00:51:10.866000,2019-08-04 13:31:10.895,1,6.0,False,,False,True,25.5,35.1,986.5,False,42.7,148,1.7
0 days 00:53:31.941000,NOR,4,0 days 00:01:23.575000,15.0,1.0,,,0 days 00:00:29.751000,0 days 00:00:30.132000,0 days 00:00:23.692000,0 days 00:53:04.180000,0 days 00:53:34.312000,0 days 00:53:58.004000,280.0,240.0,248.0,289.0,False,SOFT,18.0,False,McLaren,0 days 00:52:34.373000,2019-08-04 13:32:34.402,1,6.0,False,,False,True,24.9,36.0,986.5,False,43.2,135,1.8
0 days 00:54:31.956000,NOR,4,0 days 00:01:23.528000,16.0,1.0,,,0 days 00:00:29.737000,0 days 00:00:30.032000,0 days 00:00:23.759000,0 days 00:54:27.741000,0 days 00:54:57.773000,0 days 00:55:21.532000,279.0,237.0,248.0,288.0,False,SOFT,19.0,False,McLaren,0 days 00:53:57.948000,2019-08-04 13:33:57.977,1,6.0,False,,False,True,24.8,36.6,986.4,False,43.5,0,1.1
0 days 00:55:31.968000,NOR,4,0 days 00:01:23.017000,17.0,1.0,,,0 days 00:00:29.697000,0 days 00:00:29.699000,0 days 00:00:23.621000,0 days 00:55:51.229000,0 days 00:56:20.928000,0 days 00:56:44.549000,,241.0,249.0,287.0,True,SOFT,20.0,False,McLaren,0 days 00:55:21.476000,2019-08-04 13:35:21.505,1,6.0,False,,False,True,25.1,36.2,986.5,False,43.7,216,1.6
