Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:33.841000,KVY,26,0 days 00:01:33.839000,1.0,1.0,,,,0 days 00:00:31.943000,0 days 00:00:29.576000,,0 days 00:34:24.915000,0 days 00:34:54.836000,331.0,321.0,309.0,243.0,False,MEDIUM,1.0,False,Toro Rosso,0 days 00:33:20.098000,2019-09-08 13:13:21.425,2,12.0,False,,False,False,20.2,55.1,989.4,False,32.5,201,0.9
0 days 00:35:33.586000,KVY,26,0 days 00:01:27.262000,2.0,1.0,,,0 days 00:00:28.465000,0 days 00:00:29.943000,0 days 00:00:28.854000,0 days 00:35:22.613000,0 days 00:35:52.556000,0 days 00:36:21.410000,311.0,316.0,311.0,326.0,True,MEDIUM,2.0,False,Toro Rosso,0 days 00:34:54.168000,2019-09-08 13:14:55.495,1,12.0,False,,False,True,20.4,54.3,989.4,False,32.3,198,2.2
0 days 00:36:33.879000,KVY,26,0 days 00:01:27.708000,3.0,1.0,,,0 days 00:00:28.501000,0 days 00:00:30.311000,0 days 00:00:28.896000,0 days 00:36:49.911000,0 days 00:37:20.222000,0 days 00:37:49.118000,310.0,342.0,310.0,314.0,False,MEDIUM,3.0,False,Toro Rosso,0 days 00:36:21.430000,2019-09-08 13:16:22.757,2,12.0,False,,False,True,20.4,53.2,989.4,False,32.2,220,2.8
0 days 00:38:33.670000,KVY,26,0 days 00:01:26.331000,4.0,1.0,,,0 days 00:00:28.314000,0 days 00:00:29.304000,0 days 00:00:28.713000,0 days 00:38:17.432000,0 days 00:38:46.736000,0 days 00:39:15.449000,308.0,335.0,311.0,332.0,True,MEDIUM,4.0,False,Toro Rosso,0 days 00:37:49.138000,2019-09-08 13:17:50.465,1,12.0,False,,False,True,20.5,52.6,989.4,False,32.9,206,3.1
0 days 00:39:33.667000,KVY,26,0 days 00:01:26.412000,5.0,1.0,,,0 days 00:00:28.207000,0 days 00:00:29.241000,0 days 00:00:28.964000,0 days 00:39:43.656000,0 days 00:40:12.897000,0 days 00:40:41.861000,309.0,334.0,306.0,348.0,False,MEDIUM,5.0,False,Toro Rosso,0 days 00:39:15.469000,2019-09-08 13:19:16.796,1,12.0,False,,False,True,20.6,52.2,989.3,False,32.9,246,2.8
0 days 00:41:33.661000,KVY,26,0 days 00:01:28.300000,6.0,1.0,,,0 days 00:00:28.193000,0 days 00:00:29.614000,0 days 00:00:30.493000,0 days 00:41:10.054000,0 days 00:41:39.668000,0 days 00:42:10.161000,312.0,330.0,314.0,330.0,False,MEDIUM,6.0,False,Toro Rosso,0 days 00:40:41.881000,2019-09-08 13:20:43.208,2,10.0,False,,False,True,20.5,53.0,989.4,False,33.0,198,2.7
0 days 00:42:33.674000,KVY,26,0 days 00:01:26.374000,7.0,1.0,,,0 days 00:00:28.203000,0 days 00:00:29.472000,0 days 00:00:28.699000,0 days 00:42:38.364000,0 days 00:43:07.836000,0 days 00:43:36.535000,,335.0,313.0,355.0,False,MEDIUM,7.0,False,Toro Rosso,0 days 00:42:10.181000,2019-09-08 13:22:11.508,1,10.0,False,,False,True,20.7,52.8,989.3,False,32.6,218,3.0
0 days 00:44:33.699000,KVY,26,0 days 00:01:27.591000,8.0,1.0,,,0 days 00:00:28.378000,0 days 00:00:30.264000,0 days 00:00:28.949000,0 days 00:44:04.913000,0 days 00:44:35.177000,0 days 00:45:04.126000,313.0,343.0,315.0,318.0,False,MEDIUM,8.0,False,Toro Rosso,0 days 00:43:36.555000,2019-09-08 13:23:37.882,1,10.0,False,,False,True,21.0,52.5,989.4,False,32.3,243,1.3
0 days 00:45:33.727000,KVY,26,0 days 00:01:25.931000,9.0,1.0,,,0 days 00:00:28.244000,0 days 00:00:29.174000,0 days 00:00:28.513000,0 days 00:45:32.370000,0 days 00:46:01.544000,0 days 00:46:30.057000,304.0,310.0,306.0,347.0,True,MEDIUM,9.0,False,Toro Rosso,0 days 00:45:04.146000,2019-09-08 13:25:05.473,1,9.0,False,,False,True,21.0,52.2,989.2,False,32.3,205,1.5
0 days 00:46:33.740000,KVY,26,0 days 00:01:26.005000,10.0,1.0,,,0 days 00:00:28.471000,0 days 00:00:29.175000,0 days 00:00:28.359000,0 days 00:46:58.528000,0 days 00:47:27.703000,0 days 00:47:56.062000,301.0,309.0,304.0,309.0,False,MEDIUM,10.0,False,Toro Rosso,0 days 00:46:30.077000,2019-09-08 13:26:31.404,1,9.0,False,,False,True,21.2,52.0,989.4,False,32.2,320,1.5
