Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:00.825000,HUL,27,0 days 00:01:31.790000,1.0,1.0,,,,0 days 00:00:40.173000,0 days 00:00:22.092000,,0 days 00:33:55.515000,0 days 00:34:17.655000,157.0,171.0,258.0,279.0,False,MEDIUM,1.0,True,Renault,0 days 00:32:45.521000,2019-05-26 13:12:45.981,2,11.0,False,,False,False,22.5,52.4,1011.1,False,34.4,331,0.5
0 days 00:35:00.855000,HUL,27,0 days 00:01:20.625000,2.0,1.0,,,0 days 00:00:21.460000,0 days 00:00:37.455000,0 days 00:00:21.710000,0 days 00:34:38.956000,0 days 00:35:16.411000,0 days 00:35:38.121000,179.0,181.0,259.0,282.0,True,MEDIUM,2.0,True,Renault,0 days 00:34:17.505000,2019-05-26 13:14:17.965,1,11.0,False,,False,True,22.4,52.0,1011.1,False,34.4,59,0.9
0 days 00:36:00.866000,HUL,27,0 days 00:01:19.133000,3.0,1.0,,,0 days 00:00:20.979000,0 days 00:00:37.051000,0 days 00:00:21.103000,0 days 00:35:59.100000,0 days 00:36:36.151000,0 days 00:36:57.254000,190.0,185.0,267.0,281.0,True,MEDIUM,3.0,True,Renault,0 days 00:35:38.130000,2019-05-26 13:15:38.590,1,11.0,False,,False,True,22.2,52.9,1011.1,False,34.0,186,0.4
0 days 00:37:00.881000,HUL,27,0 days 00:01:19.669000,4.0,1.0,,,0 days 00:00:21.215000,0 days 00:00:37.098000,0 days 00:00:21.356000,0 days 00:37:18.469000,0 days 00:37:55.567000,0 days 00:38:16.923000,186.0,185.0,268.0,281.0,False,MEDIUM,4.0,True,Renault,0 days 00:36:57.263000,2019-05-26 13:16:57.723,1,11.0,False,,False,True,22.3,53.1,1011.1,False,34.3,268,1.2
0 days 00:39:01.015000,HUL,27,0 days 00:01:19.629000,5.0,1.0,,,0 days 00:00:21.123000,0 days 00:00:37.230000,0 days 00:00:21.276000,0 days 00:38:38.046000,0 days 00:39:15.276000,0 days 00:39:36.552000,191.0,184.0,267.0,281.0,False,MEDIUM,5.0,True,Renault,0 days 00:38:16.932000,2019-05-26 13:18:17.392,1,11.0,False,,False,True,22.5,53.1,1011.0,True,34.6,357,1.2
0 days 00:40:00.926000,HUL,27,0 days 00:01:19.501000,6.0,1.0,,,0 days 00:00:20.953000,0 days 00:00:36.976000,0 days 00:00:21.572000,0 days 00:39:57.505000,0 days 00:40:34.481000,0 days 00:40:56.053000,,184.0,266.0,281.0,False,MEDIUM,6.0,True,Renault,0 days 00:39:36.561000,2019-05-26 13:19:37.021,2,11.0,False,,False,True,22.7,52.6,1011.0,True,34.6,148,0.6
0 days 00:41:00.941000,HUL,27,0 days 00:01:20.155000,7.0,1.0,,,0 days 00:00:21.323000,0 days 00:00:37.374000,0 days 00:00:21.458000,0 days 00:41:17.376000,0 days 00:41:54.750000,0 days 00:42:16.208000,,182.0,265.0,281.0,False,MEDIUM,7.0,True,Renault,0 days 00:40:56.062000,2019-05-26 13:20:56.522,1,11.0,False,,False,True,22.9,52.2,1011.0,True,34.6,0,0.4
0 days 00:43:00.969000,HUL,27,0 days 00:01:20.446000,8.0,1.0,,,0 days 00:00:21.099000,0 days 00:00:37.322000,0 days 00:00:22.025000,0 days 00:42:37.307000,0 days 00:43:14.629000,0 days 00:43:36.654000,192.0,182.0,264.0,281.0,False,MEDIUM,8.0,True,Renault,0 days 00:42:16.217000,2019-05-26 13:22:16.677,2,11.0,False,,False,True,22.8,52.0,1011.0,True,34.3,7,0.4
0 days 00:44:00.983000,HUL,27,0 days 00:01:47.635000,9.0,1.0,,0 days 00:44:59.484000,0 days 00:00:22.992000,0 days 00:00:40.870000,0 days 00:00:43.773000,0 days 00:43:59.646000,0 days 00:44:40.516000,0 days 00:45:24.289000,167.0,129.0,,225.0,False,MEDIUM,9.0,True,Renault,0 days 00:43:36.663000,2019-05-26 13:23:37.123,2,19.0,False,,False,False,22.9,51.5,1011.1,True,34.3,0,0.4
0 days 00:46:01.014000,HUL,27,0 days 00:01:36.009000,10.0,2.0,0 days 00:45:25.018000,,0 days 00:00:23.964000,0 days 00:00:47.746000,0 days 00:00:24.299000,0 days 00:45:48.253000,0 days 00:46:35.999000,0 days 00:47:00.298000,185.0,151.0,126.0,133.0,False,HARD,1.0,True,Renault,0 days 00:45:24.298000,2019-05-26 13:25:24.758,24,18.0,False,,False,False,22.6,52.4,1010.9,True,34.0,72,0.4
0 days 00:47:01.027000,HUL,27,0 days 00:01:44.543000,11.0,2.0,,,0 days 00:00:30.011000,0 days 00:00:48.085000,0 days 00:00:26.447000,0 days 00:47:30.309000,0 days 00:48:18.394000,0 days 00:48:44.841000,143.0,159.0,245.0,208.0,False,HARD,2.0,True,Renault,0 days 00:47:00.307000,2019-05-26 13:27:00.767,4,18.0,False,,False,False,22.7,51.7,1010.9,True,34.0,0,0.5
0 days 00:49:01.057000,HUL,27,0 days 00:01:27.614000,12.0,2.0,,,0 days 00:00:24.069000,0 days 00:00:40.685000,0 days 00:00:22.860000,0 days 00:49:08.910000,0 days 00:49:49.595000,0 days 00:50:12.455000,157.0,171.0,249.0,258.0,False,HARD,3.0,True,Renault,0 days 00:48:44.850000,2019-05-26 13:28:45.310,4,18.0,False,,False,False,23.0,51.4,1011.0,True,34.3,149,0.6
0 days 00:51:01.093000,HUL,27,0 days 00:01:28.606000,13.0,2.0,,,0 days 00:00:23.376000,0 days 00:00:40.748000,0 days 00:00:24.482000,0 days 00:50:35.831000,0 days 00:51:16.579000,0 days 00:51:41.061000,169.0,170.0,220.0,250.0,False,HARD,4.0,True,Renault,0 days 00:50:12.464000,2019-05-26 13:30:12.924,4,18.0,False,,False,False,22.9,51.9,1010.9,True,34.1,173,0.6
0 days 00:52:01.098000,HUL,27,0 days 00:01:47.881000,14.0,2.0,,,0 days 00:00:29.432000,0 days 00:00:51.326000,0 days 00:00:27.123000,0 days 00:52:10.493000,0 days 00:53:01.819000,0 days 00:53:28.942000,141.0,122.0,259.0,156.0,False,HARD,5.0,True,Renault,0 days 00:51:41.070000,2019-05-26 13:31:41.530,4,18.0,False,,False,False,23.0,51.4,1010.9,True,34.4,155,0.8
0 days 00:54:01.208000,HUL,27,0 days 00:01:33.973000,15.0,2.0,,,0 days 00:00:22.089000,0 days 00:00:38.051000,0 days 00:00:33.833000,0 days 00:53:51.031000,0 days 00:54:29.082000,0 days 00:55:02.915000,172.0,179.0,255.0,280.0,False,HARD,6.0,True,Renault,0 days 00:53:28.951000,2019-05-26 13:33:29.411,2,16.0,False,,False,False,22.9,52.1,1011.0,True,34.2,140,1.4
0 days 00:56:01.170000,HUL,27,0 days 00:01:18.067000,16.0,2.0,,,0 days 00:00:21.041000,0 days 00:00:36.371000,0 days 00:00:20.655000,0 days 00:55:23.956000,0 days 00:56:00.327000,0 days 00:56:20.982000,188.0,188.0,257.0,275.0,True,HARD,7.0,True,Renault,0 days 00:55:02.924000,2019-05-26 13:35:03.384,2,16.0,False,,False,True,22.7,52.0,1011.0,True,34.0,95,0.4
0 days 00:57:01.170000,HUL,27,0 days 00:01:16.843000,17.0,2.0,,,0 days 00:00:20.559000,0 days 00:00:35.836000,0 days 00:00:20.448000,0 days 00:56:41.541000,0 days 00:57:17.377000,0 days 00:57:37.825000,200.0,191.0,257.0,279.0,True,HARD,8.0,True,Renault,0 days 00:56:20.991000,2019-05-26 13:36:21.451,1,16.0,False,,False,True,22.7,51.9,1011.0,True,33.6,58,0.7
0 days 00:58:01.187000,HUL,27,0 days 00:01:16.745000,18.0,2.0,,,0 days 00:00:20.371000,0 days 00:00:35.862000,0 days 00:00:20.512000,0 days 00:57:58.196000,0 days 00:58:34.058000,0 days 00:58:54.570000,202.0,190.0,259.0,280.0,True,HARD,9.0,True,Renault,0 days 00:57:37.834000,2019-05-26 13:37:38.294,1,16.0,False,,False,True,22.5,52.6,1010.9,True,33.5,127,0.6
0 days 00:59:01.205000,HUL,27,0 days 00:01:18.748000,19.0,2.0,,,0 days 00:00:20.618000,0 days 00:00:36.855000,0 days 00:00:21.275000,0 days 00:59:15.188000,0 days 00:59:52.043000,0 days 01:00:13.318000,194.0,183.0,259.0,280.0,False,HARD,10.0,True,Renault,0 days 00:58:54.579000,2019-05-26 13:38:55.039,1,16.0,False,,False,True,22.7,52.0,1010.9,True,33.5,328,1.2
