Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:24.307000,RUS,63,0 days 00:01:54.574000,1.0,1.0,,,,0 days 00:00:44.808000,0 days 00:00:36.053000,,0 days 00:34:42.390000,0 days 00:35:18.553000,182.0,173.0,199.0,261.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:23.612000,2019-11-03 19:13:24.328,1,20.0,False,,False,False,20.9,24.6,1001.9,False,28.7,149,3.0
0 days 00:35:24.311000,RUS,63,0 days 00:01:46.387000,2.0,1.0,,,0 days 00:00:28.927000,0 days 00:00:42.415000,0 days 00:00:35.045000,0 days 00:35:47.264000,0 days 00:36:29.679000,0 days 00:37:04.724000,193.0,163.0,203.0,294.0,True,MEDIUM,2.0,True,Williams,0 days 00:35:18.351000,2019-11-03 19:15:19.067,1,19.0,False,,False,True,21.4,24.0,1001.9,False,29.0,157,2.7
0 days 00:37:24.313000,RUS,63,0 days 00:01:44.934000,3.0,1.0,,,0 days 00:00:28.303000,0 days 00:00:42.021000,0 days 00:00:34.610000,0 days 00:37:33.027000,0 days 00:38:15.048000,0 days 00:38:49.658000,196.0,178.0,203.0,300.0,True,MEDIUM,3.0,True,Williams,0 days 00:37:04.738000,2019-11-03 19:17:05.454,1,19.0,False,,False,True,21.4,24.3,1001.9,False,28.9,194,3.2
0 days 00:39:24.325000,RUS,63,0 days 00:01:44.650000,4.0,1.0,,,0 days 00:00:28.115000,0 days 00:00:41.190000,0 days 00:00:35.345000,0 days 00:39:17.773000,0 days 00:39:58.963000,0 days 00:40:34.308000,199.0,173.0,203.0,323.0,True,MEDIUM,4.0,True,Williams,0 days 00:38:49.672000,2019-11-03 19:18:50.388,1,19.0,False,,False,True,21.3,24.5,1001.9,False,29.2,180,3.0
0 days 00:41:24.360000,RUS,63,0 days 00:01:44.732000,5.0,1.0,,,0 days 00:00:28.059000,0 days 00:00:41.534000,0 days 00:00:35.139000,0 days 00:41:02.367000,0 days 00:41:43.901000,0 days 00:42:19.040000,202.0,170.0,203.0,317.0,False,MEDIUM,5.0,True,Williams,0 days 00:40:34.322000,2019-11-03 19:20:35.038,1,19.0,False,,False,True,21.2,25.0,1001.8,False,29.0,270,2.3
0 days 00:42:24.362000,RUS,63,0 days 00:01:44.009000,6.0,1.0,,,0 days 00:00:28.060000,0 days 00:00:41.343000,0 days 00:00:34.606000,0 days 00:42:47.100000,0 days 00:43:28.443000,0 days 00:44:03.049000,194.0,174.0,201.0,325.0,True,MEDIUM,6.0,True,Williams,0 days 00:42:19.054000,2019-11-03 19:22:19.770,1,18.0,False,,False,True,21.2,25.0,1001.7,False,29.0,54,1.4
0 days 00:44:24.402000,RUS,63,0 days 00:01:44.049000,7.0,1.0,,,0 days 00:00:27.991000,0 days 00:00:41.526000,0 days 00:00:34.532000,0 days 00:44:31.040000,0 days 00:45:12.566000,0 days 00:45:47.098000,196.0,177.0,201.0,294.0,False,MEDIUM,7.0,True,Williams,0 days 00:44:03.063000,2019-11-03 19:24:03.779,1,18.0,False,,False,True,21.6,23.8,1001.7,False,29.5,132,1.4
0 days 00:46:24.420000,RUS,63,0 days 00:01:45.502000,8.0,1.0,,,0 days 00:00:28.232000,0 days 00:00:42.081000,0 days 00:00:35.189000,0 days 00:46:15.330000,0 days 00:46:57.411000,0 days 00:47:32.600000,197.0,174.0,201.0,277.0,False,MEDIUM,8.0,True,Williams,0 days 00:45:47.112000,2019-11-03 19:25:47.828,2,18.0,False,,False,True,21.9,23.3,1001.7,False,29.4,132,1.4
0 days 00:48:24.434000,RUS,63,0 days 00:01:44.370000,9.0,1.0,,,0 days 00:00:28.156000,0 days 00:00:41.787000,0 days 00:00:34.427000,0 days 00:48:00.756000,0 days 00:48:42.543000,0 days 00:49:16.970000,201.0,179.0,201.0,287.0,False,MEDIUM,9.0,True,Williams,0 days 00:47:32.614000,2019-11-03 19:27:33.330,2,18.0,False,,False,True,21.5,23.2,1001.7,False,29.3,150,3.0
0 days 00:49:24.435000,RUS,63,0 days 00:01:44.490000,10.0,1.0,,,0 days 00:00:28.188000,0 days 00:00:41.989000,0 days 00:00:34.313000,0 days 00:49:45.158000,0 days 00:50:27.147000,0 days 00:51:01.460000,195.0,179.0,201.0,285.0,False,MEDIUM,10.0,True,Williams,0 days 00:49:16.984000,2019-11-03 19:29:17.700,1,17.0,False,,False,True,21.4,24.3,1001.8,False,29.3,269,3.2
