Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:25.649000,PER,11,0 days 00:01:40.485000,1.0,1.0,,0 days 00:34:23.250000,,0 days 00:00:40.349000,0 days 00:00:37.048000,,0 days 00:33:47.312000,0 days 00:34:24.435000,275.0,79.0,,269.0,False,SOFT,4.0,False,Racing Point,0 days 00:32:43.624000,2020-12-06 17:12:43.657,24,20.0,False,,False,False,21.1,58.7,1015.7,False,23.8,8,2.3
0 days 00:34:25.651000,PER,11,0 days 00:01:32.531000,2.0,2.0,0 days 00:34:46.886000,,0 days 00:00:41.024000,0 days 00:00:25.087000,0 days 00:00:26.420000,0 days 00:35:05.291000,0 days 00:35:30.378000,0 days 00:35:56.798000,275.0,241.0,144.0,221.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:34:24.269000,2020-12-06 17:14:24.302,4,18.0,False,,False,False,21.1,58.4,1015.7,False,23.8,18,2.0
0 days 00:36:25.637000,PER,11,0 days 00:01:32.331000,3.0,2.0,,,0 days 00:00:32.220000,0 days 00:00:29.859000,0 days 00:00:30.252000,0 days 00:36:29.018000,0 days 00:36:58.877000,0 days 00:37:29.129000,93.0,246.0,216.0,244.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:35:56.800000,2020-12-06 17:15:56.833,4,18.0,False,,False,False,21.1,58.3,1015.8,False,23.8,9,2.4
0 days 00:38:25.639000,PER,11,0 days 00:01:29.676000,4.0,2.0,,,0 days 00:00:27.158000,0 days 00:00:31.629000,0 days 00:00:30.889000,0 days 00:37:56.287000,0 days 00:38:27.916000,0 days 00:38:58.805000,147.0,153.0,109.0,120.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:37:29.131000,2020-12-06 17:17:29.164,4,18.0,False,,False,False,21.1,57.4,1015.8,False,23.8,4,2.4
0 days 00:39:25.671000,PER,11,0 days 00:01:31.635000,5.0,2.0,,,0 days 00:00:32.264000,0 days 00:00:35.994000,0 days 00:00:23.377000,0 days 00:39:31.069000,0 days 00:40:07.063000,0 days 00:40:30.440000,227.0,224.0,265.0,95.0,False,MEDIUM,4.0,True,Racing Point,0 days 00:38:58.807000,2020-12-06 17:18:58.840,4,18.0,False,,False,False,21.1,57.5,1015.7,False,23.8,337,2.0
0 days 00:41:25.695000,PER,11,0 days 00:01:10.061000,6.0,2.0,,,0 days 00:00:26.478000,0 days 00:00:24.984000,0 days 00:00:18.599000,0 days 00:40:56.918000,0 days 00:41:21.902000,0 days 00:41:40.501000,264.0,198.0,289.0,186.0,True,MEDIUM,5.0,True,Racing Point,0 days 00:40:30.442000,2020-12-06 17:20:30.475,4,18.0,False,,False,False,21.0,57.7,1015.8,False,23.8,5,2.3
0 days 00:42:25.698000,PER,11,0 days 00:00:59.233000,7.0,2.0,,,0 days 00:00:20.312000,0 days 00:00:21.617000,0 days 00:00:17.304000,0 days 00:42:00.813000,0 days 00:42:22.430000,0 days 00:42:39.734000,283.0,265.0,295.0,320.0,True,MEDIUM,6.0,True,Racing Point,0 days 00:41:40.503000,2020-12-06 17:21:40.536,1,16.0,False,,False,False,21.0,57.5,1015.8,False,23.8,340,2.3
0 days 00:43:25.695000,PER,11,0 days 00:00:59.698000,8.0,2.0,,,0 days 00:00:20.646000,0 days 00:00:21.796000,0 days 00:00:17.256000,0 days 00:43:00.380000,0 days 00:43:22.176000,0 days 00:43:39.432000,284.0,264.0,287.0,317.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:42:39.736000,2020-12-06 17:22:39.769,1,14.0,False,,False,True,21.0,57.3,1015.9,False,23.8,12,2.0
0 days 00:44:25.689000,PER,11,0 days 00:00:58.746000,9.0,2.0,,,0 days 00:00:20.418000,0 days 00:00:20.966000,0 days 00:00:17.362000,0 days 00:43:59.850000,0 days 00:44:20.816000,0 days 00:44:38.178000,295.0,262.0,293.0,299.0,True,MEDIUM,8.0,True,Racing Point,0 days 00:43:39.434000,2020-12-06 17:23:39.467,1,13.0,False,,False,True,21.0,56.9,1015.8,False,23.7,3,1.9
0 days 00:45:25.711000,PER,11,0 days 00:00:58.095000,10.0,2.0,,,0 days 00:00:19.932000,0 days 00:00:20.850000,0 days 00:00:17.313000,0 days 00:44:58.110000,0 days 00:45:18.960000,0 days 00:45:36.273000,281.0,261.0,293.0,326.0,True,MEDIUM,9.0,True,Racing Point,0 days 00:44:38.180000,2020-12-06 17:24:38.213,1,12.0,False,,False,True,21.0,56.7,1015.9,False,23.7,42,2.4
