Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:52,PER,11,0 days 00:01:30.347000,1.0,1.0,,,,0 days 00:00:32.952000,0 days 00:00:28.957000,,0 days 00:34:18.949000,0 days 00:34:48.010000,244.0,234.0,279.0,287.0,False,SOFT,4.0,False,Racing Point,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,5.0,False,,False,False,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:34:52.009000,PER,11,0 days 00:01:25.147000,2.0,1.0,,,0 days 00:00:23.720000,0 days 00:00:32.165000,0 days 00:00:29.262000,0 days 00:35:11.573000,0 days 00:35:43.738000,0 days 00:36:13,258.0,238.0,278.0,311.0,True,SOFT,5.0,False,Racing Point,0 days 00:34:47.835000,2020-08-16 13:14:49.811,1,5.0,False,,False,True,30.2,54.5,997.8,False,50.1,209,2.3
0 days 00:36:52.006000,PER,11,0 days 00:01:25.131000,3.0,1.0,,,0 days 00:00:23.745000,0 days 00:00:32.236000,0 days 00:00:29.150000,0 days 00:36:36.745000,0 days 00:37:08.981000,0 days 00:37:38.131000,252.0,232.0,278.0,313.0,True,SOFT,6.0,False,Racing Point,0 days 00:36:12.982000,2020-08-16 13:16:14.958,1,5.0,False,,False,True,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:37:52.004000,PER,11,0 days 00:01:25.283000,4.0,1.0,,,0 days 00:00:23.598000,0 days 00:00:32.196000,0 days 00:00:29.489000,0 days 00:38:01.729000,0 days 00:38:33.925000,0 days 00:39:03.414000,256.0,236.0,279.0,,False,SOFT,7.0,False,Racing Point,0 days 00:37:38.113000,2020-08-16 13:17:40.089,1,5.0,False,,False,True,30.1,54.9,997.8,False,48.3,278,2.1
0 days 00:39:52.006000,PER,11,0 days 00:01:25.103000,5.0,1.0,,,0 days 00:00:23.827000,0 days 00:00:32.014000,0 days 00:00:29.262000,0 days 00:39:27.241000,0 days 00:39:59.255000,0 days 00:40:28.517000,253.0,237.0,286.0,311.0,True,SOFT,8.0,False,Racing Point,0 days 00:39:03.396000,2020-08-16 13:19:05.372,1,5.0,False,,False,True,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:40:52.009000,PER,11,0 days 00:01:25.522000,6.0,1.0,,,0 days 00:00:23.795000,0 days 00:00:32.286000,0 days 00:00:29.441000,0 days 00:40:52.312000,0 days 00:41:24.598000,0 days 00:41:54.039000,242.0,226.0,277.0,334.0,False,SOFT,9.0,False,Racing Point,0 days 00:40:28.499000,2020-08-16 13:20:30.475,1,5.0,False,,False,True,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:42:52.014000,PER,11,0 days 00:01:25.243000,7.0,1.0,,,0 days 00:00:23.833000,0 days 00:00:32.042000,0 days 00:00:29.368000,0 days 00:42:17.872000,0 days 00:42:49.914000,0 days 00:43:19.282000,257.0,232.0,278.0,307.0,False,SOFT,10.0,False,Racing Point,0 days 00:41:54.021000,2020-08-16 13:21:55.997,1,5.0,False,,False,True,30.0,55.2,997.8,False,48.6,120,1.5
0 days 00:43:52.010000,PER,11,0 days 00:01:24.605000,8.0,1.0,,,0 days 00:00:23.673000,0 days 00:00:31.711000,0 days 00:00:29.221000,0 days 00:43:42.955000,0 days 00:44:14.666000,0 days 00:44:43.887000,266.0,239.0,278.0,308.0,True,SOFT,11.0,False,Racing Point,0 days 00:43:19.264000,2020-08-16 13:23:21.240,1,5.0,False,,False,True,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:44:52.005000,PER,11,0 days 00:01:24.723000,9.0,1.0,,,0 days 00:00:23.741000,0 days 00:00:31.801000,0 days 00:00:29.181000,0 days 00:45:07.628000,0 days 00:45:39.429000,0 days 00:46:08.610000,264.0,240.0,278.0,306.0,False,SOFT,12.0,False,Racing Point,0 days 00:44:43.869000,2020-08-16 13:24:45.845,1,5.0,False,,False,True,30.0,55.3,997.7,False,48.3,133,1.7
0 days 00:46:52.012000,PER,11,0 days 00:01:24.748000,10.0,1.0,,,0 days 00:00:23.699000,0 days 00:00:31.829000,0 days 00:00:29.220000,0 days 00:46:32.309000,0 days 00:47:04.138000,0 days 00:47:33.358000,255.0,253.0,277.0,308.0,False,SOFT,13.0,False,Racing Point,0 days 00:46:08.592000,2020-08-16 13:26:10.568,1,5.0,False,,False,True,29.9,56.2,997.8,False,49.1,233,2.2
0 days 00:47:52.014000,PER,11,0 days 00:01:24.895000,11.0,1.0,,,0 days 00:00:23.735000,0 days 00:00:31.922000,0 days 00:00:29.238000,0 days 00:47:57.093000,0 days 00:48:29.015000,0 days 00:48:58.253000,256.0,240.0,279.0,,False,SOFT,14.0,False,Racing Point,0 days 00:47:33.340000,2020-08-16 13:27:35.316,1,5.0,False,,False,True,30.2,55.4,997.8,False,49.1,228,1.7
0 days 00:49:52.014000,PER,11,0 days 00:01:25.016000,12.0,1.0,,,0 days 00:00:23.688000,0 days 00:00:31.935000,0 days 00:00:29.393000,0 days 00:49:21.941000,0 days 00:49:53.876000,0 days 00:50:23.269000,259.0,237.0,277.0,307.0,False,SOFT,15.0,False,Racing Point,0 days 00:48:58.235000,2020-08-16 13:29:00.211,1,5.0,False,,False,True,30.6,54.3,997.6,False,49.2,73,1.6
0 days 00:50:52.018000,PER,11,0 days 00:01:25.139000,13.0,1.0,,,0 days 00:00:23.747000,0 days 00:00:32.033000,0 days 00:00:29.359000,0 days 00:50:47.016000,0 days 00:51:19.049000,0 days 00:51:48.408000,256.0,240.0,277.0,308.0,False,SOFT,16.0,False,Racing Point,0 days 00:50:23.251000,2020-08-16 13:30:25.227,1,5.0,False,,False,True,30.7,53.6,997.7,False,49.2,194,2.6
0 days 00:51:52.019000,PER,11,0 days 00:01:25.156000,14.0,1.0,,,0 days 00:00:23.838000,0 days 00:00:31.974000,0 days 00:00:29.344000,0 days 00:52:12.246000,0 days 00:52:44.220000,0 days 00:53:13.564000,261.0,238.0,278.0,307.0,False,SOFT,17.0,False,Racing Point,0 days 00:51:48.390000,2020-08-16 13:31:50.366,1,5.0,False,,False,True,30.5,54.6,997.8,False,48.5,172,1.9
0 days 00:53:52.027000,PER,11,0 days 00:01:25.289000,15.0,1.0,,,0 days 00:00:23.827000,0 days 00:00:32.056000,0 days 00:00:29.406000,0 days 00:53:37.391000,0 days 00:54:09.447000,0 days 00:54:38.853000,262.0,236.0,278.0,306.0,False,SOFT,18.0,False,Racing Point,0 days 00:53:13.546000,2020-08-16 13:33:15.522,1,5.0,False,,False,True,30.2,55.3,997.8,False,48.1,119,1.7
0 days 00:54:52.021000,PER,11,0 days 00:01:25.122000,16.0,1.0,,,0 days 00:00:23.911000,0 days 00:00:32.060000,0 days 00:00:29.151000,0 days 00:55:02.764000,0 days 00:55:34.824000,0 days 00:56:03.975000,259.0,243.0,278.0,,False,SOFT,19.0,False,Racing Point,0 days 00:54:38.835000,2020-08-16 13:34:40.811,1,5.0,False,,False,True,30.3,54.7,997.8,False,48.5,201,1.6
0 days 00:56:52.024000,PER,11,0 days 00:01:25.360000,17.0,1.0,,,0 days 00:00:23.981000,0 days 00:00:32.139000,0 days 00:00:29.240000,0 days 00:56:27.956000,0 days 00:57:00.095000,0 days 00:57:29.335000,260.0,245.0,278.0,304.0,False,SOFT,20.0,False,Racing Point,0 days 00:56:03.957000,2020-08-16 13:36:05.933,1,5.0,False,,False,True,29.8,56.2,997.7,False,48.1,75,1.3
0 days 00:57:52.024000,PER,11,0 days 00:01:25.323000,18.0,1.0,,,0 days 00:00:23.932000,0 days 00:00:31.992000,0 days 00:00:29.399000,0 days 00:57:53.267000,0 days 00:58:25.259000,0 days 00:58:54.658000,264.0,245.0,276.0,305.0,False,SOFT,21.0,False,Racing Point,0 days 00:57:29.317000,2020-08-16 13:37:31.293,1,5.0,False,,False,True,30.1,55.1,997.8,False,48.1,145,1.6
0 days 00:59:52.025000,PER,11,0 days 00:01:25.205000,19.0,1.0,,,0 days 00:00:23.855000,0 days 00:00:31.976000,0 days 00:00:29.374000,0 days 00:59:18.513000,0 days 00:59:50.489000,0 days 01:00:19.863000,262.0,228.0,278.0,,False,SOFT,22.0,False,Racing Point,0 days 00:58:54.640000,2020-08-16 13:38:56.616,1,5.0,False,,False,True,29.8,55.1,997.8,False,48.4,168,1.4
0 days 01:00:52.029000,PER,11,0 days 00:01:25.392000,20.0,1.0,,,0 days 00:00:23.928000,0 days 00:00:32.153000,0 days 00:00:29.311000,0 days 01:00:43.791000,0 days 01:01:15.944000,0 days 01:01:45.255000,255.0,235.0,278.0,,False,SOFT,23.0,False,Racing Point,0 days 01:00:19.845000,2020-08-16 13:40:21.821,1,5.0,False,,False,True,29.8,55.9,997.7,False,47.4,244,1.3
0 days 01:01:52.030000,PER,11,0 days 00:01:25.635000,21.0,1.0,,,0 days 00:00:23.935000,0 days 00:00:31.993000,0 days 00:00:29.707000,0 days 01:02:09.190000,0 days 01:02:41.183000,0 days 01:03:10.890000,262.0,237.0,277.0,306.0,False,SOFT,24.0,False,Racing Point,0 days 01:01:45.237000,2020-08-16 13:41:47.213,1,5.0,False,,False,True,29.9,55.8,997.7,False,48.4,342,1.2
0 days 01:03:52.029000,PER,11,0 days 00:01:25.873000,22.0,1.0,,,0 days 00:00:24.117000,0 days 00:00:32.087000,0 days 00:00:29.669000,0 days 01:03:35.007000,0 days 01:04:07.094000,0 days 01:04:36.763000,256.0,240.0,277.0,303.0,False,SOFT,25.0,False,Racing Point,0 days 01:03:10.872000,2020-08-16 13:43:12.848,1,5.0,False,,False,True,30.1,54.6,997.7,False,48.4,230,1.3
0 days 01:04:52.031000,PER,11,0 days 00:01:25.734000,23.0,1.0,,,0 days 00:00:24.029000,0 days 00:00:32.142000,0 days 00:00:29.563000,0 days 01:05:00.792000,0 days 01:05:32.934000,0 days 01:06:02.497000,,238.0,277.0,307.0,False,SOFT,26.0,False,Racing Point,0 days 01:04:36.745000,2020-08-16 13:44:38.721,1,5.0,False,,False,True,30.0,55.5,997.8,False,48.5,210,1.7
0 days 01:06:52.037000,PER,11,0 days 00:01:25.524000,24.0,1.0,,,0 days 00:00:23.839000,0 days 00:00:32.067000,0 days 00:00:29.618000,0 days 01:06:26.336000,0 days 01:06:58.403000,0 days 01:07:28.021000,266.0,244.0,278.0,305.0,False,SOFT,27.0,False,Racing Point,0 days 01:06:02.479000,2020-08-16 13:46:04.455,1,5.0,False,,False,True,29.8,56.4,997.7,False,48.5,214,1.5
0 days 01:07:52.050000,PER,11,0 days 00:01:25.965000,25.0,1.0,,,0 days 00:00:23.883000,0 days 00:00:32.092000,0 days 00:00:29.990000,0 days 01:07:51.904000,0 days 01:08:23.996000,0 days 01:08:53.986000,267.0,244.0,277.0,307.0,False,SOFT,28.0,False,Racing Point,0 days 01:07:28.003000,2020-08-16 13:47:29.979,1,5.0,False,,False,True,29.9,56.4,997.7,False,47.6,242,1.9
0 days 01:09:52.080000,PER,11,0 days 00:01:26.186000,26.0,1.0,,,0 days 00:00:24.043000,0 days 00:00:32.295000,0 days 00:00:29.848000,0 days 01:09:18.029000,0 days 01:09:50.324000,0 days 01:10:20.172000,268.0,236.0,277.0,306.0,False,SOFT,29.0,False,Racing Point,0 days 01:08:53.968000,2020-08-16 13:48:55.944,1,5.0,False,,False,True,29.4,57.5,997.6,False,48.2,50,1.4
