Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:27.318000,MAG,20,0 days 00:01:44.391000,1.0,1.0,,,,0 days 00:00:42.163000,0 days 00:00:25.291000,,0 days 00:01:19.460000,0 days 00:01:44.848000,259.0,215.0,246.0,298.0,False,SOFT,1.0,True,Haas F1 Team,0 days 00:00:07.171000,2020-10-11 12:13:21.762,1,14.0,False,,False,False,9.0,59.2,947.4,False,18.0,190,2.7
0 days 00:02:27.318000,MAG,20,0 days 00:01:36.509000,2.0,1.0,,,0 days 00:00:32.108000,0 days 00:00:39.842000,0 days 00:00:24.559000,0 days 00:02:16.817000,0 days 00:02:56.659000,0 days 00:03:21.218000,260.0,219.0,244.0,290.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:01:44.664000,2020-10-11 12:14:59.255,1,13.0,False,,False,True,8.9,58.9,947.4,False,18.2,182,2.7
0 days 00:03:27.321000,MAG,20,0 days 00:01:35.129000,3.0,1.0,,,0 days 00:00:31.353000,0 days 00:00:39.492000,0 days 00:00:24.284000,0 days 00:03:52.571000,0 days 00:04:32.063000,0 days 00:04:56.347000,263.0,220.0,250.0,307.0,True,SOFT,3.0,True,Haas F1 Team,0 days 00:03:21.173000,2020-10-11 12:16:35.764,1,13.0,False,,False,True,9.2,58.2,947.4,False,19.1,180,2.5
0 days 00:05:27.325000,MAG,20,0 days 00:01:34.714000,4.0,1.0,,,0 days 00:00:30.898000,0 days 00:00:39.558000,0 days 00:00:24.258000,0 days 00:05:27.245000,0 days 00:06:06.803000,0 days 00:06:31.061000,264.0,220.0,243.0,310.0,True,SOFT,4.0,True,Haas F1 Team,0 days 00:04:56.302000,2020-10-11 12:18:10.893,1,13.0,False,,False,True,9.4,58.0,947.4,False,18.6,0,0.8
0 days 00:07:27.341000,MAG,20,0 days 00:01:34.413000,5.0,1.0,,,0 days 00:00:30.799000,0 days 00:00:39.331000,0 days 00:00:24.283000,0 days 00:07:01.860000,0 days 00:07:41.191000,0 days 00:08:05.474000,266.0,220.0,244.0,298.0,True,SOFT,5.0,True,Haas F1 Team,0 days 00:06:31.016000,2020-10-11 12:19:45.607,1,13.0,False,,False,True,9.3,58.4,947.5,False,17.7,80,2.4
0 days 00:08:27.355000,MAG,20,0 days 00:01:34.658000,6.0,1.0,,,0 days 00:00:30.927000,0 days 00:00:39.335000,0 days 00:00:24.396000,0 days 00:08:36.401000,0 days 00:09:15.736000,0 days 00:09:40.132000,263.0,220.0,243.0,297.0,False,SOFT,6.0,True,Haas F1 Team,0 days 00:08:05.429000,2020-10-11 12:21:20.020,1,13.0,False,,False,True,9.4,58.5,947.4,False,17.6,49,1.3
0 days 00:10:27.373000,MAG,20,0 days 00:01:34.433000,7.0,1.0,,,0 days 00:00:30.945000,0 days 00:00:39.241000,0 days 00:00:24.247000,0 days 00:10:11.077000,0 days 00:10:50.318000,0 days 00:11:14.565000,262.0,220.0,245.0,299.0,False,SOFT,7.0,True,Haas F1 Team,0 days 00:09:40.087000,2020-10-11 12:22:54.678,1,13.0,False,,False,True,9.3,58.4,947.4,False,17.2,16,1.9
0 days 00:11:27.397000,MAG,20,0 days 00:01:34.601000,8.0,1.0,,,0 days 00:00:30.936000,0 days 00:00:39.502000,0 days 00:00:24.163000,0 days 00:11:45.501000,0 days 00:12:25.003000,0 days 00:12:49.166000,263.0,216.0,248.0,311.0,False,SOFT,8.0,True,Haas F1 Team,0 days 00:11:14.520000,2020-10-11 12:24:29.111,1,12.0,False,,False,True,9.5,58.7,947.4,False,17.1,162,1.8
0 days 00:13:27.411000,MAG,20,0 days 00:01:34.745000,9.0,1.0,,,0 days 00:00:31.027000,0 days 00:00:39.476000,0 days 00:00:24.242000,0 days 00:13:20.193000,0 days 00:13:59.669000,0 days 00:14:23.911000,,218.0,245.0,298.0,False,SOFT,9.0,True,Haas F1 Team,0 days 00:12:49.121000,2020-10-11 12:26:03.712,1,12.0,False,,False,True,9.7,58.0,947.4,False,16.8,29,1.7
0 days 00:14:27.422000,MAG,20,0 days 00:01:34.825000,10.0,1.0,,,0 days 00:00:31.132000,0 days 00:00:39.364000,0 days 00:00:24.329000,0 days 00:14:55.043000,0 days 00:15:34.407000,0 days 00:15:58.736000,262.0,221.0,245.0,297.0,False,SOFT,10.0,True,Haas F1 Team,0 days 00:14:23.866000,2020-10-11 12:27:38.457,1,12.0,False,,False,True,9.8,57.6,947.5,False,16.6,177,1.6
0 days 00:16:27.441000,MAG,20,0 days 00:01:36.917000,11.0,1.0,,,0 days 00:00:32.333000,0 days 00:00:40.266000,0 days 00:00:24.318000,0 days 00:16:31.069000,0 days 00:17:11.335000,0 days 00:17:35.653000,,220.0,249.0,307.0,False,SOFT,11.0,True,Haas F1 Team,0 days 00:15:58.691000,2020-10-11 12:29:13.282,1,11.0,False,,False,True,9.8,57.8,947.4,False,16.3,34,1.2
0 days 00:18:27.449000,MAG,20,0 days 00:01:34.990000,12.0,1.0,,,0 days 00:00:30.908000,0 days 00:00:39.561000,0 days 00:00:24.521000,0 days 00:18:06.561000,0 days 00:18:46.122000,0 days 00:19:10.643000,,221.0,245.0,292.0,False,SOFT,12.0,True,Haas F1 Team,0 days 00:17:35.608000,2020-10-11 12:30:50.199,1,11.0,False,,False,True,9.5,58.9,947.5,False,15.9,48,2.2
0 days 00:19:27.461000,MAG,20,0 days 00:01:36.913000,13.0,1.0,,,0 days 00:00:31.513000,0 days 00:00:40.038000,0 days 00:00:25.362000,0 days 00:19:42.156000,0 days 00:20:22.194000,0 days 00:20:47.556000,264.0,220.0,249.0,309.0,False,SOFT,13.0,True,Haas F1 Team,0 days 00:19:10.598000,2020-10-11 12:32:25.189,2,13.0,False,,False,True,9.5,59.5,947.3,False,15.9,46,1.5
0 days 00:21:27.462000,MAG,20,0 days 00:01:37.855000,14.0,1.0,,0 days 00:22:23.833000,0 days 00:00:31.090000,0 days 00:00:39.443000,0 days 00:00:27.322000,0 days 00:21:18.646000,0 days 00:21:58.089000,0 days 00:22:25.411000,261.0,218.0,,293.0,False,SOFT,14.0,True,Haas F1 Team,0 days 00:20:47.511000,2020-10-11 12:34:02.102,1,14.0,False,,False,False,9.5,59.7,947.4,False,15.6,79,1.3
0 days 00:22:27.476000,MAG,20,0 days 00:01:58.830000,15.0,2.0,0 days 00:22:46.823000,,0 days 00:00:51.255000,0 days 00:00:39.333000,0 days 00:00:28.242000,0 days 00:23:16.666000,0 days 00:23:55.999000,0 days 00:24:24.241000,259.0,220.0,163.0,291.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:22:25.366000,2020-10-11 12:35:39.957,6,18.0,False,,False,False,9.6,59.9,947.4,False,15.6,36,1.4
0 days 00:24:27.464000,MAG,20,0 days 00:01:48.717000,16.0,2.0,,,0 days 00:00:38.701000,0 days 00:00:44.994000,0 days 00:00:25.022000,0 days 00:25:02.942000,0 days 00:25:47.936000,0 days 00:26:12.958000,211.0,218.0,244.0,289.0,False,MEDIUM,2.0,True,Haas F1 Team,0 days 00:24:24.196000,2020-10-11 12:37:38.787,672,18.0,False,,False,False,9.6,59.1,947.4,False,15.6,46,1.6
0 days 00:26:27.466000,MAG,20,0 days 00:01:34.270000,17.0,2.0,,,0 days 00:00:30.568000,0 days 00:00:39.003000,0 days 00:00:24.699000,0 days 00:26:43.526000,0 days 00:27:22.529000,0 days 00:27:47.228000,260.0,223.0,234.0,282.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:26:12.913000,2020-10-11 12:39:27.504,2,17.0,False,,False,True,9.1,60.9,947.3,False,15.2,83,1.6
0 days 00:28:27.465000,MAG,20,0 days 00:01:33.698000,18.0,2.0,,,0 days 00:00:30.590000,0 days 00:00:38.662000,0 days 00:00:24.446000,0 days 00:28:17.818000,0 days 00:28:56.480000,0 days 00:29:20.926000,261.0,223.0,241.0,289.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:27:47.183000,2020-10-11 12:41:01.774,2,17.0,False,,False,True,9.1,61.9,947.4,True,15.2,15,1.4
