Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:02.424000,MAG,20,0 days 00:01:42.744000,1.0,1.0,,,,0 days 00:00:37.924000,0 days 00:00:30.433000,,0 days 00:34:22.496000,0 days 00:34:52.896000,254.0,160.0,294.0,239.0,False,HARD,1.0,True,Haas F1 Team,0 days 00:33:09.808000,2020-10-25 13:13:10.885,2,17.0,False,,False,False,20.5,66.9,1007.8,False,25.3,171,4.4
0 days 00:35:02.399000,MAG,20,0 days 00:01:31.474000,2.0,1.0,,,0 days 00:00:27.908000,0 days 00:00:35.234000,0 days 00:00:28.332000,0 days 00:35:20.590000,0 days 00:35:55.824000,0 days 00:36:24.156000,258.0,164.0,299.0,311.0,True,HARD,2.0,True,Haas F1 Team,0 days 00:34:52.669000,2020-10-25 13:14:53.746,1,18.0,False,,False,True,20.4,67.3,1007.8,False,25.4,183,3.8
0 days 00:37:02.443000,MAG,20,0 days 00:01:27.604000,3.0,1.0,,,0 days 00:00:26.239000,0 days 00:00:34.128000,0 days 00:00:27.237000,0 days 00:36:50.395000,0 days 00:37:24.523000,0 days 00:37:51.760000,266.0,179.0,311.0,314.0,True,HARD,3.0,True,Haas F1 Team,0 days 00:36:24.143000,2020-10-25 13:16:25.220,1,18.0,False,,False,True,20.5,67.9,1007.8,False,25.4,153,3.8
0 days 00:38:02.450000,MAG,20,0 days 00:01:25.867000,4.0,1.0,,,0 days 00:00:24.979000,0 days 00:00:33.328000,0 days 00:00:27.560000,0 days 00:38:16.739000,0 days 00:38:50.067000,0 days 00:39:17.627000,267.0,173.0,305.0,337.0,True,HARD,4.0,True,Haas F1 Team,0 days 00:37:51.747000,2020-10-25 13:17:52.824,1,18.0,False,,False,True,20.5,67.7,1007.7,False,25.0,19,5.0
0 days 00:40:02.493000,MAG,20,0 days 00:01:26.385000,5.0,1.0,,,0 days 00:00:25.311000,0 days 00:00:33.689000,0 days 00:00:27.385000,0 days 00:39:42.938000,0 days 00:40:16.627000,0 days 00:40:44.012000,268.0,180.0,289.0,328.0,False,HARD,5.0,True,Haas F1 Team,0 days 00:39:17.614000,2020-10-25 13:19:18.691,1,19.0,False,,False,True,20.5,67.6,1007.8,False,25.4,29,2.6
0 days 00:41:02.482000,MAG,20,0 days 00:01:24.574000,6.0,1.0,,,0 days 00:00:24.801000,0 days 00:00:32.596000,0 days 00:00:27.177000,0 days 00:41:08.813000,0 days 00:41:41.409000,0 days 00:42:08.586000,266.0,186.0,290.0,302.0,True,HARD,6.0,True,Haas F1 Team,0 days 00:40:43.999000,2020-10-25 13:20:45.076,1,19.0,False,,False,True,20.5,67.6,1007.8,False,25.4,13,2.5
0 days 00:43:02.498000,MAG,20,0 days 00:01:24.628000,7.0,1.0,,,0 days 00:00:24.595000,0 days 00:00:32.699000,0 days 00:00:27.334000,0 days 00:42:33.181000,0 days 00:43:05.880000,0 days 00:43:33.214000,268.0,181.0,289.0,298.0,False,HARD,7.0,True,Haas F1 Team,0 days 00:42:08.573000,2020-10-25 13:22:09.650,1,19.0,False,,False,True,20.5,66.8,1007.8,False,25.5,155,4.0
0 days 00:44:02.544000,MAG,20,0 days 00:01:24.032000,8.0,1.0,,,0 days 00:00:24.739000,0 days 00:00:32.399000,0 days 00:00:26.894000,0 days 00:43:57.953000,0 days 00:44:30.352000,0 days 00:44:57.246000,266.0,183.0,291.0,,True,HARD,8.0,True,Haas F1 Team,0 days 00:43:33.201000,2020-10-25 13:23:34.278,1,19.0,False,,False,True,20.6,66.6,1007.8,False,25.6,145,2.6
0 days 00:45:02.485000,MAG,20,0 days 00:01:24.188000,9.0,1.0,,,0 days 00:00:24.498000,0 days 00:00:32.804000,0 days 00:00:26.886000,0 days 00:45:21.744000,0 days 00:45:54.548000,0 days 00:46:21.434000,265.0,185.0,303.0,301.0,False,HARD,9.0,True,Haas F1 Team,0 days 00:44:57.233000,2020-10-25 13:24:58.310,1,19.0,True,TRACK LIMITS AT TURN 4,False,True,20.6,66.9,1007.7,False,25.7,103,2.7
0 days 00:47:02.521000,MAG,20,0 days 00:01:23.679000,10.0,1.0,,,0 days 00:00:24.584000,0 days 00:00:32.146000,0 days 00:00:26.949000,0 days 00:46:46.018000,0 days 00:47:18.164000,0 days 00:47:45.113000,,183.0,306.0,324.0,True,HARD,10.0,True,Haas F1 Team,0 days 00:46:21.421000,2020-10-25 13:26:22.498,1,19.0,False,,False,True,20.7,66.7,1007.6,False,26.5,115,2.5
