Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:30.085000,ALB,23,0 days 00:01:39.919000,1.0,1.0,,,,0 days 00:00:39.730000,0 days 00:00:26.066000,,0 days 00:34:31.137000,0 days 00:34:57.277000,307.0,251.0,246.0,318.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:33:17.072000,2020-08-09 13:13:17.118,2,9.0,False,,False,False,24.2,61.2,1001.1,False,42.9,13,3.2
0 days 00:35:30.084000,ALB,23,0 days 00:01:34.083000,2.0,1.0,,,0 days 00:00:29.450000,0 days 00:00:38.533000,0 days 00:00:26.100000,0 days 00:35:26.620000,0 days 00:36:05.153000,0 days 00:36:31.253000,295.0,256.0,246.0,308.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:34:57.176000,2020-08-09 13:14:57.222,1,9.0,False,,False,True,24.5,61.2,1001.1,False,42.6,5,3.7
0 days 00:37:30.077000,ALB,23,0 days 00:01:33.802000,3.0,1.0,,,0 days 00:00:29.262000,0 days 00:00:38.684000,0 days 00:00:25.856000,0 days 00:37:00.515000,0 days 00:37:39.199000,0 days 00:38:05.055000,306.0,258.0,246.0,321.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:36:31.259000,2020-08-09 13:16:31.305,1,9.0,False,,False,True,24.9,59.9,1001.1,False,43.0,66,1.9
0 days 00:38:30.089000,ALB,23,0 days 00:01:33.617000,4.0,1.0,,,0 days 00:00:29.175000,0 days 00:00:38.397000,0 days 00:00:26.045000,0 days 00:38:34.230000,0 days 00:39:12.627000,0 days 00:39:38.672000,303.0,253.0,246.0,314.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:38:05.061000,2020-08-09 13:18:05.107,1,9.0,False,,False,True,24.9,59.4,1001.0,False,43.1,295,2.0
0 days 00:40:30.107000,ALB,23,0 days 00:01:33.703000,5.0,1.0,,,0 days 00:00:29.099000,0 days 00:00:38.591000,0 days 00:00:26.013000,0 days 00:40:07.771000,0 days 00:40:46.362000,0 days 00:41:12.375000,,255.0,244.0,315.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:39:38.678000,2020-08-09 13:19:38.724,1,9.0,False,,False,True,25.0,59.4,1001.0,False,43.0,8,3.3
0 days 00:41:30.110000,ALB,23,0 days 00:01:33.049000,6.0,1.0,,0 days 00:42:39.598000,0 days 00:00:29.179000,0 days 00:00:38.536000,0 days 00:00:25.334000,0 days 00:41:41.554000,0 days 00:42:20.090000,0 days 00:42:45.424000,304.0,256.0,,314.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:41:12.381000,2020-08-09 13:21:12.427,1,9.0,False,,False,False,25.1,58.7,1001.0,False,43.3,18,2.4
0 days 00:43:30.119000,ALB,23,0 days 00:01:52.422000,7.0,2.0,0 days 00:43:07.968000,,0 days 00:00:49.800000,0 days 00:00:37.414000,0 days 00:00:25.208000,0 days 00:43:35.224000,0 days 00:44:12.638000,0 days 00:44:37.846000,281.0,258.0,247.0,298.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:42:45.430000,2020-08-09 13:22:45.476,1,20.0,False,,False,False,25.1,58.3,1001.0,False,43.1,6,3.0
0 days 00:45:30.127000,ALB,23,0 days 00:01:31.989000,8.0,2.0,,,0 days 00:00:29.057000,0 days 00:00:37.647000,0 days 00:00:25.285000,0 days 00:45:06.903000,0 days 00:45:44.550000,0 days 00:46:09.835000,285.0,258.0,248.0,311.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:44:37.852000,2020-08-09 13:24:37.898,1,19.0,False,,False,True,25.3,58.2,1000.9,False,43.6,28,1.9
0 days 00:46:30.154000,ALB,23,0 days 00:01:33.411000,9.0,2.0,,,0 days 00:00:28.908000,0 days 00:00:38.808000,0 days 00:00:25.695000,0 days 00:46:38.743000,0 days 00:47:17.551000,0 days 00:47:43.246000,311.0,257.0,247.0,324.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:46:09.841000,2020-08-09 13:26:09.887,1,18.0,False,,False,True,25.4,57.8,1000.9,False,43.4,3,2.3
0 days 00:48:30.119000,ALB,23,0 days 00:01:34.107000,10.0,2.0,,,0 days 00:00:28.961000,0 days 00:00:38.324000,0 days 00:00:26.822000,0 days 00:48:12.207000,0 days 00:48:50.531000,0 days 00:49:17.353000,318.0,260.0,244.0,322.0,False,HARD,4.0,True,Red Bull Racing,0 days 00:47:43.252000,2020-08-09 13:27:43.298,1,16.0,True,TRACK LIMITS AT TURN 15,False,True,25.4,58.1,1000.9,False,43.8,354,1.9
0 days 00:49:30.130000,ALB,23,0 days 00:01:33.877000,11.0,2.0,,,0 days 00:00:29.437000,0 days 00:00:38.517000,0 days 00:00:25.923000,0 days 00:49:46.790000,0 days 00:50:25.307000,0 days 00:50:51.230000,309.0,260.0,246.0,333.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:49:17.359000,2020-08-09 13:29:17.405,1,16.0,False,,False,True,25.5,58.5,1000.9,False,44.0,22,2.1
0 days 00:51:30.127000,ALB,23,0 days 00:01:34.029000,12.0,2.0,,,0 days 00:00:29.323000,0 days 00:00:38.785000,0 days 00:00:25.921000,0 days 00:51:20.553000,0 days 00:51:59.338000,0 days 00:52:25.259000,316.0,256.0,247.0,326.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:50:51.236000,2020-08-09 13:30:51.282,1,16.0,False,,False,True,25.7,57.2,1000.9,False,44.0,30,2.7
0 days 00:52:30.113000,ALB,23,0 days 00:01:34.436000,13.0,2.0,,,0 days 00:00:29.310000,0 days 00:00:39.361000,0 days 00:00:25.765000,0 days 00:52:54.569000,0 days 00:53:33.930000,0 days 00:53:59.695000,306.0,254.0,247.0,297.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:52:25.265000,2020-08-09 13:32:25.311,1,15.0,False,,False,True,25.7,56.8,1000.9,False,43.5,330,1.3
0 days 00:54:30.108000,ALB,23,0 days 00:01:32.244000,14.0,2.0,,,0 days 00:00:29.326000,0 days 00:00:37.369000,0 days 00:00:25.549000,0 days 00:54:29.021000,0 days 00:55:06.390000,0 days 00:55:31.939000,285.0,257.0,245.0,300.0,False,HARD,8.0,True,Red Bull Racing,0 days 00:53:59.701000,2020-08-09 13:33:59.747,1,15.0,False,,False,True,25.4,57.9,1001.0,False,42.9,315,1.5
