Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:05.648000,VER,33,0 days 00:01:39.556000,1.0,1.0,,,,0 days 00:00:34.277000,0 days 00:00:26.521000,,0 days 00:34:10.735000,0 days 00:34:37.378000,256.0,223.0,238.0,252.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:32:57.486000,2020-07-19 13:12:57.686,1,3.0,False,,False,False,21.8,75.1,986.3,False,29.9,250,1.1
0 days 00:35:05.648000,VER,33,0 days 00:01:33.264000,2.0,1.0,,,0 days 00:00:32.617000,0 days 00:00:34.111000,0 days 00:00:26.536000,0 days 00:35:09.859000,0 days 00:35:43.970000,0 days 00:36:10.506000,267.0,224.0,239.0,285.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:34:37.271000,2020-07-19 13:14:37.471,1,3.0,False,,False,True,21.6,76.2,986.3,False,28.8,152,0.9
0 days 00:37:05.650000,VER,33,0 days 00:01:34.529000,3.0,1.0,,,0 days 00:00:33.349000,0 days 00:00:34.432000,0 days 00:00:26.748000,0 days 00:36:43.855000,0 days 00:37:18.287000,0 days 00:37:45.035000,255.0,221.0,239.0,290.0,False,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:36:10.535000,2020-07-19 13:16:10.735,1,2.0,False,,False,True,21.4,74.3,986.2,False,27.9,116,1.4
0 days 00:38:05.650000,VER,33,0 days 00:01:35.025000,4.0,1.0,,0 days 00:39:19.184000,0 days 00:00:32.530000,0 days 00:00:33.296000,0 days 00:00:29.199000,0 days 00:38:17.565000,0 days 00:38:50.861000,0 days 00:39:20.060000,266.0,223.0,,280.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:37:45.064000,2020-07-19 13:17:45.264,2,1.0,False,,False,False,21.3,74.7,986.3,False,27.0,91,1.5
0 days 00:40:05.652000,VER,33,0 days 00:01:47.204000,5.0,2.0,0 days 00:39:39.925000,,0 days 00:00:51.379000,0 days 00:00:32.006000,0 days 00:00:23.819000,0 days 00:40:11.439000,0 days 00:40:43.445000,0 days 00:41:07.264000,263.0,234.0,246.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:39:20.089000,2020-07-19 13:19:20.289,2,2.0,False,,False,False,21.2,74.8,986.3,False,26.2,119,1.6
0 days 00:42:05.649000,VER,33,0 days 00:01:23.730000,6.0,2.0,,,0 days 00:00:30.817000,0 days 00:00:29.801000,0 days 00:00:23.112000,0 days 00:41:38.081000,0 days 00:42:07.882000,0 days 00:42:30.994000,270.0,239.0,248.0,284.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:41:07.293000,2020-07-19 13:21:07.493,1,2.0,False,,False,True,21.0,75.7,986.3,False,25.6,113,2.1
0 days 00:43:05.667000,VER,33,0 days 00:01:23.206000,7.0,2.0,,,0 days 00:00:30.622000,0 days 00:00:29.517000,0 days 00:00:23.067000,0 days 00:43:01.616000,0 days 00:43:31.133000,0 days 00:43:54.200000,262.0,238.0,248.0,,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:42:31.023000,2020-07-19 13:22:31.223,1,2.0,False,,False,True,21.0,76.3,986.3,False,25.6,118,1.6
0 days 00:44:05.665000,VER,33,0 days 00:01:22.741000,8.0,2.0,,,0 days 00:00:30.238000,0 days 00:00:29.508000,0 days 00:00:22.995000,0 days 00:44:24.438000,0 days 00:44:53.946000,0 days 00:45:16.941000,270.0,240.0,248.0,285.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:43:54.229000,2020-07-19 13:23:54.429,1,2.0,False,,False,True,21.1,76.1,986.2,False,25.6,99,1.2
0 days 00:46:05.680000,VER,33,0 days 00:01:22.313000,9.0,2.0,,,0 days 00:00:29.937000,0 days 00:00:29.309000,0 days 00:00:23.067000,0 days 00:45:46.878000,0 days 00:46:16.187000,0 days 00:46:39.254000,272.0,240.0,248.0,286.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:45:16.970000,2020-07-19 13:25:17.170,1,2.0,False,,False,True,21.0,76.9,986.2,False,25.9,93,1.1
0 days 00:47:05.695000,VER,33,0 days 00:01:22.402000,10.0,2.0,,,0 days 00:00:30.124000,0 days 00:00:29.165000,0 days 00:00:23.113000,0 days 00:47:09.378000,0 days 00:47:38.543000,0 days 00:48:01.656000,274.0,239.0,248.0,,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:46:39.283000,2020-07-19 13:26:39.483,1,2.0,False,,False,True,21.3,75.7,986.2,False,26.4,94,1.2
0 days 00:48:05.704000,VER,33,0 days 00:01:22.509000,11.0,2.0,,,0 days 00:00:30.012000,0 days 00:00:29.282000,0 days 00:00:23.215000,0 days 00:48:31.668000,0 days 00:49:00.950000,0 days 00:49:24.165000,273.0,239.0,248.0,,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:48:01.685000,2020-07-19 13:28:01.885,1,2.0,False,,False,True,21.4,75.4,986.2,False,27.0,116,1.5
0 days 00:50:05.710000,VER,33,0 days 00:01:22.170000,12.0,2.0,,,0 days 00:00:29.901000,0 days 00:00:29.055000,0 days 00:00:23.214000,0 days 00:49:54.066000,0 days 00:50:23.121000,0 days 00:50:46.335000,,241.0,247.0,287.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 00:49:24.194000,2020-07-19 13:29:24.394,1,2.0,False,,False,True,21.2,73.8,986.2,False,26.9,78,2.2
0 days 00:51:05.726000,VER,33,0 days 00:01:21.998000,13.0,2.0,,,0 days 00:00:29.763000,0 days 00:00:29.200000,0 days 00:00:23.035000,0 days 00:51:16.098000,0 days 00:51:45.298000,0 days 00:52:08.333000,,242.0,248.0,,True,MEDIUM,9.0,True,Red Bull Racing,0 days 00:50:46.364000,2020-07-19 13:30:46.564,1,2.0,False,,False,True,21.2,73.3,986.2,False,27.0,81,2.4
0 days 00:53:05.728000,VER,33,0 days 00:01:22.296000,14.0,2.0,,,0 days 00:00:29.826000,0 days 00:00:29.193000,0 days 00:00:23.277000,0 days 00:52:38.159000,0 days 00:53:07.352000,0 days 00:53:30.629000,,240.0,249.0,288.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 00:52:08.362000,2020-07-19 13:32:08.562,1,2.0,False,,False,True,21.0,72.7,986.2,False,26.9,109,1.8
0 days 00:54:05.728000,VER,33,0 days 00:01:22.086000,15.0,2.0,,,0 days 00:00:29.723000,0 days 00:00:29.264000,0 days 00:00:23.099000,0 days 00:54:00.352000,0 days 00:54:29.616000,0 days 00:54:52.715000,276.0,241.0,247.0,290.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 00:53:30.658000,2020-07-19 13:33:30.858,1,2.0,False,,False,True,21.1,73.1,986.2,False,26.4,104,1.9
0 days 00:55:05.729000,VER,33,0 days 00:01:21.769000,16.0,2.0,,,0 days 00:00:29.596000,0 days 00:00:29.096000,0 days 00:00:23.077000,0 days 00:55:22.311000,0 days 00:55:51.407000,0 days 00:56:14.484000,274.0,242.0,248.0,286.0,True,MEDIUM,12.0,True,Red Bull Racing,0 days 00:54:52.744000,2020-07-19 13:34:52.944,1,2.0,False,,False,True,21.0,73.6,986.2,False,26.4,109,2.6
0 days 00:57:05.728000,VER,33,0 days 00:01:22.112000,17.0,2.0,,,0 days 00:00:29.542000,0 days 00:00:29.393000,0 days 00:00:23.177000,0 days 00:56:44.026000,0 days 00:57:13.419000,0 days 00:57:36.596000,273.0,241.0,247.0,,False,MEDIUM,13.0,True,Red Bull Racing,0 days 00:56:14.513000,2020-07-19 13:36:14.713,1,2.0,False,,False,True,21.2,74.5,986.2,False,26.0,72,1.3
0 days 00:58:05.932000,VER,33,0 days 00:01:21.559000,18.0,2.0,,,0 days 00:00:29.402000,0 days 00:00:28.948000,0 days 00:00:23.209000,0 days 00:58:05.998000,0 days 00:58:34.946000,0 days 00:58:58.155000,272.0,242.0,247.0,,True,MEDIUM,14.0,True,Red Bull Racing,0 days 00:57:36.625000,2020-07-19 13:37:36.825,1,2.0,False,,False,True,21.2,74.5,986.2,False,26.0,85,1.8
0 days 00:59:05.726000,VER,33,0 days 00:01:21.726000,19.0,2.0,,,0 days 00:00:29.382000,0 days 00:00:29.085000,0 days 00:00:23.259000,0 days 00:59:27.537000,0 days 00:59:56.622000,0 days 01:00:19.881000,268.0,243.0,247.0,,False,MEDIUM,15.0,True,Red Bull Racing,0 days 00:58:58.184000,2020-07-19 13:38:58.384,1,2.0,False,,False,True,21.3,73.1,986.2,False,26.0,76,2.0
0 days 01:01:05.727000,VER,33,0 days 00:01:22.278000,20.0,2.0,,,0 days 00:00:29.487000,0 days 00:00:29.363000,0 days 00:00:23.428000,0 days 01:00:49.368000,0 days 01:01:18.731000,0 days 01:01:42.159000,271.0,234.0,248.0,,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:00:19.910000,2020-07-19 13:40:20.110,1,2.0,False,,False,True,21.3,76.2,986.2,False,26.1,93,2.4
0 days 01:02:05.727000,VER,33,0 days 00:01:22.748000,21.0,2.0,,,0 days 00:00:29.453000,0 days 00:00:29.468000,0 days 00:00:23.827000,0 days 01:02:11.612000,0 days 01:02:41.080000,0 days 01:03:04.907000,275.0,237.0,255.0,288.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:01:42.188000,2020-07-19 13:41:42.388,1,2.0,False,,False,True,21.3,74.9,986.2,False,25.8,110,2.5
0 days 01:03:05.729000,VER,33,0 days 00:01:21.520000,22.0,2.0,,,0 days 00:00:29.057000,0 days 00:00:29.151000,0 days 00:00:23.312000,0 days 01:03:33.964000,0 days 01:04:03.115000,0 days 01:04:26.427000,268.0,243.0,246.0,307.0,True,MEDIUM,18.0,True,Red Bull Racing,0 days 01:03:04.936000,2020-07-19 13:43:05.136,1,2.0,False,,False,True,21.2,75.8,986.3,False,25.7,98,2.1
0 days 01:05:05.730000,VER,33,0 days 00:01:21.893000,23.0,2.0,,,0 days 00:00:29.421000,0 days 00:00:29.125000,0 days 00:00:23.347000,0 days 01:04:55.848000,0 days 01:05:24.973000,0 days 01:05:48.320000,,239.0,247.0,285.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:04:26.456000,2020-07-19 13:44:26.656,1,2.0,False,,False,True,20.9,76.1,986.4,False,24.0,117,1.8
0 days 01:06:05.733000,VER,33,0 days 00:01:21.747000,24.0,2.0,,,0 days 00:00:29.325000,0 days 00:00:29.236000,0 days 00:00:23.186000,0 days 01:06:17.645000,0 days 01:06:46.881000,0 days 01:07:10.067000,270.0,240.0,247.0,286.0,False,MEDIUM,20.0,True,Red Bull Racing,0 days 01:05:48.349000,2020-07-19 13:45:48.549,1,2.0,False,,False,True,20.7,76.2,986.3,False,23.9,102,2.2
