Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:18.965000,RIC,3,0 days 00:01:55.698000,1.0,1.0,,,,0 days 00:00:51.373000,0 days 00:00:29.661000,,0 days 00:35:07.997000,0 days 00:35:37.796000,325.0,200.0,214.0,297.0,False,SOFT,4.0,False,Renault,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,5.0,False,,False,False,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:36:18.998000,RIC,3,0 days 00:01:51.446000,2.0,1.0,,,0 days 00:00:31.631000,0 days 00:00:49.895000,0 days 00:00:29.920000,0 days 00:36:09.268000,0 days 00:36:59.163000,0 days 00:37:29.083000,319.0,193.0,213.0,308.0,True,SOFT,5.0,False,Renault,0 days 00:35:37.618000,2020-08-30 13:15:37.682,1,4.0,False,,False,True,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:38:18.977000,RIC,3,0 days 00:01:51.069000,3.0,1.0,,,0 days 00:00:31.691000,0 days 00:00:49.506000,0 days 00:00:29.872000,0 days 00:38:00.774000,0 days 00:38:50.280000,0 days 00:39:20.152000,314.0,197.0,215.0,307.0,True,SOFT,6.0,False,Renault,0 days 00:37:29.064000,2020-08-30 13:17:29.128,1,4.0,False,,False,True,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:40:18.996000,RIC,3,0 days 00:01:51.461000,4.0,1.0,,,0 days 00:00:31.754000,0 days 00:00:49.773000,0 days 00:00:29.934000,0 days 00:39:51.906000,0 days 00:40:41.679000,0 days 00:41:11.613000,,196.0,214.0,305.0,False,SOFT,7.0,False,Renault,0 days 00:39:20.133000,2020-08-30 13:19:20.197,1,4.0,False,,False,True,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:41:18.989000,RIC,3,0 days 00:01:51.187000,5.0,1.0,,,0 days 00:00:31.783000,0 days 00:00:49.496000,0 days 00:00:29.908000,0 days 00:41:43.396000,0 days 00:42:32.892000,0 days 00:43:02.800000,313.0,194.0,214.0,307.0,False,SOFT,8.0,False,Renault,0 days 00:41:11.594000,2020-08-30 13:21:11.658,1,4.0,False,,False,True,18.1,55.5,962.5,False,30.4,279,2.2
0 days 00:43:18.997000,RIC,3,0 days 00:01:51.434000,6.0,1.0,,,0 days 00:00:31.829000,0 days 00:00:49.663000,0 days 00:00:29.942000,0 days 00:43:34.629000,0 days 00:44:24.292000,0 days 00:44:54.234000,,198.0,214.0,308.0,False,SOFT,9.0,False,Renault,0 days 00:43:02.781000,2020-08-30 13:23:02.845,1,4.0,False,,False,True,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:45:19.017000,RIC,3,0 days 00:01:51.142000,7.0,1.0,,,0 days 00:00:31.789000,0 days 00:00:49.509000,0 days 00:00:29.844000,0 days 00:45:26.023000,0 days 00:46:15.532000,0 days 00:46:45.376000,312.0,199.0,213.0,307.0,False,SOFT,10.0,False,Renault,0 days 00:44:54.215000,2020-08-30 13:24:54.279,1,4.0,False,,False,True,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:47:18.998000,RIC,3,0 days 00:01:50.943000,8.0,1.0,,,0 days 00:00:31.813000,0 days 00:00:49.239000,0 days 00:00:29.891000,0 days 00:47:17.189000,0 days 00:48:06.428000,0 days 00:48:36.319000,,197.0,215.0,,True,SOFT,11.0,False,Renault,0 days 00:46:45.357000,2020-08-30 13:26:45.421,1,4.0,False,,False,True,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:49:19.026000,RIC,3,0 days 00:01:50.796000,9.0,1.0,,,0 days 00:00:31.728000,0 days 00:00:49.303000,0 days 00:00:29.765000,0 days 00:49:08.047000,0 days 00:49:57.350000,0 days 00:50:27.115000,313.0,199.0,214.0,,True,SOFT,12.0,False,Renault,0 days 00:48:36.300000,2020-08-30 13:28:36.364,1,4.0,False,,False,True,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:51:19.020000,RIC,3,0 days 00:01:50.911000,10.0,1.0,,,0 days 00:00:31.880000,0 days 00:00:49.199000,0 days 00:00:29.832000,0 days 00:50:58.995000,0 days 00:51:48.194000,0 days 00:52:18.026000,,199.0,213.0,306.0,False,SOFT,13.0,False,Renault,0 days 00:50:27.096000,2020-08-30 13:30:27.160,2,4.0,False,,False,True,19.0,53.2,962.4,False,30.8,86,1.3
0 days 00:52:19.022000,RIC,3,,11.0,1.0,,0 days 00:54:49.940000,0 days 00:00:43.827000,0 days 00:01:12.827000,0 days 00:00:39.054000,0 days 00:53:03.222000,0 days 00:54:14.704000,0 days 00:54:53.838000,267.0,162.0,,209.0,False,SOFT,14.0,False,Renault,0 days 00:52:18.007000,2020-08-30 13:32:18.071,24,4.0,False,,False,False,19.0,52.8,962.4,False,30.9,169,1.2
0 days 00:55:19.012000,RIC,3,,12.0,2.0,0 days 00:55:13.849000,,0 days 00:00:55.537000,0 days 00:01:19.926000,0 days 00:00:44.365000,0 days 00:55:49.265000,0 days 00:57:09.193000,0 days 00:57:53.645000,191.0,176.0,181.0,213.0,False,HARD,1.0,True,Renault,0 days 00:54:53.739000,2020-08-30 13:34:53.803,4,6.0,False,,False,False,18.9,54.6,962.3,False,31.3,161,0.8
0 days 00:58:19.013000,RIC,3,,13.0,2.0,,,0 days 00:00:43.909000,0 days 00:01:26.093000,0 days 00:00:48.495000,0 days 00:58:37.480000,0 days 01:00:03.594000,0 days 01:00:52.168000,279.0,120.0,137.0,269.0,False,HARD,2.0,True,Renault,0 days 00:57:53.537000,2020-08-30 13:37:53.601,4,6.0,False,,False,False,19.0,54.0,962.3,False,31.4,148,1.4
0 days 01:01:19.031000,RIC,3,,14.0,2.0,,,0 days 00:00:45.790000,0 days 00:01:11.393000,0 days 00:00:44.976000,0 days 01:01:37.850000,0 days 01:02:49.244000,0 days 01:03:34.349000,211.0,175.0,218.0,275.0,False,HARD,3.0,True,Renault,0 days 01:00:52.049000,2020-08-30 13:40:52.113,4,6.0,False,,False,False,19.3,53.7,962.4,False,31.9,307,1.8
0 days 01:04:19.003000,RIC,3,0 days 00:01:51.894000,15.0,2.0,,,0 days 00:00:31.326000,0 days 00:00:50.980000,0 days 00:00:29.588000,0 days 01:04:05.529000,0 days 01:04:56.509000,0 days 01:05:26.097000,324.0,197.0,218.0,317.0,False,HARD,4.0,True,Renault,0 days 01:03:34.184000,2020-08-30 13:43:34.248,1,6.0,False,,False,False,19.5,52.7,962.4,False,32.1,300,2.3
0 days 01:06:19.030000,RIC,3,0 days 00:01:51.179000,16.0,2.0,,,0 days 00:00:31.176000,0 days 00:00:50.542000,0 days 00:00:29.461000,0 days 01:05:57.273000,0 days 01:06:47.815000,0 days 01:07:17.276000,322.0,201.0,220.0,315.0,False,HARD,5.0,True,Renault,0 days 01:05:26.078000,2020-08-30 13:45:26.142,1,6.0,False,,False,True,19.3,52.0,962.3,False,31.9,349,2.0
0 days 01:07:19.034000,RIC,3,0 days 00:01:49.913000,17.0,2.0,,,0 days 00:00:31.133000,0 days 00:00:49.288000,0 days 00:00:29.492000,0 days 01:07:48.409000,0 days 01:08:37.697000,0 days 01:09:07.189000,337.0,199.0,216.0,312.0,True,HARD,6.0,True,Renault,0 days 01:07:17.257000,2020-08-30 13:47:17.321,1,5.0,False,,False,True,19.3,51.3,962.4,False,32.0,358,2.0
0 days 01:09:19.025000,RIC,3,0 days 00:01:49.590000,18.0,2.0,,,0 days 00:00:31.398000,0 days 00:00:48.766000,0 days 00:00:29.426000,0 days 01:09:38.587000,0 days 01:10:27.353000,0 days 01:10:56.779000,317.0,202.0,218.0,314.0,True,HARD,7.0,True,Renault,0 days 01:09:07.170000,2020-08-30 13:49:07.234,1,5.0,False,,False,True,19.1,52.7,962.3,False,31.9,210,0.5
0 days 01:11:19.015000,RIC,3,0 days 00:01:50.531000,19.0,2.0,,,0 days 00:00:30.850000,0 days 00:00:50.158000,0 days 00:00:29.523000,0 days 01:11:27.629000,0 days 01:12:17.787000,0 days 01:12:47.310000,343.0,199.0,219.0,318.0,False,HARD,8.0,True,Renault,0 days 01:10:56.760000,2020-08-30 13:50:56.824,1,5.0,False,,False,True,19.3,51.7,962.3,False,32.0,176,1.2
0 days 01:13:19.030000,RIC,3,0 days 00:01:50.407000,20.0,2.0,,,0 days 00:00:31.219000,0 days 00:00:49.819000,0 days 00:00:29.369000,0 days 01:13:18.529000,0 days 01:14:08.348000,0 days 01:14:37.717000,327.0,201.0,220.0,317.0,False,HARD,9.0,True,Renault,0 days 01:12:47.291000,2020-08-30 13:52:47.355,1,5.0,False,,False,True,19.3,51.5,962.3,False,31.8,346,1.4
0 days 01:15:19.026000,RIC,3,0 days 00:01:49.485000,21.0,2.0,,,0 days 00:00:30.918000,0 days 00:00:48.893000,0 days 00:00:29.674000,0 days 01:15:08.635000,0 days 01:15:57.528000,0 days 01:16:27.202000,326.0,202.0,216.0,320.0,True,HARD,10.0,True,Renault,0 days 01:14:37.698000,2020-08-30 13:54:37.762,1,4.0,False,,False,True,18.9,54.3,962.4,False,30.3,281,1.8
0 days 01:17:19.033000,RIC,3,0 days 00:01:49.549000,22.0,2.0,,,0 days 00:00:31.667000,0 days 00:00:48.400000,0 days 00:00:29.482000,0 days 01:16:58.869000,0 days 01:17:47.269000,0 days 01:18:16.751000,312.0,203.0,217.0,309.0,False,HARD,11.0,True,Renault,0 days 01:16:27.183000,2020-08-30 13:56:27.247,1,4.0,False,,False,True,18.8,54.6,962.5,False,29.8,320,1.7
0 days 01:18:19.057000,RIC,3,0 days 00:01:49.481000,23.0,2.0,,,0 days 00:00:31.650000,0 days 00:00:48.326000,0 days 00:00:29.505000,0 days 01:18:48.401000,0 days 01:19:36.727000,0 days 01:20:06.232000,311.0,202.0,217.0,,True,HARD,12.0,True,Renault,0 days 01:18:16.732000,2020-08-30 13:58:16.796,1,4.0,False,,False,True,18.8,54.5,962.4,False,29.6,324,1.7
0 days 01:20:19.026000,RIC,3,0 days 00:01:49.568000,24.0,2.0,,,0 days 00:00:31.644000,0 days 00:00:48.356000,0 days 00:00:29.568000,0 days 01:20:37.876000,0 days 01:21:26.232000,0 days 01:21:55.800000,310.0,205.0,217.0,,False,HARD,13.0,True,Renault,0 days 01:20:06.213000,2020-08-30 14:00:06.277,1,4.0,False,,False,True,18.4,55.2,962.5,False,29.2,357,2.8
0 days 01:22:19.051000,RIC,3,0 days 00:01:49.021000,25.0,2.0,,,0 days 00:00:31.541000,0 days 00:00:48.046000,0 days 00:00:29.434000,0 days 01:22:27.341000,0 days 01:23:15.387000,0 days 01:23:44.821000,309.0,203.0,217.0,310.0,True,HARD,14.0,True,Renault,0 days 01:21:55.781000,2020-08-30 14:01:55.845,1,4.0,False,,False,True,18.6,55.2,962.5,False,28.6,356,1.5
0 days 01:24:19.103000,RIC,3,0 days 00:01:49.112000,26.0,2.0,,,0 days 00:00:31.632000,0 days 00:00:48.003000,0 days 00:00:29.477000,0 days 01:24:16.453000,0 days 01:25:04.456000,0 days 01:25:33.933000,,203.0,217.0,309.0,False,HARD,15.0,True,Renault,0 days 01:23:44.802000,2020-08-30 14:03:44.866,1,4.0,False,,False,True,18.3,55.3,962.5,False,28.3,339,2.3
0 days 01:26:19.093000,RIC,3,0 days 00:01:48.913000,27.0,2.0,,,0 days 00:00:31.588000,0 days 00:00:47.889000,0 days 00:00:29.436000,0 days 01:26:05.521000,0 days 01:26:53.410000,0 days 01:27:22.846000,311.0,204.0,218.0,310.0,True,HARD,16.0,True,Renault,0 days 01:25:33.914000,2020-08-30 14:05:33.978,1,4.0,False,,False,True,18.1,55.7,962.5,False,27.8,312,1.6
0 days 01:28:19.098000,RIC,3,0 days 00:01:48.723000,28.0,2.0,,,0 days 00:00:31.592000,0 days 00:00:47.808000,0 days 00:00:29.323000,0 days 01:27:54.438000,0 days 01:28:42.246000,0 days 01:29:11.569000,310.0,204.0,219.0,309.0,True,HARD,17.0,True,Renault,0 days 01:27:22.827000,2020-08-30 14:07:22.891,1,4.0,False,,False,True,18.2,54.8,962.5,False,27.8,349,1.9
0 days 01:29:19.105000,RIC,3,0 days 00:01:48.688000,29.0,2.0,,,0 days 00:00:31.596000,0 days 00:00:47.792000,0 days 00:00:29.300000,0 days 01:29:43.165000,0 days 01:30:30.957000,0 days 01:31:00.257000,,203.0,218.0,,True,HARD,18.0,True,Renault,0 days 01:29:11.550000,2020-08-30 14:09:11.614,1,4.0,False,,False,True,18.2,55.3,962.5,False,27.8,342,1.3
0 days 01:31:19.089000,RIC,3,0 days 00:01:48.660000,30.0,2.0,,,0 days 00:00:31.639000,0 days 00:00:47.756000,0 days 00:00:29.265000,0 days 01:31:31.896000,0 days 01:32:19.652000,0 days 01:32:48.917000,,205.0,219.0,,True,HARD,19.0,True,Renault,0 days 01:31:00.238000,2020-08-30 14:11:00.302,1,4.0,False,,False,True,18.0,55.0,962.4,False,27.6,315,1.8
0 days 01:33:19.133000,RIC,3,0 days 00:01:48.677000,31.0,2.0,,,0 days 00:00:31.540000,0 days 00:00:47.888000,0 days 00:00:29.249000,0 days 01:33:20.457000,0 days 01:34:08.345000,0 days 01:34:37.594000,,205.0,218.0,,False,HARD,20.0,True,Renault,0 days 01:32:48.898000,2020-08-30 14:12:48.962,1,4.0,False,,False,True,18.0,54.8,962.4,False,27.6,307,1.3
0 days 01:35:19.157000,RIC,3,0 days 00:01:48.700000,32.0,2.0,,,0 days 00:00:31.614000,0 days 00:00:47.839000,0 days 00:00:29.247000,0 days 01:35:09.208000,0 days 01:35:57.047000,0 days 01:36:26.294000,309.0,203.0,218.0,,False,HARD,21.0,True,Renault,0 days 01:34:37.575000,2020-08-30 14:14:37.639,1,4.0,False,,False,True,18.3,54.3,962.4,False,27.9,285,0.5
0 days 01:37:19.137000,RIC,3,0 days 00:01:48.756000,33.0,2.0,,,0 days 00:00:31.562000,0 days 00:00:47.886000,0 days 00:00:29.308000,0 days 01:36:57.856000,0 days 01:37:45.742000,0 days 01:38:15.050000,,206.0,219.0,,False,HARD,22.0,True,Renault,0 days 01:36:26.275000,2020-08-30 14:16:26.339,1,4.0,False,,False,True,18.6,54.0,962.3,False,28.2,178,0.8
0 days 01:38:19.161000,RIC,3,0 days 00:01:48.897000,34.0,2.0,,,0 days 00:00:31.560000,0 days 00:00:48.005000,0 days 00:00:29.332000,0 days 01:38:46.610000,0 days 01:39:34.615000,0 days 01:40:03.947000,,205.0,218.0,,False,HARD,23.0,True,Renault,0 days 01:38:15.031000,2020-08-30 14:18:15.095,1,4.0,False,,False,True,18.8,52.9,962.4,False,28.6,184,1.2
0 days 01:40:19.182000,RIC,3,0 days 00:01:48.880000,35.0,2.0,,,0 days 00:00:31.496000,0 days 00:00:47.883000,0 days 00:00:29.501000,0 days 01:40:35.443000,0 days 01:41:23.326000,0 days 01:41:52.827000,310.0,206.0,218.0,310.0,False,HARD,24.0,True,Renault,0 days 01:40:03.928000,2020-08-30 14:20:03.992,1,4.0,False,,False,True,18.9,52.8,962.4,False,28.4,293,0.8
0 days 01:42:19.207000,RIC,3,0 days 00:01:48.566000,36.0,2.0,,,0 days 00:00:31.556000,0 days 00:00:47.659000,0 days 00:00:29.351000,0 days 01:42:24.383000,0 days 01:43:12.042000,0 days 01:43:41.393000,309.0,205.0,219.0,,True,HARD,25.0,True,Renault,0 days 01:41:52.808000,2020-08-30 14:21:52.872,1,4.0,False,,False,True,19.0,53.4,962.4,False,29.0,183,1.8
0 days 01:44:19.176000,RIC,3,0 days 00:01:48.986000,37.0,2.0,,,0 days 00:00:31.607000,0 days 00:00:47.893000,0 days 00:00:29.486000,0 days 01:44:13,0 days 01:45:00.893000,0 days 01:45:30.379000,310.0,205.0,216.0,,False,HARD,26.0,True,Renault,0 days 01:43:41.374000,2020-08-30 14:23:41.438,1,4.0,False,,False,True,19.4,52.2,962.4,False,30.1,152,1.9
0 days 01:46:19.213000,RIC,3,0 days 00:01:49.047000,38.0,2.0,,,0 days 00:00:31.649000,0 days 00:00:47.707000,0 days 00:00:29.691000,0 days 01:46:02.028000,0 days 01:46:49.735000,0 days 01:47:19.426000,312.0,205.0,216.0,,False,HARD,27.0,True,Renault,0 days 01:45:30.360000,2020-08-30 14:25:30.424,1,4.0,False,,False,True,19.8,51.4,962.4,False,30.7,163,1.3
0 days 01:48:19.207000,RIC,3,0 days 00:01:48.889000,39.0,2.0,,,0 days 00:00:31.571000,0 days 00:00:47.765000,0 days 00:00:29.553000,0 days 01:47:50.997000,0 days 01:48:38.762000,0 days 01:49:08.315000,311.0,202.0,218.0,309.0,False,HARD,28.0,True,Renault,0 days 01:47:19.407000,2020-08-30 14:27:19.471,1,4.0,False,,False,True,20.1,50.8,962.4,False,31.2,0,1.1
0 days 01:49:19.173000,RIC,3,0 days 00:01:48.454000,40.0,2.0,,,0 days 00:00:31.484000,0 days 00:00:47.609000,0 days 00:00:29.361000,0 days 01:49:39.799000,0 days 01:50:27.408000,0 days 01:50:56.769000,310.0,203.0,219.0,311.0,True,HARD,29.0,True,Renault,0 days 01:49:08.296000,2020-08-30 14:29:08.360,1,4.0,False,,False,True,20.0,50.5,962.5,False,30.5,300,0.9
0 days 01:51:19.195000,RIC,3,0 days 00:01:48.293000,41.0,2.0,,,0 days 00:00:31.425000,0 days 00:00:47.585000,0 days 00:00:29.283000,0 days 01:51:28.194000,0 days 01:52:15.779000,0 days 01:52:45.062000,,205.0,221.0,,True,HARD,30.0,True,Renault,0 days 01:50:56.750000,2020-08-30 14:30:56.814,1,4.0,False,,False,True,19.5,51.2,962.5,False,29.2,328,1.1
0 days 01:53:19.177000,RIC,3,0 days 00:01:48.259000,42.0,2.0,,,0 days 00:00:31.376000,0 days 00:00:47.629000,0 days 00:00:29.254000,0 days 01:53:16.438000,0 days 01:54:04.067000,0 days 01:54:33.321000,,205.0,221.0,310.0,True,HARD,31.0,True,Renault,0 days 01:52:45.043000,2020-08-30 14:32:45.107,1,4.0,False,,False,True,19.1,53.0,962.4,False,28.4,181,1.2
0 days 01:55:19.174000,RIC,3,0 days 00:01:48.758000,43.0,2.0,,,0 days 00:00:31.415000,0 days 00:00:47.906000,0 days 00:00:29.437000,0 days 01:55:04.736000,0 days 01:55:52.642000,0 days 01:56:22.079000,312.0,206.0,221.0,311.0,False,HARD,32.0,True,Renault,0 days 01:54:33.302000,2020-08-30 14:34:33.366,1,4.0,False,,False,True,18.9,53.5,962.5,False,27.7,82,0.6
0 days 01:57:19.190000,RIC,3,0 days 00:01:47.483000,44.0,2.0,,,0 days 00:00:31.288000,0 days 00:00:47.228000,0 days 00:00:28.967000,0 days 01:56:53.367000,0 days 01:57:40.595000,0 days 01:58:09.562000,314.0,206.0,219.0,,True,HARD,33.0,True,Renault,0 days 01:56:22.060000,2020-08-30 14:36:22.124,1,4.0,False,,False,True,18.7,53.4,962.4,False,27.7,184,1.3
