Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:23.544000,RIC,3,0 days 00:01:39.264000,1.0,1.0,,,,0 days 00:00:39.329000,0 days 00:00:26.135000,,0 days 00:34:36.100000,0 days 00:35:02.329000,293.0,250.0,248.0,299.0,False,SOFT,4.0,False,Renault,0 days 00:33:22.751000,2020-08-02 13:13:22.765,1,7.0,False,,False,False,20.9,43.1,998.7,False,41.9,241,4.1
0 days 00:35:23.561000,RIC,3,0 days 00:02:08.887000,2.0,1.0,,,0 days 00:00:40.341000,0 days 00:00:51.893000,0 days 00:00:36.653000,0 days 00:35:42.563000,0 days 00:36:34.456000,0 days 00:37:11.109000,179.0,210.0,103.0,266.0,True,SOFT,5.0,False,Renault,0 days 00:35:02.222000,2020-08-02 13:15:02.236,24,6.0,False,,False,False,21.0,43.8,998.6,False,42.3,208,3.5
0 days 00:37:23.577000,RIC,3,0 days 00:02:28.982000,3.0,1.0,,,0 days 00:00:46.481000,0 days 00:01:02.053000,0 days 00:00:40.448000,0 days 00:37:57.590000,0 days 00:38:59.643000,0 days 00:39:40.091000,146.0,115.0,84.0,262.0,False,SOFT,6.0,False,Renault,0 days 00:37:11.109000,2020-08-02 13:17:11.123,4,6.0,False,,False,False,20.9,43.8,998.6,False,42.3,179,4.7
0 days 00:40:23.576000,RIC,3,,4.0,1.0,,,0 days 00:00:46.317000,0 days 00:01:05.105000,0 days 00:00:43.668000,0 days 00:40:26.422000,0 days 00:41:31.524000,0 days 00:42:15.344000,152.0,150.0,82.0,247.0,False,SOFT,7.0,False,Renault,0 days 00:39:40.091000,2020-08-02 13:19:40.105,4,6.0,False,,False,False,21.0,43.6,998.6,False,42.8,247,3.0
0 days 00:42:23.577000,RIC,3,0 days 00:02:14.328000,5.0,1.0,,,0 days 00:00:40.847000,0 days 00:01:00.079000,0 days 00:00:33.402000,0 days 00:42:56.006000,0 days 00:43:56.085000,0 days 00:44:29.487000,266.0,173.0,242.0,205.0,False,SOFT,8.0,False,Renault,0 days 00:42:15.159000,2020-08-02 13:22:15.173,4,6.0,False,,False,False,21.1,43.3,998.4,False,41.3,246,3.7
0 days 00:45:23.582000,RIC,3,0 days 00:01:34.179000,6.0,1.0,,,0 days 00:00:29.867000,0 days 00:00:38.389000,0 days 00:00:25.923000,0 days 00:44:59.354000,0 days 00:45:37.743000,0 days 00:46:03.666000,289.0,251.0,247.0,292.0,True,SOFT,9.0,False,Renault,0 days 00:44:29.487000,2020-08-02 13:24:29.501,1,6.0,False,,False,False,21.3,43.1,998.6,False,40.9,217,3.7
0 days 00:46:23.580000,RIC,3,0 days 00:01:34.135000,7.0,1.0,,,0 days 00:00:30.012000,0 days 00:00:38.212000,0 days 00:00:25.911000,0 days 00:46:33.678000,0 days 00:47:11.890000,0 days 00:47:37.801000,287.0,251.0,248.0,290.0,True,SOFT,10.0,False,Renault,0 days 00:46:03.666000,2020-08-02 13:26:03.680,1,6.0,False,,False,True,21.1,44.5,998.5,False,40.9,239,2.7
0 days 00:48:23.581000,RIC,3,0 days 00:01:33.025000,8.0,1.0,,,0 days 00:00:29.645000,0 days 00:00:37.774000,0 days 00:00:25.606000,0 days 00:48:07.446000,0 days 00:48:45.220000,0 days 00:49:10.826000,,253.0,248.0,292.0,True,SOFT,11.0,False,Renault,0 days 00:47:37.801000,2020-08-02 13:27:37.815,1,6.0,False,,False,True,21.2,44.3,998.5,False,41.7,255,4.3
0 days 00:49:23.586000,RIC,3,0 days 00:01:33.183000,9.0,1.0,,,0 days 00:00:29.665000,0 days 00:00:37.823000,0 days 00:00:25.695000,0 days 00:49:40.491000,0 days 00:50:18.314000,0 days 00:50:44.009000,286.0,250.0,247.0,291.0,False,SOFT,12.0,False,Renault,0 days 00:49:10.826000,2020-08-02 13:29:10.840,1,6.0,False,,False,True,21.4,44.7,998.6,False,42.3,204,3.8
0 days 00:51:23.587000,RIC,3,0 days 00:01:33.062000,10.0,1.0,,,0 days 00:00:29.540000,0 days 00:00:37.934000,0 days 00:00:25.588000,0 days 00:51:13.549000,0 days 00:51:51.483000,0 days 00:52:17.071000,289.0,252.0,247.0,294.0,False,SOFT,13.0,False,Renault,0 days 00:50:44.009000,2020-08-02 13:30:44.023,1,6.0,False,,False,True,21.3,43.7,998.5,False,42.0,240,4.3
