Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:38.483000,NOR,4,0 days 00:02:38.866000,1.0,1.0,,0 days 00:36:14.003000,,0 days 00:01:17.335000,0 days 00:00:42.099000,,0 days 00:35:34.016000,0 days 00:36:16.184000,58.0,115.0,,267.0,False,MEDIUM,4.0,False,McLaren,0 days 00:33:36.921000,2020-11-29 14:13:36.973,5,10.0,False,,False,False,25.4,66.0,1015.3,False,28.6,244,1.0
0 days 01:55:38.868000,NOR,4,,2.0,2.0,0 days 01:55:27.902000,,,0 days 00:01:17.062000,0 days 00:00:56.681000,,0 days 01:57:31.971000,0 days 01:58:28.829000,140.0,91.0,73.0,181.0,False,MEDIUM,5.0,False,McLaren,0 days 01:55:00.402000,2020-11-29 15:35:00.454,1,7.0,False,,False,False,25.0,68.7,1015.9,False,27.4,320,1.2
0 days 01:58:38.897000,NOR,4,,3.0,2.0,,,0 days 00:01:28.313000,0 days 00:00:59.584000,0 days 00:00:31.716000,0 days 01:59:57.084000,0 days 02:00:56.586000,0 days 02:01:28.495000,237.0,241.0,229.0,258.0,False,MEDIUM,6.0,False,McLaren,0 days 01:58:28.652000,2020-11-29 15:38:28.704,24,6.0,False,,False,False,25.0,69.8,1015.9,False,27.3,316,1.3
0 days 02:01:38.942000,NOR,4,0 days 00:02:18.927000,4.0,2.0,,,0 days 00:00:38.955000,0 days 00:01:08.107000,0 days 00:00:31.865000,0 days 02:02:07.236000,0 days 02:03:15.343000,0 days 02:03:47.208000,171.0,204.0,164.0,255.0,True,MEDIUM,7.0,False,McLaren,0 days 02:01:28.281000,2020-11-29 15:41:28.333,4,6.0,False,,False,False,25.0,71.7,1015.9,False,27.2,315,1.0
0 days 02:04:38.951000,NOR,4,0 days 00:02:29.443000,5.0,2.0,,,0 days 00:00:42.360000,0 days 00:01:07.042000,0 days 00:00:40.041000,0 days 02:04:29.568000,0 days 02:05:36.610000,0 days 02:06:16.651000,187.0,180.0,216.0,216.0,False,MEDIUM,8.0,False,McLaren,0 days 02:03:47.208000,2020-11-29 15:43:47.260,4,5.0,False,,False,False,25.0,73.5,1015.9,False,27.3,299,1.0
0 days 02:06:38.966000,NOR,4,0 days 00:02:18.794000,6.0,2.0,,,0 days 00:00:42.313000,0 days 00:01:00.919000,0 days 00:00:35.562000,0 days 02:06:58.964000,0 days 02:07:59.883000,0 days 02:08:35.445000,76.0,155.0,215.0,220.0,True,MEDIUM,9.0,False,McLaren,0 days 02:06:16.651000,2020-11-29 15:46:16.703,4,5.0,False,,False,False,25.0,74.1,1015.9,False,27.3,260,1.0
0 days 02:08:38.965000,NOR,4,0 days 00:02:18.451000,7.0,2.0,,,0 days 00:00:43.635000,0 days 00:00:59.285000,0 days 00:00:35.531000,0 days 02:09:19.080000,0 days 02:10:18.365000,0 days 02:10:53.896000,118.0,80.0,206.0,193.0,True,MEDIUM,10.0,False,McLaren,0 days 02:08:35.445000,2020-11-29 15:48:35.497,4,5.0,False,,False,False,25.0,73.7,1016.0,False,27.2,296,1.0
0 days 02:11:38.940000,NOR,4,,8.0,2.0,,,0 days 00:00:48.167000,0 days 00:01:00.192000,0 days 00:00:44.550000,0 days 02:11:42.092000,0 days 02:12:42.273000,0 days 02:13:26.976000,106.0,127.0,288.0,269.0,False,MEDIUM,11.0,False,McLaren,0 days 02:10:53.896000,2020-11-29 15:50:53.948,4,5.0,False,,False,False,24.9,73.4,1015.9,False,27.3,303,1.1
0 days 02:13:38.946000,NOR,4,0 days 00:01:36.844000,9.0,2.0,,,0 days 00:00:31.028000,0 days 00:00:41.793000,0 days 00:00:24.023000,0 days 02:13:57.833000,0 days 02:14:39.626000,0 days 02:15:03.649000,234.0,253.0,279.0,302.0,True,MEDIUM,12.0,False,McLaren,0 days 02:13:26.805000,2020-11-29 15:53:26.857,1,5.0,False,,False,False,24.9,73.3,1016.0,False,27.3,219,1.4
0 days 02:15:38.968000,NOR,4,0 days 00:01:36.554000,10.0,2.0,,,0 days 00:00:30.729000,0 days 00:00:41.927000,0 days 00:00:23.898000,0 days 02:15:34.378000,0 days 02:16:16.305000,0 days 02:16:40.203000,233.0,251.0,278.0,291.0,True,MEDIUM,13.0,False,McLaren,0 days 02:15:03.649000,2020-11-29 15:55:03.701,1,5.0,False,,False,True,25.0,72.7,1016.0,False,27.3,300,0.8
