Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:41.120000,VET,5,0 days 00:02:25.469000,1.0,1.0,,,,0 days 00:01:04.972000,0 days 00:00:37.812000,,0 days 00:35:21.323000,0 days 00:35:59.273000,226.0,150.0,126.0,243.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:33:33.451000,2020-09-27 11:13:33.505,24,15.0,False,,False,False,30.4,46.0,1012.5,False,41.1,34,0.5
0 days 00:36:41.152000,VET,5,,2.0,1.0,,,0 days 00:01:28.079000,0 days 00:00:54.905000,0 days 00:00:44.041000,0 days 00:37:27.227000,0 days 00:38:22.121000,0 days 00:39:06.254000,110.0,216.0,88.0,132.0,False,MEDIUM,2.0,True,Ferrari,0 days 00:35:59.117000,2020-09-27 11:15:59.171,4,13.0,False,,False,False,30.4,45.7,1012.6,False,40.7,46,0.0
0 days 00:39:41.173000,VET,5,,3.0,1.0,,,0 days 00:01:11.182000,0 days 00:00:58.436000,0 days 00:00:42.203000,0 days 00:40:17.312000,0 days 00:41:15.772000,0 days 00:41:58.038000,138.0,211.0,90.0,95.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:39:06.144000,2020-09-27 11:19:06.198,4,13.0,False,,False,False,30.5,45.0,1012.7,False,40.5,11,0.7
0 days 00:42:41.173000,VET,5,,4.0,1.0,,,0 days 00:01:09.161000,0 days 00:00:57.905000,0 days 00:00:45.115000,0 days 00:43:07.160000,0 days 00:44:05.039000,0 days 00:44:50.260000,158.0,173.0,129.0,162.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:41:57.933000,2020-09-27 11:21:57.987,4,13.0,False,,False,False,30.5,45.8,1012.8,False,40.3,0,0.5
0 days 00:45:41.194000,VET,5,,5.0,1.0,,,0 days 00:01:03.769000,0 days 00:00:53.391000,0 days 00:00:45.813000,0 days 00:45:53.875000,0 days 00:46:47.300000,0 days 00:47:33.242000,180.0,83.0,162.0,105.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:44:50.136000,2020-09-27 11:24:50.190,4,13.0,False,,False,False,30.3,46.3,1012.8,False,39.9,135,0.8
0 days 00:47:41.196000,VET,5,0 days 00:01:44.022000,6.0,1.0,,,0 days 00:00:36.792000,0 days 00:00:36.329000,0 days 00:00:30.901000,0 days 00:48:09.871000,0 days 00:48:46.200000,0 days 00:49:17.101000,217.0,295.0,160.0,306.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:47:33.061000,2020-09-27 11:27:33.115,1,13.0,False,,False,False,30.1,46.5,1012.8,False,39.9,260,0.7
0 days 00:49:41.213000,VET,5,0 days 00:01:43.788000,7.0,1.0,,,0 days 00:00:36.901000,0 days 00:00:36.145000,0 days 00:00:30.742000,0 days 00:49:54.002000,0 days 00:50:30.147000,0 days 00:51:00.889000,241.0,297.0,157.0,320.0,True,MEDIUM,7.0,True,Ferrari,0 days 00:49:17.083000,2020-09-27 11:29:17.137,1,13.0,False,,False,True,29.3,49.5,1012.8,False,40.0,256,3.0
0 days 00:51:41.230000,VET,5,0 days 00:01:43.393000,8.0,1.0,,,0 days 00:00:36.566000,0 days 00:00:35.951000,0 days 00:00:30.876000,0 days 00:51:37.455000,0 days 00:52:13.406000,0 days 00:52:44.282000,234.0,303.0,152.0,321.0,True,MEDIUM,8.0,True,Ferrari,0 days 00:51:00.871000,2020-09-27 11:31:00.925,1,13.0,False,,False,True,29.0,49.8,1012.9,False,40.2,278,1.6
0 days 00:53:41.231000,VET,5,0 days 00:01:43.518000,9.0,1.0,,,0 days 00:00:36.832000,0 days 00:00:35.695000,0 days 00:00:30.991000,0 days 00:53:21.114000,0 days 00:53:56.809000,0 days 00:54:27.800000,245.0,313.0,159.0,326.0,False,MEDIUM,9.0,True,Ferrari,0 days 00:52:44.264000,2020-09-27 11:32:44.318,1,13.0,False,,False,True,29.0,49.4,1012.8,False,40.7,299,1.6
0 days 00:54:41.242000,VET,5,0 days 00:01:43.524000,10.0,1.0,,,0 days 00:00:36.346000,0 days 00:00:36.066000,0 days 00:00:31.112000,0 days 00:55:04.146000,0 days 00:55:40.212000,0 days 00:56:11.324000,231.0,303.0,157.0,284.0,False,MEDIUM,10.0,True,Ferrari,0 days 00:54:27.782000,2020-09-27 11:34:27.836,1,13.0,False,,False,True,28.9,49.5,1012.9,False,40.9,233,2.1
