Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:32.750000,LAT,6,0 days 00:01:34.416000,1.0,1.0,,,,0 days 00:00:30.569000,0 days 00:00:28.867000,,0 days 00:34:16.228000,0 days 00:34:45.186000,206.0,259.0,276.0,282.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:10.426000,2020-11-01 12:13:12.701,2,18.0,False,,False,False,17.8,71.5,1018.1,False,24.0,96,0.4
0 days 00:35:32.771000,LAT,6,0 days 00:01:23.398000,2.0,1.0,,,0 days 00:00:26.804000,0 days 00:00:28.934000,0 days 00:00:27.660000,0 days 00:35:11.855000,0 days 00:35:40.789000,0 days 00:36:08.449000,215.0,247.0,280.0,297.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:45.054000,2020-11-01 12:14:47.329,1,18.0,False,,False,True,18.1,70.9,1018.1,False,24.2,92,1.2
0 days 00:36:32.751000,LAT,6,0 days 00:01:22.929000,3.0,1.0,,,0 days 00:00:26.413000,0 days 00:00:28.813000,0 days 00:00:27.703000,0 days 00:36:34.862000,0 days 00:37:03.675000,0 days 00:37:31.378000,219.0,251.0,279.0,296.0,False,MEDIUM,3.0,True,Williams,0 days 00:36:08.452000,2020-11-01 12:16:10.727,1,18.0,True,TRACK LIMITS AT TURN 9,False,True,18.2,70.2,1018.1,False,24.2,76,0.9
0 days 00:37:32.775000,LAT,6,0 days 00:01:21.606000,4.0,1.0,,,0 days 00:00:25.557000,0 days 00:00:28.548000,0 days 00:00:27.501000,0 days 00:37:56.935000,0 days 00:38:25.483000,0 days 00:38:52.984000,,250.0,279.0,296.0,True,MEDIUM,4.0,True,Williams,0 days 00:37:31.381000,2020-11-01 12:17:33.656,1,18.0,False,,False,True,18.3,69.8,1018.1,False,24.2,87,1.6
0 days 00:39:32.748000,LAT,6,0 days 00:01:21.702000,5.0,1.0,,,0 days 00:00:25.680000,0 days 00:00:28.513000,0 days 00:00:27.509000,0 days 00:39:18.664000,0 days 00:39:47.177000,0 days 00:40:14.686000,218.0,249.0,280.0,296.0,False,MEDIUM,5.0,True,Williams,0 days 00:38:52.987000,2020-11-01 12:18:55.262,1,18.0,False,,False,True,17.9,71.2,1018.2,False,23.9,52,0.9
0 days 00:40:32.955000,LAT,6,0 days 00:01:21.959000,6.0,1.0,,,0 days 00:00:26.113000,0 days 00:00:28.455000,0 days 00:00:27.391000,0 days 00:40:40.799000,0 days 00:41:09.254000,0 days 00:41:36.645000,177.0,257.0,280.0,294.0,False,MEDIUM,6.0,True,Williams,0 days 00:40:14.689000,2020-11-01 12:20:16.964,1,18.0,False,,False,True,17.9,71.4,1018.1,False,23.6,58,1.1
0 days 00:42:32.778000,LAT,6,0 days 00:01:21.255000,7.0,1.0,,,0 days 00:00:25.481000,0 days 00:00:28.155000,0 days 00:00:27.619000,0 days 00:42:02.126000,0 days 00:42:30.281000,0 days 00:42:57.900000,218.0,252.0,279.0,291.0,True,MEDIUM,7.0,True,Williams,0 days 00:41:36.648000,2020-11-01 12:21:38.923,1,18.0,False,,False,True,18.2,70.6,1018.1,False,24.1,115,0.9
0 days 00:43:32.822000,LAT,6,0 days 00:01:21.148000,8.0,1.0,,,0 days 00:00:25.702000,0 days 00:00:28.065000,0 days 00:00:27.381000,0 days 00:43:23.602000,0 days 00:43:51.667000,0 days 00:44:19.048000,219.0,255.0,279.0,294.0,True,MEDIUM,8.0,True,Williams,0 days 00:42:57.903000,2020-11-01 12:23:00.178,1,18.0,False,,False,True,18.2,70.1,1018.1,False,24.0,89,1.4
0 days 00:44:32.783000,LAT,6,0 days 00:01:21.432000,9.0,1.0,,,0 days 00:00:25.601000,0 days 00:00:28.020000,0 days 00:00:27.811000,0 days 00:44:44.649000,0 days 00:45:12.669000,0 days 00:45:40.480000,,257.0,277.0,292.0,False,MEDIUM,9.0,True,Williams,0 days 00:44:19.051000,2020-11-01 12:24:21.326,1,16.0,False,,False,True,18.1,70.1,1018.2,False,23.8,102,1.6
0 days 00:46:32.840000,LAT,6,0 days 00:01:20.888000,10.0,1.0,,,0 days 00:00:25.470000,0 days 00:00:28.111000,0 days 00:00:27.307000,0 days 00:46:05.950000,0 days 00:46:34.061000,0 days 00:47:01.368000,214.0,253.0,278.0,290.0,True,MEDIUM,10.0,True,Williams,0 days 00:45:40.483000,2020-11-01 12:25:42.758,1,15.0,False,,False,True,18.1,70.6,1018.0,False,23.7,105,2.2
