Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:45.192000,LAT,6,0 days 00:02:38.785000,1.0,1.0,0 days 00:33:45.702000,0 days 00:32:40.476000,,0 days 00:00:49.689000,0 days 00:00:45.099000,,0 days 00:35:20.258000,0 days 00:36:05.426000,189.0,235.0,183.0,226.0,False,INTERMEDIATE,1.0,True,Williams,0 days 00:33:26.325000,2020-11-15 10:13:26.827,2,20.0,False,,False,False,12.9,83.1,1008.7,False,15.8,237,1.2
0 days 00:36:45.202000,LAT,6,0 days 00:02:12.459000,2.0,1.0,,,0 days 00:00:49.890000,0 days 00:00:49.486000,0 days 00:00:33.083000,0 days 00:36:55.160000,0 days 00:37:44.646000,0 days 00:38:17.729000,202.0,247.0,181.0,210.0,False,INTERMEDIATE,2.0,True,Williams,0 days 00:36:05.305000,2020-11-15 10:16:05.807,1,19.0,True,TRACK LIMITS AT TURN 1,False,True,13.0,81.7,1008.6,False,15.7,247,1.2
0 days 00:38:45.192000,LAT,6,0 days 00:02:10.767000,3.0,1.0,,,0 days 00:00:47.587000,0 days 00:00:49.576000,0 days 00:00:33.604000,0 days 00:39:05.316000,0 days 00:39:54.892000,0 days 00:40:28.496000,179.0,253.0,186.0,209.0,True,INTERMEDIATE,3.0,True,Williams,0 days 00:38:17.764000,2020-11-15 10:18:18.266,1,20.0,False,,False,True,13.1,82.4,1008.6,False,15.7,217,1.2
0 days 00:40:45.187000,LAT,6,0 days 00:02:06.716000,4.0,1.0,,,0 days 00:00:47.207000,0 days 00:00:47.310000,0 days 00:00:32.199000,0 days 00:41:15.703000,0 days 00:42:03.013000,0 days 00:42:35.212000,207.0,253.0,198.0,204.0,True,INTERMEDIATE,4.0,True,Williams,0 days 00:40:28.531000,2020-11-15 10:20:29.033,1,20.0,False,,False,True,13.0,81.8,1008.7,False,15.6,192,0.9
0 days 00:42:45.192000,LAT,6,0 days 00:02:03.251000,5.0,1.0,,,0 days 00:00:45.906000,0 days 00:00:45.755000,0 days 00:00:31.590000,0 days 00:43:21.118000,0 days 00:44:06.873000,0 days 00:44:38.463000,220.0,257.0,191.0,236.0,True,INTERMEDIATE,5.0,True,Williams,0 days 00:42:35.247000,2020-11-15 10:22:35.749,1,20.0,False,,False,True,13.0,81.3,1008.6,False,15.6,245,1.7
0 days 00:44:45.204000,LAT,6,0 days 00:02:06.551000,6.0,1.0,,,0 days 00:00:47.450000,0 days 00:00:47.933000,0 days 00:00:31.168000,0 days 00:45:25.913000,0 days 00:46:13.846000,0 days 00:46:45.014000,231.0,259.0,203.0,222.0,False,INTERMEDIATE,6.0,True,Williams,0 days 00:44:38.498000,2020-11-15 10:24:39.000,1,20.0,True,TRACK LIMITS AT TURN 1,False,True,13.1,81.2,1008.6,False,15.7,262,1.0
0 days 00:46:45.196000,LAT,6,0 days 00:02:02.473000,7.0,1.0,,,0 days 00:00:44.796000,0 days 00:00:46.384000,0 days 00:00:31.293000,0 days 00:47:29.810000,0 days 00:48:16.194000,0 days 00:48:47.487000,227.0,259.0,201.0,209.0,True,INTERMEDIATE,7.0,True,Williams,0 days 00:46:45.049000,2020-11-15 10:26:45.551,1,20.0,False,,False,True,13.2,81.2,1008.6,False,15.9,258,1.1
0 days 00:49:45.196000,LAT,6,0 days 00:02:07.212000,8.0,1.0,,0 days 00:50:54.270000,0 days 00:00:47.977000,0 days 00:00:45.985000,0 days 00:00:33.250000,0 days 00:49:35.464000,0 days 00:50:21.449000,0 days 00:50:54.699000,225.0,263.0,,209.0,False,INTERMEDIATE,8.0,True,Williams,0 days 00:48:47.522000,2020-11-15 10:28:48.024,1,20.0,False,,False,False,13.1,81.1,1008.6,False,15.7,238,1.6
0 days 00:51:45.191000,LAT,6,0 days 00:02:19.487000,9.0,2.0,0 days 00:51:18.981000,,0 days 00:01:03.067000,0 days 00:00:46.090000,0 days 00:00:30.330000,0 days 00:51:57.766000,0 days 00:52:43.856000,0 days 00:53:14.186000,240.0,262.0,215.0,228.0,False,INTERMEDIATE,1.0,True,Williams,0 days 00:50:54.734000,2020-11-15 10:30:55.236,1,20.0,False,,False,False,13.2,81.9,1008.6,False,16.1,0,1.2
0 days 00:53:45.204000,LAT,6,0 days 00:01:58.190000,10.0,2.0,,,0 days 00:00:45.229000,0 days 00:00:42.722000,0 days 00:00:30.239000,0 days 00:53:59.415000,0 days 00:54:42.137000,0 days 00:55:12.376000,216.0,267.0,212.0,217.0,True,INTERMEDIATE,2.0,True,Williams,0 days 00:53:14.221000,2020-11-15 10:33:14.723,1,20.0,False,,False,True,13.3,81.9,1008.5,False,16.1,181,1.1
0 days 00:55:45.222000,LAT,6,0 days 00:01:55.835000,11.0,2.0,,,0 days 00:00:42.503000,0 days 00:00:43.780000,0 days 00:00:29.552000,0 days 00:55:54.879000,0 days 00:56:38.659000,0 days 00:57:08.211000,234.0,263.0,218.0,227.0,True,INTERMEDIATE,3.0,True,Williams,0 days 00:55:12.411000,2020-11-15 10:35:12.913,1,20.0,False,,False,True,13.1,80.7,1008.5,False,15.9,209,0.9
0 days 00:57:45.224000,LAT,6,0 days 00:02:05.966000,12.0,2.0,,,0 days 00:00:41.605000,0 days 00:00:48.081000,0 days 00:00:36.280000,0 days 00:57:49.816000,0 days 00:58:37.897000,0 days 00:59:14.177000,235.0,213.0,205.0,176.0,False,INTERMEDIATE,4.0,True,Williams,0 days 00:57:08.246000,2020-11-15 10:37:08.748,26,19.0,False,,False,False,13.2,80.5,1008.5,False,15.9,216,0.6
0 days 00:59:45.206000,LAT,6,0 days 00:02:06.037000,13.0,2.0,,,0 days 00:00:44.928000,0 days 00:00:46.402000,0 days 00:00:34.707000,0 days 00:59:59.105000,0 days 01:00:45.507000,0 days 01:01:20.214000,208.0,125.0,214.0,202.0,False,INTERMEDIATE,5.0,True,Williams,0 days 00:59:14.212000,2020-11-15 10:39:14.714,67,19.0,False,,False,False,13.2,80.1,1008.5,False,15.9,212,0.9
0 days 01:01:45.207000,LAT,6,0 days 00:01:53.841000,14.0,2.0,,,0 days 00:00:41.756000,0 days 00:00:41.999000,0 days 00:00:30.086000,0 days 01:02:01.970000,0 days 01:02:43.969000,0 days 01:03:14.055000,237.0,265.0,215.0,236.0,True,INTERMEDIATE,6.0,True,Williams,0 days 01:01:20.249000,2020-11-15 10:41:20.751,1,19.0,False,,False,True,13.3,79.6,1008.4,False,16.0,266,0.8
0 days 01:03:45.225000,LAT,6,0 days 00:01:55.751000,15.0,2.0,,,0 days 00:00:42.145000,0 days 00:00:41.766000,0 days 00:00:31.840000,0 days 01:03:56.200000,0 days 01:04:37.966000,0 days 01:05:09.806000,240.0,274.0,215.0,175.0,False,INTERMEDIATE,7.0,True,Williams,0 days 01:03:14.090000,2020-11-15 10:43:14.592,1,19.0,False,,False,True,13.3,79.0,1008.4,False,16.1,237,0.9
