Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:26.510000,BOT,77,0 days 00:01:45.274000,1.0,1.0,,,,0 days 00:00:43.308000,0 days 00:00:41.206000,,0 days 00:34:32.930000,0 days 00:35:14.225000,284.0,298.0,217.0,309.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:28.601000,2020-12-13 13:13:28.798,1,2.0,False,,False,False,23.4,50.5,1015.6,False,29.6,242,1.9
0 days 00:35:26.525000,BOT,77,0 days 00:01:42.716000,2.0,1.0,,,0 days 00:00:18.034000,0 days 00:00:43.791000,0 days 00:00:40.891000,0 days 00:35:32.103000,0 days 00:36:15.894000,0 days 00:36:56.785000,281.0,280.0,216.0,296.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:35:14.059000,2020-12-13 13:15:14.256,1,2.0,False,,False,True,23.4,50.7,1015.6,False,29.6,257,2.1
0 days 00:37:26.522000,BOT,77,0 days 00:01:42.641000,3.0,1.0,,,0 days 00:00:18.144000,0 days 00:00:43.728000,0 days 00:00:40.769000,0 days 00:37:14.929000,0 days 00:37:58.657000,0 days 00:38:39.426000,280.0,284.0,217.0,296.0,True,MEDIUM,6.0,False,Mercedes,0 days 00:36:56.775000,2020-12-13 13:16:56.972,1,2.0,False,,False,True,23.4,51.0,1015.6,False,29.7,256,1.6
0 days 00:39:26.507000,BOT,77,0 days 00:01:42.798000,4.0,1.0,,,0 days 00:00:17.998000,0 days 00:00:43.967000,0 days 00:00:40.833000,0 days 00:38:57.424000,0 days 00:39:41.391000,0 days 00:40:22.224000,,282.0,216.0,295.0,False,MEDIUM,7.0,False,Mercedes,0 days 00:38:39.416000,2020-12-13 13:18:39.613,1,2.0,False,,False,True,23.5,51.9,1015.5,False,29.5,244,3.4
0 days 00:40:26.498000,BOT,77,0 days 00:01:42.589000,5.0,1.0,,,0 days 00:00:17.832000,0 days 00:00:43.961000,0 days 00:00:40.796000,0 days 00:40:40.056000,0 days 00:41:24.017000,0 days 00:42:04.813000,285.0,284.0,216.0,297.0,True,MEDIUM,8.0,False,Mercedes,0 days 00:40:22.214000,2020-12-13 13:20:22.411,1,2.0,False,,False,True,23.6,51.9,1015.5,False,29.1,263,2.6
0 days 00:42:26.527000,BOT,77,0 days 00:01:42.662000,6.0,1.0,,,0 days 00:00:17.942000,0 days 00:00:43.955000,0 days 00:00:40.765000,0 days 00:42:22.755000,0 days 00:43:06.710000,0 days 00:43:47.475000,282.0,280.0,218.0,294.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:42:04.803000,2020-12-13 13:22:05.000,1,2.0,False,,False,True,23.5,52.5,1015.6,False,28.9,276,2.5
0 days 00:44:26.523000,BOT,77,0 days 00:01:42.764000,7.0,1.0,,,0 days 00:00:17.870000,0 days 00:00:44.073000,0 days 00:00:40.821000,0 days 00:44:05.345000,0 days 00:44:49.418000,0 days 00:45:30.239000,,282.0,217.0,295.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:43:47.465000,2020-12-13 13:23:47.662,1,2.0,False,,False,True,23.5,52.8,1015.6,False,28.9,278,2.2
0 days 00:46:26.540000,BOT,77,0 days 00:01:42.752000,8.0,1.0,,,0 days 00:00:17.932000,0 days 00:00:44.069000,0 days 00:00:40.751000,0 days 00:45:48.171000,0 days 00:46:32.240000,0 days 00:47:12.991000,279.0,282.0,216.0,295.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:45:30.229000,2020-12-13 13:25:30.426,1,2.0,False,,False,True,23.6,52.2,1015.5,False,28.3,252,2.8
0 days 00:47:26.532000,BOT,77,0 days 00:01:42.691000,9.0,1.0,,,0 days 00:00:17.845000,0 days 00:00:44.138000,0 days 00:00:40.708000,0 days 00:47:30.836000,0 days 00:48:14.974000,0 days 00:48:55.682000,282.0,285.0,217.0,295.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:47:12.981000,2020-12-13 13:27:13.178,1,2.0,False,,False,True,23.7,51.5,1015.6,False,28.3,268,2.6
0 days 00:49:26.562000,BOT,77,0 days 00:02:07.879000,10.0,1.0,,0 days 00:51:02.442000,0 days 00:00:17.785000,0 days 00:00:53.574000,0 days 00:00:56.520000,0 days 00:49:13.467000,0 days 00:50:07.041000,0 days 00:51:03.561000,278.0,221.0,,130.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:48:55.672000,2020-12-13 13:28:55.869,26,2.0,False,,False,False,23.7,51.4,1015.6,False,28.3,264,2.6
