Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:33.435000,GRO,8,0 days 00:01:35.429000,1.0,1.0,,,,0 days 00:00:31.806000,0 days 00:00:29.865000,,0 days 00:34:33.858000,0 days 00:35:03.870000,335.0,329.0,314.0,237.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:28.079000,2020-09-06 13:13:28.275,1,16.0,False,,False,False,27.7,40.2,991.2,False,44.5,253,0.9
0 days 00:35:33.425000,GRO,8,0 days 00:01:28.613000,2.0,1.0,,,0 days 00:00:28.715000,0 days 00:00:30.518000,0 days 00:00:29.380000,0 days 00:35:32.379000,0 days 00:36:02.897000,0 days 00:36:32.277000,323.0,324.0,311.0,335.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:35:03.670000,2020-09-06 13:15:03.866,1,16.0,False,,False,True,27.6,41.6,991.1,False,43.9,193,0.8
0 days 00:36:33.427000,GRO,8,0 days 00:01:27.270000,3.0,1.0,,,0 days 00:00:28.217000,0 days 00:00:29.869000,0 days 00:00:29.184000,0 days 00:37:00.494000,0 days 00:37:30.363000,0 days 00:37:59.547000,321.0,337.0,309.0,334.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:36:32.283000,2020-09-06 13:16:32.479,1,16.0,False,,False,True,27.8,39.7,991.2,False,44.0,170,0.6
0 days 00:38:33.428000,GRO,8,0 days 00:01:27.145000,4.0,1.0,,,0 days 00:00:27.901000,0 days 00:00:29.949000,0 days 00:00:29.295000,0 days 00:38:27.448000,0 days 00:38:57.397000,0 days 00:39:26.692000,325.0,338.0,309.0,340.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:37:59.553000,2020-09-06 13:17:59.749,1,16.0,False,,False,True,28.2,40.1,991.2,False,44.2,162,1.2
0 days 00:39:33.429000,GRO,8,0 days 00:01:26.662000,5.0,1.0,,,0 days 00:00:28,0 days 00:00:29.455000,0 days 00:00:29.207000,0 days 00:39:54.692000,0 days 00:40:24.147000,0 days 00:40:53.354000,322.0,336.0,309.0,334.0,True,MEDIUM,5.0,True,Haas F1 Team,0 days 00:39:26.698000,2020-09-06 13:19:26.894,1,16.0,False,,False,True,28.3,39.7,991.1,False,45.0,161,1.8
0 days 00:41:33.431000,GRO,8,0 days 00:01:27.137000,6.0,1.0,,,0 days 00:00:28.277000,0 days 00:00:29.725000,0 days 00:00:29.135000,0 days 00:41:21.631000,0 days 00:41:51.356000,0 days 00:42:20.491000,318.0,322.0,308.0,324.0,False,MEDIUM,6.0,True,Haas F1 Team,0 days 00:40:53.360000,2020-09-06 13:20:53.556,1,16.0,False,,False,True,27.9,40.6,991.2,False,44.4,190,1.0
0 days 00:42:33.432000,GRO,8,0 days 00:01:26.733000,7.0,1.0,,,0 days 00:00:28.115000,0 days 00:00:29.434000,0 days 00:00:29.184000,0 days 00:42:48.606000,0 days 00:43:18.040000,0 days 00:43:47.224000,319.0,323.0,304.0,322.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:42:20.497000,2020-09-06 13:22:20.693,1,16.0,False,,False,True,28.1,40.5,991.0,False,44.3,166,2.1
0 days 00:44:33.435000,GRO,8,0 days 00:01:26.846000,8.0,1.0,,,0 days 00:00:28.196000,0 days 00:00:29.622000,0 days 00:00:29.028000,0 days 00:44:15.420000,0 days 00:44:45.042000,0 days 00:45:14.070000,318.0,320.0,309.0,324.0,False,MEDIUM,8.0,True,Haas F1 Team,0 days 00:43:47.230000,2020-09-06 13:23:47.426,2,16.0,False,,False,True,28.1,40.8,991.0,False,43.8,174,2.2
0 days 00:45:33.435000,GRO,8,0 days 00:01:26.803000,9.0,1.0,,,0 days 00:00:28.110000,0 days 00:00:29.595000,0 days 00:00:29.098000,0 days 00:45:42.180000,0 days 00:46:11.775000,0 days 00:46:40.873000,317.0,320.0,307.0,326.0,False,MEDIUM,9.0,True,Haas F1 Team,0 days 00:45:14.076000,2020-09-06 13:25:14.272,1,16.0,False,,False,True,28.3,40.3,991.0,False,43.6,176,1.4
0 days 00:47:33.435000,GRO,8,0 days 00:01:26.446000,10.0,1.0,,,0 days 00:00:27.982000,0 days 00:00:29.510000,0 days 00:00:28.954000,0 days 00:47:08.855000,0 days 00:47:38.365000,0 days 00:48:07.319000,318.0,322.0,308.0,,True,MEDIUM,10.0,True,Haas F1 Team,0 days 00:46:40.879000,2020-09-06 13:26:41.075,1,16.0,False,,False,True,28.4,40.1,990.9,False,43.7,165,2.6
