Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:38.694000,SAI,55,0 days 00:01:17.168000,1.0,1.0,,,,0 days 00:00:32.858000,0 days 00:00:22.391000,,0 days 00:33:42.056000,0 days 00:34:04.552000,293.0,216.0,276.0,309.0,False,SOFT,4.0,False,McLaren,0 days 00:32:47.006000,2020-07-05 13:12:47.229,1,8.0,False,,False,False,27.7,35.2,939.0,False,54.1,272,0.6
0 days 00:34:38.680000,SAI,55,0 days 00:01:11.958000,2.0,1.0,,,0 days 00:00:17.691000,0 days 00:00:32.258000,0 days 00:00:22.009000,0 days 00:34:22.092000,0 days 00:34:54.350000,0 days 00:35:16.359000,303.0,221.0,273.0,310.0,True,SOFT,5.0,False,McLaren,0 days 00:34:04.415000,2020-07-05 13:14:04.638,1,8.0,False,,False,True,27.7,35.5,939.0,False,54.1,276,0.7
0 days 00:35:38.698000,SAI,55,0 days 00:01:10.243000,3.0,1.0,,,0 days 00:00:17.316000,0 days 00:00:31.258000,0 days 00:00:21.669000,0 days 00:35:33.675000,0 days 00:36:04.933000,0 days 00:36:26.602000,310.0,225.0,274.0,302.0,True,SOFT,6.0,False,McLaren,0 days 00:35:16.373000,2020-07-05 13:15:16.596,1,8.0,False,,False,True,28.1,35.6,939.0,False,54.0,156,1.7
0 days 00:36:38.698000,SAI,55,0 days 00:01:10.316000,4.0,1.0,,,0 days 00:00:17.487000,0 days 00:00:31.119000,0 days 00:00:21.710000,0 days 00:36:44.089000,0 days 00:37:15.208000,0 days 00:37:36.918000,302.0,225.0,273.0,300.0,False,SOFT,7.0,False,McLaren,0 days 00:36:26.616000,2020-07-05 13:16:26.839,1,8.0,False,,False,True,28.6,33.7,939.0,False,54.1,90,2.0
0 days 00:37:38.699000,SAI,55,0 days 00:01:10.317000,5.0,1.0,,,0 days 00:00:17.492000,0 days 00:00:31.203000,0 days 00:00:21.622000,0 days 00:37:54.410000,0 days 00:38:25.613000,0 days 00:38:47.235000,304.0,225.0,275.0,300.0,False,SOFT,8.0,False,McLaren,0 days 00:37:36.932000,2020-07-05 13:17:37.155,1,8.0,False,,False,True,28.8,33.6,938.9,False,55.1,60,1.9
0 days 00:39:38.691000,SAI,55,0 days 00:01:10.342000,6.0,1.0,,,0 days 00:00:17.566000,0 days 00:00:31.113000,0 days 00:00:21.663000,0 days 00:39:04.801000,0 days 00:39:35.914000,0 days 00:39:57.577000,300.0,225.0,274.0,298.0,False,SOFT,9.0,False,McLaren,0 days 00:38:47.249000,2020-07-05 13:18:47.472,1,8.0,False,,False,True,28.3,34.0,938.9,False,53.6,72,2.9
0 days 00:40:38.693000,SAI,55,0 days 00:01:10.563000,7.0,1.0,,,0 days 00:00:17.568000,0 days 00:00:31.264000,0 days 00:00:21.731000,0 days 00:40:15.145000,0 days 00:40:46.409000,0 days 00:41:08.140000,299.0,224.0,273.0,300.0,False,SOFT,10.0,False,McLaren,0 days 00:39:57.591000,2020-07-05 13:19:57.814,1,8.0,False,,False,True,28.3,34.5,938.9,False,53.4,109,1.2
0 days 00:41:38.685000,SAI,55,0 days 00:01:10.651000,8.0,1.0,,,0 days 00:00:17.574000,0 days 00:00:31.430000,0 days 00:00:21.647000,0 days 00:41:25.714000,0 days 00:41:57.144000,0 days 00:42:18.791000,301.0,223.0,275.0,298.0,False,SOFT,11.0,False,McLaren,0 days 00:41:08.154000,2020-07-05 13:21:08.377,1,8.0,False,,False,True,28.6,35.1,938.9,False,53.2,131,2.5
0 days 00:42:38.677000,SAI,55,0 days 00:01:10.421000,9.0,1.0,,,0 days 00:00:17.604000,0 days 00:00:31.288000,,0 days 00:49:58.778000,0 days 00:43:07.706000,,294.0,222.0,,297.0,False,SOFT,12.0,False,McLaren,0 days 00:42:18.805000,2020-07-05 13:22:19.028,1,10.0,False,,False,False,29.1,34.1,938.9,False,53.5,85,3.2
0 days 00:42:38.677000,SAI,55,0 days 00:01:10.322000,10.0,1.0,,,0 days 00:00:17.604000,0 days 00:00:31.162000,0 days 00:00:21.556000,,0 days 00:50:10.640000,0 days 00:50:32.196000,,224.0,273.0,,False,SOFT,13.0,False,McLaren,0 days 00:49:21.888000,2020-07-05 13:29:22.111,1,10.0,False,,False,True,29.1,34.1,938.9,False,53.5,85,3.2
