DriverNumber,LapNumber,LapTime,TrackStatus,Driver,Compound,TyreLife,IsAccurate,RaceName,SessionStart,T0Date
1,1.0,0 days 00:01:40.236000,1,VER,SOFT,4.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,2.0,0 days 00:01:37.880000,1,VER,SOFT,5.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,3.0,0 days 00:01:38.357000,1,VER,SOFT,6.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,4.0,0 days 00:01:38.566000,1,VER,SOFT,7.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,5.0,0 days 00:01:38.877000,1,VER,SOFT,8.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,6.0,0 days 00:01:38.940000,1,VER,SOFT,9.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,7.0,0 days 00:01:39.062000,1,VER,SOFT,10.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,8.0,0 days 00:01:39.092000,1,VER,SOFT,11.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,9.0,0 days 00:01:39.251000,1,VER,SOFT,12.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,10.0,0 days 00:01:39.392000,1,VER,SOFT,13.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,11.0,0 days 00:01:39.479000,1,VER,SOFT,14.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,12.0,0 days 00:01:39.410000,1,VER,SOFT,15.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,13.0,0 days 00:01:39.534000,1,VER,SOFT,16.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,14.0,0 days 00:01:42.050000,1,VER,SOFT,17.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,15.0,0 days 00:01:57.409000,2,VER,SOFT,1.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,16.0,0 days 00:01:36.905000,1,VER,SOFT,2.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,17.0,0 days 00:01:37.587000,1,VER,SOFT,3.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,18.0,0 days 00:01:37.717000,1,VER,SOFT,4.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,19.0,0 days 00:01:37.728000,1,VER,SOFT,5.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,20.0,0 days 00:01:38.257000,1,VER,SOFT,6.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,21.0,0 days 00:01:38.294000,1,VER,SOFT,7.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,22.0,0 days 00:01:38.243000,1,VER,SOFT,8.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,23.0,0 days 00:01:38.091000,1,VER,SOFT,9.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,24.0,0 days 00:01:38.187000,1,VER,SOFT,10.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,25.0,0 days 00:01:38.372000,1,VER,SOFT,11.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,26.0,0 days 00:01:38.476000,1,VER,SOFT,12.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,27.0,0 days 00:01:38.823000,1,VER,SOFT,13.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,28.0,0 days 00:01:38.782000,1,VER,SOFT,14.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,29.0,0 days 00:01:39.384000,1,VER,SOFT,15.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,30.0,0 days 00:01:41.537000,1,VER,SOFT,16.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,31.0,0 days 00:01:57.239000,1,VER,MEDIUM,1.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,32.0,0 days 00:01:36.527000,1,VER,MEDIUM,2.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,33.0,0 days 00:01:36.347000,1,VER,MEDIUM,3.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,34.0,0 days 00:01:36.384000,1,VER,MEDIUM,4.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,35.0,0 days 00:01:36.731000,1,VER,MEDIUM,5.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,36.0,0 days 00:01:36.920000,1,VER,MEDIUM,6.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,37.0,0 days 00:01:36.962000,1,VER,MEDIUM,7.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,38.0,0 days 00:01:36.898000,1,VER,MEDIUM,8.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,39.0,0 days 00:01:37.255000,1,VER,MEDIUM,9.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,40.0,0 days 00:01:37.308000,1,VER,MEDIUM,10.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,41.0,0 days 00:01:37.284000,1,VER,MEDIUM,11.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,42.0,0 days 00:01:37.855000,1,VER,MEDIUM,12.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,43.0,0 days 00:01:39.787000,1,VER,MEDIUM,13.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,44.0,0 days 00:01:57.242000,1,VER,SOFT,4.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,45.0,0 days 00:01:35.747000,1,VER,SOFT,5.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,46.0,0 days 00:02:09.941000,64,VER,SOFT,6.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,47.0,0 days 00:02:14.782000,4,VER,SOFT,7.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,48.0,,4,VER,SOFT,8.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,49.0,0 days 00:02:25.374000,4,VER,SOFT,9.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,50.0,0 days 00:02:24.508000,4,VER,SOFT,10.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,51.0,0 days 00:01:35.440000,1,VER,SOFT,11.0,False,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
1,52.0,0 days 00:01:35.462000,1,VER,SOFT,12.0,True,Bahrain Grand Prix,0 days 01:02:34.872000,2022-03-20 14:01:00.017
